File.......:  cell1ppoclliftfsi40wt - DEC,01.2021

System.....:  
Potential..:  0.107V
Current....:  -506.67nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:17:53 - 16:18:42
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.7669e+01        7.7890e-01        0.999           0.0
   2      7.5549e+05       1.7681e+01        3.1378e-01        0.999           1.3
   3      5.7077e+05       1.7688e+01       -8.4270e-02        0.999           1.8
   4      4.3121e+05       1.7825e+01       -4.4746e-01        1.000           2.5
   5      3.2578e+05       1.7993e+01       -8.0562e-01        1.000           3.2
   6      2.4612e+05       1.8162e+01       -1.1697e+00        1.000           3.7
   7      1.8594e+05       1.8275e+01       -1.5612e+00        1.000           4.1
   8      1.4048e+05       1.8518e+01       -2.0054e+00        1.000           4.6
   9      1.0613e+05       1.8744e+01       -2.5126e+00        1.000           5.0
  10      8.0180e+04       1.9080e+01       -3.1091e+00        1.000           5.5
  11      6.0575e+04       1.9400e+01       -3.8308e+00        1.000           5.9
  12      4.5764e+04       1.9835e+01       -4.6762e+00        1.000           6.3
  13      3.4574e+04       2.0356e+01       -5.7025e+00        1.000           6.8
  14      2.6121e+04       2.1016e+01       -6.9052e+00        1.000           7.3
  15      1.9734e+04       2.1822e+01       -8.3591e+00        0.999           7.7
  16      1.4909e+04       2.2806e+01       -1.0106e+01        1.000           8.2
  17      1.1263e+04       2.4001e+01       -1.2216e+01        1.000           8.6
  18      8.5095e+03       2.5370e+01       -1.4743e+01        1.000           9.1
  19      6.4288e+03       2.6989e+01       -1.7824e+01        1.000           9.6
  20      4.8569e+03       2.8902e+01       -2.1553e+01        1.000          10.0
  21      3.6694e+03       3.1242e+01       -2.6075e+01        0.999          10.5
  22      2.7722e+03       3.3914e+01       -3.1695e+01        0.999          10.9
  23      2.0944e+03       3.7148e+01       -3.8626e+01        1.000          11.4
  24      1.5823e+03       4.1076e+01       -4.7200e+01        0.999          11.8
  25      1.1954e+03       4.6281e+01       -5.8368e+01        1.000          12.5
  26      9.0311e+02       5.2158e+01       -7.1631e+01        0.999          13.2
  27      6.8229e+02       5.9306e+01       -8.8030e+01        0.998          13.7
  28      5.1546e+02       6.8195e+01       -1.0826e+02        0.999          14.1
  29      3.8943e+02       7.9317e+01       -1.3320e+02        1.000          14.6
  30      2.9421e+02       9.2962e+01       -1.6383e+02        0.999          15.1
  31      2.2227e+02       1.1018e+02       -2.0144e+02        0.998          15.5
  32      1.6793e+02       1.3138e+02       -2.4757e+02        0.998          16.0
  33      1.2687e+02       1.5803e+02       -3.0409e+02        0.998          16.4
  34      9.5846e+01       1.9170e+02       -3.7333e+02        0.997          17.0
  35      7.2411e+01       2.3417e+02       -4.5733e+02        0.997          17.5
  36      5.4092e+01       2.8848e+02       -5.6306e+02        0.997          18.9
  37      3.9533e+01       3.6243e+02       -6.9747e+02        0.996          21.2
  38      2.8174e+01       4.6913e+02       -8.8258e+02        0.996          23.0
  39      1.9503e+01       6.2258e+02       -1.1321e+03        0.996          24.6
  40      1.3058e+01       8.4750e+02       -1.4739e+03        0.996          26.6
  41      8.4196e+00       1.1836e+03       -1.9478e+03        0.995          28.8
  42      5.2123e+00       1.6915e+03       -2.6125e+03        0.995          31.5
  43      3.0979e+00       2.4566e+03       -3.5385e+03        0.995          34.9
  44      1.7783e+00       3.6063e+03       -4.8352e+03        0.994          39.9
  45      1.0000e+00       5.2398e+03       -6.5632e+03        0.993          46.9

