File.......:  cell4ppoclliftfsi40wt - DEC,01.2021

System.....:  
Potential..:  -0.005V
Current....:  -26.655nA
Temperature:  -0.8 +-0.0 C
Time.......:  16:24:51 - 16:25:38
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.9420e+01       -6.9396e+00        0.999           0.0
   2      7.5549e+05       6.1355e+01       -7.5069e+00        0.999           1.0
   3      5.7077e+05       5.9463e+01       -8.2764e+00        1.000           1.5
   4      4.3121e+05       5.9935e+01       -9.3931e+00        1.000           2.3
   5      3.2578e+05       6.2420e+01       -1.0821e+01        1.000           3.0
   6      2.4612e+05       6.5320e+01       -1.2542e+01        1.000           3.4
   7      1.8594e+05       6.6988e+01       -1.4585e+01        1.000           3.8
   8      1.4048e+05       7.1634e+01       -1.7055e+01        1.000           4.3
   9      1.0613e+05       7.2243e+01       -1.9954e+01        1.000           4.8
  10      8.0180e+04       7.4811e+01       -2.3471e+01        1.000           5.2
  11      6.0575e+04       7.6089e+01       -2.7577e+01        1.000           5.7
  12      4.5764e+04       8.1279e+01       -3.2519e+01        1.000           6.1
  13      3.4574e+04       8.7044e+01       -3.8395e+01        1.000           6.6
  14      2.6121e+04       9.2392e+01       -4.5314e+01        1.000           7.0
  15      1.9734e+04       9.5532e+01       -5.3618e+01        1.000           7.5
  16      1.4909e+04       1.0370e+02       -6.3516e+01        1.000           7.9
  17      1.1263e+04       1.1141e+02       -7.5476e+01        0.999           8.4
  18      8.5095e+03       1.2103e+02       -8.9847e+01        0.999           8.8
  19      6.4288e+03       1.3488e+02       -1.0738e+02        0.999           9.3
  20      4.8569e+03       1.4724e+02       -1.2867e+02        0.999           9.8
  21      3.6694e+03       1.6054e+02       -1.5458e+02        0.999          10.2
  22      2.7722e+03       1.7275e+02       -1.8674e+02        0.999          10.6
  23      2.0944e+03       1.9274e+02       -2.2641e+02        0.999          11.1
  24      1.5823e+03       2.1410e+02       -2.7551e+02        0.999          11.6
  25      1.1954e+03       2.4080e+02       -3.3646e+02        0.999          12.0
  26      9.0311e+02       2.7362e+02       -4.1186e+02        0.999          12.5
  27      6.8229e+02       3.1352e+02       -5.0546e+02        0.999          12.9
  28      5.1546e+02       3.5994e+02       -6.1661e+02        1.000          13.7
  29      3.8943e+02       4.2255e+02       -7.5884e+02        0.999          14.4
  30      2.9421e+02       5.0095e+02       -9.3407e+02        1.000          14.8
  31      2.2227e+02       6.0056e+02       -1.1493e+03        0.999          15.3
  32      1.6793e+02       7.2478e+02       -1.4126e+03        0.999          15.7
  33      1.2687e+02       8.8162e+02       -1.7331e+03        0.999          16.2
  34      9.5846e+01       1.0803e+03       -2.1227e+03        0.999          16.8
  35      7.2411e+01       1.3301e+03       -2.5916e+03        0.999          17.4
  36      5.4092e+01       1.6500e+03       -3.1788e+03        1.000          18.8
  37      3.9533e+01       2.0943e+03       -3.9462e+03        1.000          20.7
  38      2.8174e+01       2.7138e+03       -4.9648e+03        1.000          22.1
  39      1.9503e+01       3.5977e+03       -6.3253e+03        0.999          24.2
  40      1.3058e+01       4.8318e+03       -8.1941e+03        0.999          26.5
  41      8.4196e+00       6.6856e+03       -1.0790e+04        0.999          28.7
  42      5.2123e+00       9.4632e+03       -1.4445e+04        0.999          31.4
  43      3.0979e+00       1.3650e+04       -1.9569e+04        0.999          34.8
  44      1.7783e+00       1.9968e+04       -2.6753e+04        1.000          39.8
  45      1.0000e+00       2.9021e+04       -3.6369e+04        0.999          44.5

