File.......:  cell3ppobqliftfsi30w - DEC,02.2021

System.....:  
Potential..:  0.010V
Current....:  -9.7933nA
Temperature:  -0.8 +-0.1 C
Time.......:  16:24:04 - 16:24:51
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.8924e+02       -3.0339e+02        0.999           0.0
   2      7.5549e+05       4.6054e+02       -2.7877e+02        0.999           1.3
   3      5.7077e+05       5.1806e+02       -2.5830e+02        0.998           1.8
   4      4.3121e+05       5.6060e+02       -2.1901e+02        1.000           2.5
   5      3.2578e+05       5.9468e+02       -1.8876e+02        1.000           3.2
   6      2.4612e+05       6.2082e+02       -1.6120e+02        1.000           3.7
   7      1.8594e+05       6.4066e+02       -1.3842e+02        1.000           4.1
   8      1.4048e+05       6.5774e+02       -1.2012e+02        1.000           4.6
   9      1.0613e+05       6.6497e+02       -1.0436e+02        1.000           5.3
  10      8.0180e+04       6.7552e+02       -9.5790e+01        1.000           5.9
  11      6.0575e+04       6.8493e+02       -9.1100e+01        1.000           6.4
  12      4.5764e+04       6.9385e+02       -9.0545e+01        1.000           6.8
  13      3.4574e+04       7.0243e+02       -9.3903e+01        1.000           7.3
  14      2.6121e+04       7.1207e+02       -1.0099e+02        1.000           7.7
  15      1.9734e+04       7.2240e+02       -1.1280e+02        1.000           8.2
  16      1.4909e+04       7.3464e+02       -1.2882e+02        1.000           8.6
  17      1.1263e+04       7.4823e+02       -1.5041e+02        1.000           9.1
  18      8.5095e+03       7.6492e+02       -1.7759e+02        1.000           9.5
  19      6.4288e+03       7.8517e+02       -2.1164e+02        1.000          10.0
  20      4.8569e+03       8.0943e+02       -2.5277e+02        1.000          10.5
  21      3.6694e+03       8.4022e+02       -3.0182e+02        1.000          10.9
  22      2.7722e+03       8.7644e+02       -3.6242e+02        1.000          11.4
  23      2.0944e+03       9.2037e+02       -4.3510e+02        1.000          11.8
  24      1.5823e+03       9.7317e+02       -5.2248e+02        0.999          12.3
  25      1.1954e+03       1.0365e+03       -6.2815e+02        0.999          12.8
  26      9.0311e+02       1.1129e+03       -7.5486e+02        1.000          13.2
  27      6.8229e+02       1.2052e+03       -9.0773e+02        0.999          13.7
  28      5.1546e+02       1.3171e+03       -1.0916e+03        0.999          14.1
  29      3.8943e+02       1.4555e+03       -1.3117e+03        0.999          14.6
  30      2.9421e+02       1.6220e+03       -1.5757e+03        0.999          15.1
  31      2.2227e+02       1.8273e+03       -1.8892e+03        0.999          15.5
  32      1.6793e+02       2.0759e+03       -2.2627e+03        0.999          16.0
  33      1.2687e+02       2.3812e+03       -2.7038e+03        0.999          16.4
  34      9.5846e+01       2.7559e+03       -3.2243e+03        0.999          17.0
  35      7.2411e+01       3.2154e+03       -3.8286e+03        0.999          17.5
  36      5.4092e+01       3.7801e+03       -4.5651e+03        0.999          18.9
  37      3.9533e+01       4.5405e+03       -5.4762e+03        0.999          21.1
  38      2.8174e+01       5.5647e+03       -6.6344e+03        0.998          22.9
  39      1.9503e+01       6.9582e+03       -8.0945e+03        0.998          24.5
  40      1.3058e+01       8.8679e+03       -9.9554e+03        0.997          26.4
  41      8.4196e+00       1.1519e+04       -1.2330e+04        0.995          28.6
  42      5.2123e+00       1.5203e+04       -1.5379e+04        0.994          31.3
  43      3.0979e+00       2.0261e+04       -1.9224e+04        0.991          34.7
  44      1.7783e+00       2.7157e+04       -2.4137e+04        0.988          39.7
  45      1.0000e+00       3.5991e+04       -3.0042e+04        0.984          44.2

