File.......:  cell4ppobqliftfsi30w - DEC,02.2021

System.....:  
Potential..:  -0.032V
Current....:  288.55pA
Temperature:  -0.8 +-0.1 C
Time.......:  16:27:52 - 16:28:41
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       4.2846e+02       -2.5756e+02        0.999           0.0
   2      7.5549e+05       4.7529e+02       -2.3575e+02        0.998           1.3
   3      5.7077e+05       5.0329e+02       -2.0746e+02        0.998           1.8
   4      4.3121e+05       5.2083e+02       -1.7782e+02        1.000           2.5
   5      3.2578e+05       5.4522e+02       -1.5693e+02        1.000           3.3
   6      2.4612e+05       5.6423e+02       -1.3967e+02        1.000           3.7
   7      1.8594e+05       5.6591e+02       -1.2585e+02        1.000           4.1
   8      1.4048e+05       5.9465e+02       -1.1833e+02        0.999           4.6
   9      1.0613e+05       6.1409e+02       -1.1302e+02        1.000           5.1
  10      8.0180e+04       6.2519e+02       -1.1167e+02        1.000           5.5
  11      6.0575e+04       6.4924e+02       -1.1567e+02        1.000           6.2
  12      4.5764e+04       6.4467e+02       -1.2324e+02        1.000           6.9
  13      3.4574e+04       6.5337e+02       -1.3498e+02        1.000           7.4
  14      2.6121e+04       6.5793e+02       -1.5109e+02        1.000           7.9
  15      1.9734e+04       7.0088e+02       -1.7259e+02        1.000           8.3
  16      1.4909e+04       7.2849e+02       -1.9892e+02        1.000           8.8
  17      1.1263e+04       7.4835e+02       -2.3175e+02        1.000           9.2
  18      8.5095e+03       7.8043e+02       -2.7127e+02        0.999           9.7
  19      6.4288e+03       8.2066e+02       -3.1897e+02        1.000          10.2
  20      4.8569e+03       8.8546e+02       -3.7525e+02        0.999          10.7
  21      3.6694e+03       9.0712e+02       -4.4108e+02        1.000          11.1
  22      2.7722e+03       9.4458e+02       -5.2074e+02        0.999          11.6
  23      2.0944e+03       1.0231e+03       -6.1536e+02        0.999          12.1
  24      1.5823e+03       1.1101e+03       -7.2868e+02        0.999          12.6
  25      1.1954e+03       1.1769e+03       -8.6602e+02        1.000          13.0
  26      9.0311e+02       1.2867e+03       -1.0324e+03        1.000          13.5
  27      6.8229e+02       1.3946e+03       -1.2363e+03        1.000          14.0
  28      5.1546e+02       1.5189e+03       -1.4862e+03        1.000          14.4
  29      3.8943e+02       1.6831e+03       -1.7920e+03        0.999          14.9
  30      2.9421e+02       1.8914e+03       -2.1674e+03        0.999          15.4
  31      2.2227e+02       2.1534e+03       -2.6241e+03        0.999          15.9
  32      1.6793e+02       2.4994e+03       -3.1811e+03        0.999          16.3
  33      1.2687e+02       2.9052e+03       -3.8547e+03        0.999          16.8
  34      9.5846e+01       3.3564e+03       -4.6678e+03        0.999          17.3
  35      7.2411e+01       3.9204e+03       -5.6289e+03        0.999          18.2
  36      5.4092e+01       4.6714e+03       -6.8327e+03        0.999          19.8
  37      3.9533e+01       5.6971e+03       -8.3823e+03        0.999          21.6
  38      2.8174e+01       7.1171e+03       -1.0402e+04        0.999          23.0
  39      1.9503e+01       9.0875e+03       -1.3059e+04        0.999          24.7
  40      1.3058e+01       1.1919e+04       -1.6597e+04        0.999          26.6
  41      8.4196e+00       1.5993e+04       -2.1341e+04        0.999          28.8
  42      5.2123e+00       2.1902e+04       -2.7743e+04        1.000          31.5
  43      3.0979e+00       3.0442e+04       -3.6365e+04        1.000          34.9
  44      1.7783e+00       4.2631e+04       -4.7936e+04        0.999          39.9
  45      1.0000e+00       5.9088e+04       -6.3163e+04        0.999          46.8

