File.......:  cell2ppoddqliftfsi30wt - DEC,06.2021

System.....:  
Potential..:  0.001V
Current....:  4.1561pA
Temperature:  -0.8 +-0.0 C
Time.......:  11:15:20 - 11:16:09
Comment....:  
              
              
              
              Main
time.......:  15000 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.8261e+01       -7.9086e+02        0.995           0.0
   2      7.5549e+05      -3.3926e+01       -1.0491e+03        0.997           1.8
   3      5.7077e+05      -6.4628e+01       -1.3576e+03        0.992           2.3
   4      4.3121e+05       3.1059e+01       -1.8194e+03        0.997           3.3
   5      3.2578e+05       5.2029e+01       -2.3952e+03        0.998           4.2
   6      2.4612e+05       1.0218e+02       -3.1477e+03        0.997           4.7
   7      1.8594e+05       1.4701e+02       -4.1201e+03        0.998           5.1
   8      1.4048e+05       2.2008e+02       -5.4071e+03        0.996           5.5
   9      1.0613e+05       2.9144e+02       -7.1238e+03        0.998           6.0
  10      8.0180e+04       4.0985e+02       -9.3878e+03        0.997           6.4
  11      6.0575e+04       6.7152e+02       -1.2289e+04        0.998           7.1
  12      4.5764e+04       8.4499e+02       -1.6132e+04        0.998           7.8
  13      3.4574e+04       1.1008e+03       -2.1202e+04        0.999           8.2
  14      2.6121e+04       1.4711e+03       -2.7831e+04        0.999           8.7
  15      1.9734e+04       1.9691e+03       -3.6533e+04        0.999           9.2
  16      1.4909e+04       2.6383e+03       -4.7935e+04        0.999           9.6
  17      1.1263e+04       3.6869e+03       -6.2981e+04        0.998          10.1
  18      8.5095e+03       5.0917e+03       -8.2588e+04        0.998          10.5
  19      6.4288e+03       8.6966e+03       -1.0852e+05        0.998          11.2
  20      4.8569e+03       1.1878e+04       -1.4214e+05        0.999          11.9
  21      3.6694e+03       1.6845e+04       -1.8610e+05        0.997          12.4
  22      2.7722e+03       2.4022e+04       -2.4324e+05        0.999          12.8
  23      2.0944e+03       3.5006e+04       -3.1761e+05        0.999          13.3
  24      1.5823e+03       5.1850e+04       -4.1423e+05        0.999          13.7
  25      1.1954e+03       7.7078e+04       -5.3856e+05        0.997          14.2
  26      9.0311e+02       1.1658e+05       -6.9863e+05        0.998          14.7
  27      6.8229e+02       1.9476e+05       -8.9995e+05        0.998          15.3
  28      5.1546e+02       2.8554e+05       -1.1516e+06        0.998          16.0
  29      3.8943e+02       4.2643e+05       -1.4654e+06        0.997          16.5
  30      2.9421e+02       6.3247e+05       -1.8373e+06        0.998          17.0
  31      2.2227e+02       9.5149e+05       -2.2761e+06        0.998          17.4
  32      1.6793e+02       1.3729e+06       -2.7509e+06        0.999          17.9
  33      1.2687e+02       1.9625e+06       -3.2436e+06        0.996          18.3
  34      9.5846e+01       2.7866e+06       -3.7290e+06        0.997          18.9
  35      7.2411e+01       3.6835e+06       -3.9973e+06        0.998          19.4
  36      5.4092e+01       5.1873e+06       -3.7459e+06        0.996          20.9
  37      3.9533e+01       5.9472e+06       -3.9434e+06        0.999          22.8
  38      2.8174e+01       6.9242e+06       -3.7868e+06        0.984          24.2
  39      1.9503e+01       7.8433e+06       -3.2664e+06        0.988          25.8
  40      1.3058e+01       8.5353e+06       -2.6729e+06        0.994          27.6
  41      8.4196e+00       9.1390e+06       -2.1745e+06        0.991          29.8
  42      5.2123e+00       9.5845e+06       -1.7638e+06        0.998          32.4
  43      3.0979e+00       9.8825e+06       -1.4585e+06        1.000          36.4
  44      1.7783e+00       1.0176e+07       -1.3833e+06        1.000          42.0
  45      1.0000e+00       1.0484e+07       -1.5074e+06        1.000          46.5

