File.......:  cell3ppoddqliftfsi30wt - DEC,06.2021

System.....:  
Potential..:  0.006V
Current....:  -447.68pA
Temperature:  -0.8 +-0.1 C
Time.......:  11:18:57 - 11:19:45
Comment....:  
              
              
              
              Main
time.......:  15000 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.4067e+01       -6.8887e+02        0.995           0.0
   2      7.5549e+05      -2.4856e+00       -9.3413e+02        0.997           1.8
   3      5.7077e+05      -2.5341e+01       -1.2104e+03        0.997           2.3
   4      4.3121e+05       3.8820e+01       -1.6128e+03        0.997           3.3
   5      3.2578e+05       6.1496e+01       -2.1105e+03        0.998           4.2
   6      2.4612e+05       9.4152e+01       -2.7869e+03        0.998           4.7
   7      1.8594e+05       1.2791e+02       -3.6611e+03        0.997           5.1
   8      1.4048e+05       2.2829e+02       -4.8259e+03        0.997           5.5
   9      1.0613e+05       2.6840e+02       -6.2774e+03        0.998           6.0
  10      8.0180e+04       3.4438e+02       -8.3144e+03        0.998           6.4
  11      6.0575e+04       6.5268e+02       -1.0864e+04        0.999           7.1
  12      4.5764e+04       8.5093e+02       -1.4238e+04        0.998           7.8
  13      3.4574e+04       1.1273e+03       -1.8680e+04        0.999           8.2
  14      2.6121e+04       1.5274e+03       -2.4501e+04        1.000           8.7
  15      1.9734e+04       2.0851e+03       -3.2121e+04        0.999           9.2
  16      1.4909e+04       2.8812e+03       -4.2087e+04        0.998           9.6
  17      1.1263e+04       4.0503e+03       -5.5091e+04        0.998          10.1
  18      8.5095e+03       5.7115e+03       -7.2156e+04        0.998          10.5
  19      6.4288e+03       9.5192e+03       -9.4449e+04        0.998          11.2
  20      4.8569e+03       1.3258e+04       -1.2311e+05        0.999          11.9
  21      3.6694e+03       1.9074e+04       -1.6077e+05        0.997          12.4
  22      2.7722e+03       2.7637e+04       -2.0910e+05        0.999          12.8
  23      2.0944e+03       4.0475e+04       -2.7156e+05        0.998          13.3
  24      1.5823e+03       6.0000e+04       -3.5133e+05        0.999          13.7
  25      1.1954e+03       8.9364e+04       -4.5295e+05        0.996          14.2
  26      9.0311e+02       1.3305e+05       -5.8045e+05        0.999          14.7
  27      6.8229e+02       1.9917e+05       -7.3838e+05        0.997          15.1
  28      5.1546e+02       3.1053e+05       -9.2599e+05        0.999          15.8
  29      3.8943e+02       4.5383e+05       -1.1514e+06        0.999          16.5
  30      2.9421e+02       6.5244e+05       -1.4043e+06        0.999          17.0
  31      2.2227e+02       9.4534e+05       -1.6763e+06        0.998          17.4
  32      1.6793e+02       1.3008e+06       -1.9406e+06        0.999          17.9
  33      1.2687e+02       1.7529e+06       -2.1706e+06        0.999          18.3
  34      9.5846e+01       2.3249e+06       -2.3408e+06        0.999          18.9
  35      7.2411e+01       2.8847e+06       -2.3976e+06        0.999          19.4
  36      5.4092e+01       3.7976e+06       -2.5630e+06        0.995          20.8
  37      3.9533e+01       4.1028e+06       -2.1274e+06        0.999          22.7
  38      2.8174e+01       4.5652e+06       -1.9816e+06        0.987          24.1
  39      1.9503e+01       4.9909e+06       -1.6769e+06        0.991          25.7
  40      1.3058e+01       5.3087e+06       -1.3700e+06        0.996          27.5
  41      8.4196e+00       5.6048e+06       -1.1315e+06        0.992          29.7
  42      5.2123e+00       5.8280e+06       -9.5848e+05        0.998          32.3
  43      3.0979e+00       6.0152e+06       -8.4973e+05        1.000          35.6
  44      1.7783e+00       6.2002e+06       -8.5368e+05        1.000          40.6
  45      1.0000e+00       6.4072e+06       -9.6414e+05        1.000          45.1

