File.......:  cell10ppobqlitfsi - JUL,03.2021

System.....:  
Potential..:  0.028V
Current....:  -52.818nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:46:58 - 11:47:45
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.6062e+02       -3.6665e+01        0.999           0.0
   2      7.5549e+05       1.6381e+02       -3.0777e+01        0.999           1.0
   3      5.7077e+05       1.6686e+02       -2.6795e+01        1.000           1.5
   4      4.3121e+05       1.6878e+02       -2.3975e+01        1.000           2.3
   5      3.2578e+05       1.7066e+02       -2.2513e+01        1.000           3.0
   6      2.4612e+05       1.7248e+02       -2.2106e+01        1.000           3.4
   7      1.8594e+05       1.7463e+02       -2.2618e+01        1.000           3.8
   8      1.4048e+05       1.7706e+02       -2.4106e+01        1.000           4.3
   9      1.0613e+05       1.7948e+02       -2.6486e+01        1.000           4.8
  10      8.0180e+04       1.8240e+02       -2.9883e+01        1.000           5.2
  11      6.0575e+04       1.8554e+02       -3.4506e+01        1.000           5.7
  12      4.5764e+04       1.8956e+02       -4.0292e+01        1.000           6.1
  13      3.4574e+04       1.9419e+02       -4.7589e+01        1.000           6.6
  14      2.6121e+04       1.9967e+02       -5.6401e+01        0.999           7.0
  15      1.9734e+04       2.0624e+02       -6.7329e+01        1.000           7.5
  16      1.4909e+04       2.1393e+02       -8.0701e+01        1.000           7.9
  17      1.1263e+04       2.2355e+02       -9.7113e+01        1.000           8.4
  18      8.5095e+03       2.3497e+02       -1.1699e+02        1.000           8.8
  19      6.4288e+03       2.4881e+02       -1.4132e+02        1.000           9.3
  20      4.8569e+03       2.6613e+02       -1.7059e+02        1.000           9.8
  21      3.6694e+03       2.8807e+02       -2.0532e+02        1.000          10.2
  22      2.7722e+03       3.1504e+02       -2.4728e+02        1.000          10.6
  23      2.0944e+03       3.4882e+02       -2.9685e+02        0.999          11.1
  24      1.5823e+03       3.9138e+02       -3.5490e+02        0.999          11.6
  25      1.1954e+03       4.4428e+02       -4.2205e+02        1.000          12.0
  26      9.0311e+02       5.0604e+02       -4.9440e+02        1.000          12.7
  27      6.8229e+02       5.8564e+02       -5.7859e+02        0.999          13.4
  28      5.1546e+02       6.8105e+02       -6.7089e+02        0.999          13.9
  29      3.8943e+02       7.9403e+02       -7.7058e+02        0.999          14.3
  30      2.9421e+02       9.2303e+02       -8.7810e+02        1.000          14.8
  31      2.2227e+02       1.0701e+03       -9.9371e+02        0.999          15.3
  32      1.6793e+02       1.2332e+03       -1.1205e+03        0.999          15.7
  33      1.2687e+02       1.4140e+03       -1.2607e+03        0.999          16.2
  34      9.5846e+01       1.6147e+03       -1.4181e+03        0.999          16.7
  35      7.2411e+01       1.8364e+03       -1.5956e+03        0.999          17.3
  36      5.4092e+01       2.0877e+03       -1.8105e+03        0.999          18.7
  37      3.9533e+01       2.3960e+03       -2.0786e+03        0.998          20.4
  38      2.8174e+01       2.7761e+03       -2.4249e+03        0.998          21.9
  39      1.9503e+01       3.2552e+03       -2.8787e+03        0.997          23.5
  40      1.3058e+01       3.8741e+03       -3.4909e+03        0.996          25.3
  41      8.4196e+00       4.6962e+03       -4.3357e+03        0.995          27.5
  42      5.2123e+00       5.8097e+03       -5.5248e+03        0.994          30.7
  43      3.0979e+00       7.3448e+03       -7.2399e+03        0.992          34.5
  44      1.7783e+00       9.5048e+03       -9.7665e+03        0.991          39.5
  45      1.0000e+00       1.2437e+04       -1.3437e+04        0.989          44.1

