File.......:  cell2ppochloranillitfsi3 - JUL,08.2021

System.....:  
Potential..:  -0.031V
Current....:  -17.492nA
Temperature:  -0.7 +-0.1 C
Time.......:  10:01:40 - 10:02:26
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.8281e+02       -3.0296e+02        0.999           0.0
   2      7.5549e+05       4.5659e+02       -2.7760e+02        0.999           1.3
   3      5.7077e+05       5.0923e+02       -2.4684e+02        0.999           1.8
   4      4.3121e+05       5.4948e+02       -2.0697e+02        1.000           2.5
   5      3.2578e+05       5.7891e+02       -1.7677e+02        1.000           3.2
   6      2.4612e+05       6.0025e+02       -1.5120e+02        1.000           3.7
   7      1.8594e+05       6.1665e+02       -1.3183e+02        1.000           4.1
   8      1.4048e+05       6.3101e+02       -1.1909e+02        1.000           4.6
   9      1.0613e+05       6.4088e+02       -1.1019e+02        1.000           5.0
  10      8.0180e+04       6.5275e+02       -1.0636e+02        1.000           5.5
  11      6.0575e+04       6.6120e+02       -1.0978e+02        1.000           5.9
  12      4.5764e+04       6.7383e+02       -1.1589e+02        1.000           6.3
  13      3.4574e+04       6.8822e+02       -1.2738e+02        1.000           6.8
  14      2.6121e+04       6.9833e+02       -1.3905e+02        1.000           7.5
  15      1.9734e+04       7.1594e+02       -1.5812e+02        1.000           8.2
  16      1.4909e+04       7.3677e+02       -1.8150e+02        1.000           8.6
  17      1.1263e+04       7.6100e+02       -2.1055e+02        1.000           9.1
  18      8.5095e+03       7.8958e+02       -2.4525e+02        1.000           9.5
  19      6.4288e+03       8.2299e+02       -2.8686e+02        0.999          10.0
  20      4.8569e+03       8.6268e+02       -3.3558e+02        0.999          10.5
  21      3.6694e+03       9.1003e+02       -3.9181e+02        1.000          10.9
  22      2.7722e+03       9.6495e+02       -4.5944e+02        1.000          11.4
  23      2.0944e+03       1.0305e+03       -5.3835e+02        0.999          11.8
  24      1.5823e+03       1.1075e+03       -6.3052e+02        1.000          12.3
  25      1.1954e+03       1.1978e+03       -7.3866e+02        1.000          12.8
  26      9.0311e+02       1.3051e+03       -8.6399e+02        1.000          13.2
  27      6.8229e+02       1.4316e+03       -1.0097e+03        1.000          13.7
  28      5.1546e+02       1.5811e+03       -1.1781e+03        0.999          14.1
  29      3.8943e+02       1.7596e+03       -1.3707e+03        1.000          14.6
  30      2.9421e+02       1.9679e+03       -1.5913e+03        0.999          15.1
  31      2.2227e+02       2.2145e+03       -1.8409e+03        1.000          15.5
  32      1.6793e+02       2.4995e+03       -2.1247e+03        1.000          16.0
  33      1.2687e+02       2.8302e+03       -2.4450e+03        1.000          16.4
  34      9.5846e+01       3.2129e+03       -2.8070e+03        1.000          17.0
  35      7.2411e+01       3.6525e+03       -3.2126e+03        0.999          17.5
  36      5.4092e+01       4.1598e+03       -3.6982e+03        0.999          18.9
  37      3.9533e+01       4.7982e+03       -4.2906e+03        0.999          20.7
  38      2.8174e+01       5.5914e+03       -5.0358e+03        0.999          22.5
  39      1.9503e+01       6.6068e+03       -6.0002e+03        0.998          24.5
  40      1.3058e+01       7.9266e+03       -7.2802e+03        0.997          26.3
  41      8.4196e+00       9.6927e+03       -9.0173e+03        0.996          28.5
  42      5.2123e+00       1.2118e+04       -1.1431e+04        0.995          31.2
  43      3.0979e+00       1.5488e+04       -1.4787e+04        0.993          34.5
  44      1.7783e+00       2.0248e+04       -1.9497e+04        0.992          39.4
  45      1.0000e+00       2.6676e+04       -2.5913e+04        0.990          44.1

