File.......:  cell2ppochloranillitfsi30wt - JUL,09.2021

System.....:  
Potential..:  -0.023V
Current....:  -5.7515nA
Temperature:  -0.7 +-0.0 C
Time.......:  10:27:26 - 10:28:14
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.0220e+02       -8.1943e+02        0.999           0.0
   2      7.5549e+05       1.9275e+02       -1.0614e+03        0.994           1.5
   3      5.7077e+05       2.7467e+02       -1.3771e+03        0.993           2.1
   4      4.3121e+05       5.5456e+02       -1.6983e+03        0.997           3.0
   5      3.2578e+05       8.6998e+02       -2.0942e+03        0.998           4.0
   6      2.4612e+05       1.3368e+03       -2.4967e+03        0.998           4.4
   7      1.8594e+05       1.9269e+03       -2.8744e+03        0.998           4.8
   8      1.4048e+05       2.6943e+03       -3.1167e+03        0.999           5.3
   9      1.0613e+05       3.5022e+03       -3.2173e+03        0.999           5.7
  10      8.0180e+04       4.3184e+03       -3.1150e+03        0.999           6.2
  11      6.0575e+04       5.0035e+03       -2.8774e+03        0.999           6.6
  12      4.5764e+04       5.5650e+03       -2.5552e+03        0.999           7.1
  13      3.4574e+04       5.9969e+03       -2.2529e+03        1.000           7.5
  14      2.6121e+04       6.3206e+03       -1.9654e+03        0.999           8.0
  15      1.9734e+04       6.5696e+03       -1.7363e+03        1.000           8.4
  16      1.4909e+04       6.7718e+03       -1.5565e+03        1.000           9.1
  17      1.1263e+04       6.9442e+03       -1.4622e+03        1.000           9.8
  18      8.5095e+03       7.1067e+03       -1.4222e+03        1.000          10.3
  19      6.4288e+03       7.2698e+03       -1.4353e+03        1.000          10.7
  20      4.8569e+03       7.4413e+03       -1.4922e+03        1.000          11.2
  21      3.6694e+03       7.6355e+03       -1.5828e+03        1.000          11.6
  22      2.7722e+03       7.8463e+03       -1.7307e+03        1.000          12.1
  23      2.0944e+03       8.0868e+03       -1.9200e+03        1.000          12.6
  24      1.5823e+03       8.3631e+03       -2.1534e+03        1.000          13.0
  25      1.1954e+03       8.6789e+03       -2.4385e+03        1.000          13.5
  26      9.0311e+02       9.0461e+03       -2.7701e+03        1.000          13.9
  27      6.8229e+02       9.4689e+03       -3.1591e+03        0.999          14.4
  28      5.1546e+02       9.9576e+03       -3.6064e+03        1.000          14.9
  29      3.8943e+02       1.0530e+04       -4.1104e+03        0.999          15.3
  30      2.9421e+02       1.1183e+04       -4.6861e+03        1.000          15.8
  31      2.2227e+02       1.1943e+04       -5.3252e+03        1.000          16.2
  32      1.6793e+02       1.2805e+04       -6.0481e+03        1.000          16.7
  33      1.2687e+02       1.3791e+04       -6.8535e+03        1.000          17.2
  34      9.5846e+01       1.4918e+04       -7.7464e+03        1.000          17.7
  35      7.2411e+01       1.6195e+04       -8.7242e+03        1.000          18.3
  36      5.4092e+01       1.7677e+04       -9.8666e+03        1.000          19.7
  37      3.9533e+01       1.9495e+04       -1.1242e+04        1.000          21.4
  38      2.8174e+01       2.1738e+04       -1.2899e+04        0.999          22.8
  39      1.9503e+01       2.4526e+04       -1.4963e+04        0.999          24.4
  40      1.3058e+01       2.8048e+04       -1.7612e+04        0.999          26.3
  41      8.4196e+00       3.2592e+04       -2.1072e+04        0.999          28.4
  42      5.2123e+00       3.8553e+04       -2.5709e+04        0.999          31.1
  43      3.0979e+00       4.6473e+04       -3.1988e+04        0.998          34.4
  44      1.7783e+00       5.6993e+04       -4.0560e+04        0.998          41.2
  45      1.0000e+00       7.0563e+04       -5.2184e+04        0.997          45.7

