File.......:  cell3ppochloranillitfsi30wt - JUL,09.2021

System.....:  
Potential..:  0.008V
Current....:  -26.538nA
Temperature:  -0.7 +-0.2 C
Time.......:  10:29:42 - 10:30:30
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.9910e+01       -1.0207e+03        0.997           0.0
   2      7.5549e+05       7.3214e+01       -1.3464e+03        0.994           1.5
   3      5.7077e+05       8.4495e+01       -1.7634e+03        0.993           2.1
   4      4.3121e+05       3.4190e+02       -2.2702e+03        0.997           3.0
   5      3.2578e+05       5.8170e+02       -2.9379e+03        0.998           4.0
   6      2.4612e+05       9.3740e+02       -3.7723e+03        0.996           4.4
   7      1.8594e+05       1.5110e+03       -4.7715e+03        0.997           4.8
   8      1.4048e+05       2.3991e+03       -5.9329e+03        0.995           5.3
   9      1.0613e+05       3.6445e+03       -7.1160e+03        0.998           5.7
  10      8.0180e+04       5.4845e+03       -8.2227e+03        0.999           6.2
  11      6.0575e+04       7.7314e+03       -8.8406e+03        0.999           6.9
  12      4.5764e+04       1.0142e+04       -9.0110e+03        0.999           7.5
  13      3.4574e+04       1.2474e+04       -8.6047e+03        0.999           8.0
  14      2.6121e+04       1.4461e+04       -7.7242e+03        0.999           8.5
  15      1.9734e+04       1.5997e+04       -6.6314e+03        0.999           8.9
  16      1.4909e+04       1.7079e+04       -5.4988e+03        1.000           9.4
  17      1.1263e+04       1.7833e+04       -4.5067e+03        1.000           9.8
  18      8.5095e+03       1.8327e+04       -3.6651e+03        1.000          10.3
  19      6.4288e+03       1.8665e+04       -3.0197e+03        1.000          10.7
  20      4.8569e+03       1.8912e+04       -2.5388e+03        1.000          11.2
  21      3.6694e+03       1.9095e+04       -2.1345e+03        1.000          11.6
  22      2.7722e+03       1.9249e+04       -1.8991e+03        1.000          12.1
  23      2.0944e+03       1.9396e+04       -1.7574e+03        1.000          12.6
  24      1.5823e+03       1.9543e+04       -1.6974e+03        1.000          13.0
  25      1.1954e+03       1.9698e+04       -1.7253e+03        1.000          13.5
  26      9.0311e+02       1.9872e+04       -1.8162e+03        1.000          13.9
  27      6.8229e+02       2.0069e+04       -1.9815e+03        1.000          14.4
  28      5.1546e+02       2.0293e+04       -2.2176e+03        1.000          14.9
  29      3.8943e+02       2.0569e+04       -2.5121e+03        1.000          15.3
  30      2.9421e+02       2.0878e+04       -2.8975e+03        1.000          15.8
  31      2.2227e+02       2.1253e+04       -3.3541e+03        1.000          16.2
  32      1.6793e+02       2.1680e+04       -3.9303e+03        1.000          16.7
  33      1.2687e+02       2.2185e+04       -4.6201e+03        1.000          17.1
  34      9.5846e+01       2.2785e+04       -5.4403e+03        1.000          17.7
  35      7.2411e+01       2.3482e+04       -6.4103e+03        1.000          18.3
  36      5.4092e+01       2.4271e+04       -7.6442e+03        1.000          19.7
  37      3.9533e+01       2.5342e+04       -9.2572e+03        1.000          21.4
  38      2.8174e+01       2.6699e+04       -1.1392e+04        1.000          22.8
  39      1.9503e+01       2.8505e+04       -1.4347e+04        1.000          24.4
  40      1.3058e+01       3.0977e+04       -1.8577e+04        0.999          26.3
  41      8.4196e+00       3.4547e+04       -2.4803e+04        0.999          28.4
  42      5.2123e+00       3.9967e+04       -3.4163e+04        0.999          31.1
  43      3.0979e+00       4.8530e+04       -4.8285e+04        0.999          34.4
  44      1.7783e+00       6.2337e+04       -6.9299e+04        0.998          41.2
  45      1.0000e+00       8.3925e+04       -9.9254e+04        0.997          45.7

