File.......:  cell4ppobqlitfsi - JUL,16.2021

System.....:  
Potential..:  0.006V
Current....:  -6.3902nA
Temperature:  -0.6 +-0.2 C
Time.......:  10:38:10 - 10:38:58
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.0932e+02       -1.7042e+02        0.999           0.0
   2      7.5549e+05       3.3849e+02       -1.4913e+02        0.999           1.3
   3      5.7077e+05       3.5945e+02       -1.3388e+02        0.998           1.8
   4      4.3121e+05       3.7442e+02       -1.1926e+02        1.000           2.5
   5      3.2578e+05       3.8762e+02       -1.1200e+02        1.000           3.3
   6      2.4612e+05       4.0011e+02       -1.0858e+02        1.000           3.7
   7      1.8594e+05       4.1169e+02       -1.0938e+02        1.000           4.1
   8      1.4048e+05       4.2525e+02       -1.1443e+02        1.000           4.6
   9      1.0613e+05       4.3811e+02       -1.2302e+02        1.000           5.1
  10      8.0180e+04       4.5388e+02       -1.3534e+02        1.000           5.5
  11      6.0575e+04       4.6967e+02       -1.5257e+02        1.000           6.0
  12      4.5764e+04       4.8952e+02       -1.7386e+02        1.000           6.4
  13      3.4574e+04       5.1219e+02       -2.0088e+02        1.000           6.9
  14      2.6121e+04       5.3767e+02       -2.3245e+02        1.000           7.4
  15      1.9734e+04       5.6748e+02       -2.7062e+02        1.000           7.9
  16      1.4909e+04       5.9710e+02       -3.1439e+02        1.000           8.6
  17      1.1263e+04       6.3551e+02       -3.7067e+02        0.999           9.2
  18      8.5095e+03       6.7970e+02       -4.3879e+02        0.999           9.7
  19      6.4288e+03       7.3027e+02       -5.2222e+02        1.000          10.2
  20      4.8569e+03       7.8942e+02       -6.2408e+02        1.000          10.7
  21      3.6694e+03       8.6007e+02       -7.4812e+02        0.999          11.1
  22      2.7722e+03       9.4194e+02       -9.0226e+02        0.999          11.6
  23      2.0944e+03       1.0401e+03       -1.0916e+03        0.999          12.1
  24      1.5823e+03       1.1588e+03       -1.3242e+03        1.000          12.6
  25      1.1954e+03       1.3016e+03       -1.6106e+03        0.998          13.0
  26      9.0311e+02       1.4772e+03       -1.9616e+03        0.998          13.5
  27      6.8229e+02       1.6916e+03       -2.3918e+03        0.999          14.0
  28      5.1546e+02       1.9561e+03       -2.9176e+03        0.999          14.4
  29      3.8943e+02       2.2869e+03       -3.5582e+03        0.999          14.9
  30      2.9421e+02       2.6934e+03       -4.3364e+03        0.999          15.4
  31      2.2227e+02       3.2035e+03       -5.2763e+03        0.999          15.9
  32      1.6793e+02       3.8195e+03       -6.4047e+03        0.999          16.5
  33      1.2687e+02       4.5894e+03       -7.7694e+03        0.998          17.3
  34      9.5846e+01       5.5407e+03       -9.4072e+03        0.999          17.8
  35      7.2411e+01       6.7131e+03       -1.1360e+04        0.999          18.4
  36      5.4092e+01       8.2113e+03       -1.3793e+04        0.999          19.8
  37      3.9533e+01       1.0199e+04       -1.6936e+04        0.999          21.6
  38      2.8174e+01       1.2913e+04       -2.1086e+04        0.999          23.1
  39      1.9503e+01       1.6669e+04       -2.6643e+04        0.999          24.7
  40      1.3058e+01       2.1988e+04       -3.4235e+04        0.999          26.6
  41      8.4196e+00       2.9630e+04       -4.4810e+04        0.999          28.9
  42      5.2123e+00       4.0851e+04       -5.9807e+04        0.999          32.1
  43      3.0979e+00       5.7426e+04       -8.1399e+04        0.999          36.1
  44      1.7783e+00       8.2034e+04       -1.1252e+05        0.999          41.1
  45      1.0000e+00       1.1738e+05       -1.5669e+05        0.999          45.7

