File.......:  cell1ppochloranilliftfsi - AUG,05.2021

System.....:  
Potential..:  0.095V
Current....:  -231.46nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:23:05 - 11:23:51
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.0211e+02       -2.1412e+01        0.999           0.0
   2      7.5549e+05       1.0403e+02       -1.9364e+01        0.999           1.0
   3      5.7077e+05       1.0576e+02       -1.8030e+01        0.999           1.5
   4      4.3121e+05       1.0752e+02       -1.7376e+01        1.000           2.3
   5      3.2578e+05       1.0929e+02       -1.7582e+01        1.000           3.0
   6      2.4612e+05       1.1120e+02       -1.8404e+01        1.000           3.4
   7      1.8594e+05       1.1332e+02       -1.9788e+01        1.000           3.9
   8      1.4048e+05       1.1579e+02       -2.1845e+01        1.000           4.4
   9      1.0613e+05       1.1871e+02       -2.4552e+01        1.000           4.8
  10      8.0180e+04       1.2209e+02       -2.7927e+01        1.000           5.3
  11      6.0575e+04       1.2593e+02       -3.2023e+01        1.000           5.7
  12      4.5764e+04       1.3056e+02       -3.6919e+01        1.000           6.2
  13      3.4574e+04       1.3602e+02       -4.2677e+01        1.000           6.7
  14      2.6121e+04       1.4248e+02       -4.9291e+01        1.000           7.1
  15      1.9734e+04       1.5020e+02       -5.6888e+01        1.000           7.6
  16      1.4909e+04       1.5924e+02       -6.5444e+01        1.000           8.1
  17      1.1263e+04       1.6989e+02       -7.5039e+01        1.000           8.5
  18      8.5095e+03       1.8215e+02       -8.5569e+01        0.999           9.0
  19      6.4288e+03       1.9616e+02       -9.7243e+01        0.999           9.5
  20      4.8569e+03       2.1206e+02       -1.0999e+02        1.000           9.9
  21      3.6694e+03       2.3012e+02       -1.2372e+02        1.000          10.4
  22      2.7722e+03       2.4997e+02       -1.3946e+02        0.999          10.9
  23      2.0944e+03       2.7214e+02       -1.5714e+02        0.999          11.4
  24      1.5823e+03       2.9693e+02       -1.7723e+02        0.999          11.8
  25      1.1954e+03       3.2457e+02       -2.0041e+02        1.000          12.3
  26      9.0311e+02       3.5586e+02       -2.2688e+02        1.000          12.8
  27      6.8229e+02       3.9118e+02       -2.5741e+02        1.000          13.2
  28      5.1546e+02       4.3141e+02       -2.9250e+02        0.999          13.7
  29      3.8943e+02       4.7793e+02       -3.3227e+02        0.999          14.2
  30      2.9421e+02       5.3082e+02       -3.7766e+02        0.999          14.7
  31      2.2227e+02       5.8711e+02       -4.2521e+02        0.999          15.4
  32      1.6793e+02       6.5573e+02       -4.8211e+02        0.999          16.1
  33      1.2687e+02       7.3404e+02       -5.4572e+02        0.999          16.5
  34      9.5846e+01       8.2313e+02       -6.1636e+02        0.999          17.1
  35      7.2411e+01       9.2414e+02       -6.9475e+02        0.999          17.7
  36      5.4092e+01       1.0411e+03       -7.8634e+02        0.999          19.1
  37      3.9533e+01       1.1858e+03       -8.9623e+02        0.999          20.9
  38      2.8174e+01       1.3645e+03       -1.0310e+03        0.999          22.3
  39      1.9503e+01       1.5888e+03       -1.1987e+03        0.999          24.0
  40      1.3058e+01       1.8744e+03       -1.4124e+03        0.999          25.8
  41      8.4196e+00       2.2453e+03       -1.6895e+03        0.999          28.0
  42      5.2123e+00       2.7321e+03       -2.0540e+03        0.999          30.6
  43      3.0979e+00       3.3768e+03       -2.5407e+03        0.999          34.0
  44      1.7783e+00       4.2251e+03       -3.1965e+03        0.999          39.0
  45      1.0000e+00       5.3176e+03       -4.0815e+03        0.999          43.6

