File.......:  cell3ppochloranilliftfsi - AUG,05.2021

System.....:  
Potential..:  -0.010V
Current....:  -14.998nA
Temperature:  -0.7 +-0.0 C
Time.......:  11:29:37 - 11:30:24
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.4220e+02       -4.1443e+01        0.999           0.0
   2      7.5549e+05       1.4612e+02       -3.9487e+01        0.999           1.0
   3      5.7077e+05       1.5015e+02       -3.9450e+01        1.000           1.5
   4      4.3121e+05       1.5437e+02       -4.0736e+01        1.000           2.3
   5      3.2578e+05       1.5904e+02       -4.3709e+01        1.000           3.0
   6      2.4612e+05       1.6426e+02       -4.8045e+01        1.000           3.4
   7      1.8594e+05       1.7032e+02       -5.3871e+01        1.000           3.9
   8      1.4048e+05       1.7737e+02       -6.1330e+01        1.000           4.4
   9      1.0613e+05       1.8550e+02       -7.0358e+01        1.000           4.8
  10      8.0180e+04       1.9516e+02       -8.1485e+01        1.000           5.3
  11      6.0575e+04       2.0605e+02       -9.4781e+01        1.000           5.7
  12      4.5764e+04       2.1929e+02       -1.1066e+02        1.000           6.2
  13      3.4574e+04       2.3488e+02       -1.2949e+02        1.000           6.7
  14      2.6121e+04       2.5336e+02       -1.5125e+02        1.000           7.1
  15      1.9734e+04       2.7531e+02       -1.7665e+02        1.000           7.6
  16      1.4909e+04       3.0103e+02       -2.0598e+02        0.999           8.1
  17      1.1263e+04       3.3156e+02       -2.4010e+02        0.999           8.5
  18      8.5095e+03       3.6670e+02       -2.7897e+02        0.999           9.0
  19      6.4288e+03       4.0766e+02       -3.2428e+02        0.999           9.5
  20      4.8569e+03       4.5491e+02       -3.7632e+02        1.000           9.9
  21      3.6694e+03       5.1040e+02       -4.3580e+02        0.999          10.4
  22      2.7722e+03       5.6932e+02       -5.0211e+02        1.000          11.1
  23      2.0944e+03       6.4220e+02       -5.8303e+02        1.000          11.8
  24      1.5823e+03       7.2715e+02       -6.7727e+02        1.000          12.3
  25      1.1954e+03       8.2583e+02       -7.8742e+02        0.999          12.8
  26      9.0311e+02       9.4192e+02       -9.1504e+02        0.999          13.2
  27      6.8229e+02       1.0774e+03       -1.0628e+03        0.999          13.7
  28      5.1546e+02       1.2360e+03       -1.2330e+03        0.998          14.2
  29      3.8943e+02       1.4229e+03       -1.4275e+03        0.999          14.7
  30      2.9421e+02       1.6382e+03       -1.6503e+03        1.000          15.1
  31      2.2227e+02       1.8890e+03       -1.9027e+03        0.999          15.7
  32      1.6793e+02       2.1741e+03       -2.1924e+03        0.999          16.1
  33      1.2687e+02       2.4990e+03       -2.5254e+03        0.999          16.6
  34      9.5846e+01       2.8695e+03       -2.9114e+03        0.999          17.2
  35      7.2411e+01       3.2918e+03       -3.3605e+03        0.999          17.7
  36      5.4092e+01       3.7812e+03       -3.9145e+03        0.999          19.2
  37      3.9533e+01       4.4085e+03       -4.6206e+03        0.999          21.0
  38      2.8174e+01       5.2106e+03       -5.5407e+03        0.999          22.8
  39      1.9503e+01       6.2844e+03       -6.7643e+03        0.999          24.8
  40      1.3058e+01       7.7477e+03       -8.4091e+03        0.999          26.7
  41      8.4196e+00       9.7956e+03       -1.0643e+04        0.999          29.0
  42      5.2123e+00       1.2713e+04       -1.3693e+04        0.999          31.6
  43      3.0979e+00       1.6873e+04       -1.7865e+04        0.999          34.9
  44      1.7783e+00       2.2768e+04       -2.3551e+04        0.999          39.9
  45      1.0000e+00       3.0812e+04       -3.1198e+04        0.999          44.5

