File.......:  cell2ppobqliftfsi - AUG,18.2021

System.....:  
Potential..:  0.006V
Current....:  -26.137nA
Temperature:  -0.7 +-0.1 C
Time.......:  12:40:52 - 12:41:40
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.1077e+01       -3.1118e+00        0.999           0.0
   2      7.5549e+05       2.1602e+01       -3.9032e+00        0.999           1.3
   3      5.7077e+05       2.2211e+01       -4.7269e+00        1.000           1.8
   4      4.3121e+05       2.2948e+01       -5.6054e+00        1.000           2.5
   5      3.2578e+05       2.3806e+01       -6.6080e+00        1.000           3.3
   6      2.4612e+05       2.4785e+01       -7.7193e+00        1.000           3.7
   7      1.8594e+05       2.5912e+01       -8.9911e+00        1.000           4.1
   8      1.4048e+05       2.7216e+01       -1.0459e+01        1.000           4.6
   9      1.0613e+05       2.8688e+01       -1.2151e+01        1.000           5.1
  10      8.0180e+04       3.0380e+01       -1.4144e+01        1.000           5.5
  11      6.0575e+04       3.2176e+01       -1.6499e+01        1.000           6.0
  12      4.5764e+04       3.4317e+01       -1.9313e+01        1.000           6.4
  13      3.4574e+04       3.6696e+01       -2.2755e+01        1.000           6.9
  14      2.6121e+04       3.9377e+01       -2.6828e+01        0.999           7.4
  15      1.9734e+04       4.2448e+01       -3.1812e+01        1.000           7.9
  16      1.4909e+04       4.5811e+01       -3.7944e+01        0.999           8.3
  17      1.1263e+04       4.9739e+01       -4.5634e+01        0.999           8.8
  18      8.5095e+03       5.4599e+01       -5.5627e+01        0.999           9.5
  19      6.4288e+03       5.9637e+01       -6.7737e+01        0.999          10.2
  20      4.8569e+03       6.5552e+01       -8.2973e+01        1.000          10.7
  21      3.6694e+03       7.2724e+01       -1.0216e+02        0.999          11.1
  22      2.7722e+03       8.1162e+01       -1.2652e+02        0.999          11.6
  23      2.0944e+03       9.1552e+01       -1.5729e+02        0.999          12.1
  24      1.5823e+03       1.0452e+02       -1.9609e+02        0.998          12.6
  25      1.1954e+03       1.2060e+02       -2.4493e+02        0.999          13.0
  26      9.0311e+02       1.4110e+02       -3.0617e+02        0.999          13.5
  27      6.8229e+02       1.6684e+02       -3.8287e+02        0.998          14.0
  28      5.1546e+02       1.9941e+02       -4.7850e+02        0.998          14.4
  29      3.8943e+02       2.4084e+02       -5.9763e+02        0.999          14.9
  30      2.9421e+02       2.8955e+02       -7.3992e+02        0.998          15.6
  31      2.2227e+02       3.5354e+02       -9.2263e+02        0.998          16.3
  32      1.6793e+02       4.3129e+02       -1.1502e+03        0.998          16.8
  33      1.2687e+02       5.2708e+02       -1.4346e+03        0.998          17.3
  34      9.5846e+01       6.4540e+02       -1.7909e+03        0.998          17.8
  35      7.2411e+01       7.9168e+02       -2.2385e+03        0.998          18.4
  36      5.4092e+01       9.7776e+02       -2.8236e+03        0.998          19.8
  37      3.9533e+01       1.2399e+03       -3.6333e+03        0.998          21.6
  38      2.8174e+01       1.6156e+03       -4.7738e+03        0.998          23.1
  39      1.9503e+01       2.1749e+03       -6.4149e+03        0.998          24.7
  40      1.3058e+01       3.0403e+03       -8.8303e+03        0.998          27.1
  41      8.4196e+00       4.4295e+03       -1.2484e+04        0.998          29.8
  42      5.2123e+00       6.7224e+03       -1.8115e+04        0.998          32.4
  43      3.0979e+00       1.0571e+04       -2.6896e+04        0.998          35.8
  44      1.7783e+00       1.7083e+04       -4.0641e+04        0.998          40.8
  45      1.0000e+00       2.7725e+04       -6.1604e+04        0.998          45.5

