File.......:  cell3ppobqliftfsi - AUG,18.2021

System.....:  
Potential..:  -0.001V
Current....:  19.937nA
Temperature:  -0.7 +-0.1 C
Time.......:  12:42:49 - 12:43:37
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.5064e+01       -3.8330e+00        0.999           0.0
   2      7.5549e+05       2.5651e+01       -4.6990e+00        0.999           1.0
   3      5.7077e+05       2.6395e+01       -5.6173e+00        1.000           1.5
   4      4.3121e+05       2.7190e+01       -6.6226e+00        1.000           2.3
   5      3.2578e+05       2.8211e+01       -7.7705e+00        1.000           3.0
   6      2.4612e+05       2.9372e+01       -9.0447e+00        1.000           3.4
   7      1.8594e+05       3.0726e+01       -1.0494e+01        1.000           3.9
   8      1.4048e+05       3.2330e+01       -1.2153e+01        1.000           4.4
   9      1.0613e+05       3.4129e+01       -1.4031e+01        1.000           4.8
  10      8.0180e+04       3.6262e+01       -1.6202e+01        1.000           5.3
  11      6.0575e+04       3.8495e+01       -1.8699e+01        1.000           5.7
  12      4.5764e+04       4.1178e+01       -2.1599e+01        1.000           6.2
  13      3.4574e+04       4.4170e+01       -2.5060e+01        1.000           6.7
  14      2.6121e+04       4.7551e+01       -2.8996e+01        1.000           7.1
  15      1.9734e+04       5.1375e+01       -3.3692e+01        0.999           7.6
  16      1.4909e+04       5.6113e+01       -3.9681e+01        1.000           8.3
  17      1.1263e+04       6.0862e+01       -4.6647e+01        0.999           9.0
  18      8.5095e+03       6.6230e+01       -5.5148e+01        1.000           9.5
  19      6.4288e+03       7.2271e+01       -6.5667e+01        1.000          10.0
  20      4.8569e+03       7.9243e+01       -7.8656e+01        0.999          10.4
  21      3.6694e+03       8.7445e+01       -9.4704e+01        0.999          10.9
  22      2.7722e+03       9.6803e+01       -1.1486e+02        0.999          11.3
  23      2.0944e+03       1.0794e+02       -1.4008e+02        0.999          11.8
  24      1.5823e+03       1.2138e+02       -1.7169e+02        1.000          12.3
  25      1.1954e+03       1.3779e+02       -2.1136e+02        0.999          12.8
  26      9.0311e+02       1.5852e+02       -2.6087e+02        1.000          13.3
  27      6.8229e+02       1.8480e+02       -3.2245e+02        0.999          13.8
  28      5.1546e+02       2.1850e+02       -3.9835e+02        0.999          14.3
  29      3.8943e+02       2.6246e+02       -4.9130e+02        0.999          14.9
  30      2.9421e+02       3.1834e+02       -6.0403e+02        0.998          15.4
  31      2.2227e+02       3.8679e+02       -7.3385e+02        0.999          16.1
  32      1.6793e+02       4.7571e+02       -8.9504e+02        0.999          16.9
  33      1.2687e+02       5.8710e+02       -1.0873e+03        0.999          17.4
  34      9.5846e+01       7.2577e+02       -1.3159e+03        0.999          18.0
  35      7.2411e+01       8.9737e+02       -1.5864e+03        0.999          18.7
  36      5.4092e+01       1.1147e+03       -1.9190e+03        0.999          20.1
  37      3.9533e+01       1.4090e+03       -2.3456e+03        0.999          21.9
  38      2.8174e+01       1.8099e+03       -2.9001e+03        0.999          23.4
  39      1.9503e+01       2.3671e+03       -3.6266e+03        0.999          25.0
  40      1.3058e+01       3.1520e+03       -4.5915e+03        0.999          27.0
  41      8.4196e+00       4.2658e+03       -5.8830e+03        0.999          29.7
  42      5.2123e+00       5.8727e+03       -7.6481e+03        0.999          32.9
  43      3.0979e+00       8.1939e+03       -1.0069e+04        0.999          36.2
  44      1.7783e+00       1.1548e+04       -1.3375e+04        0.999          41.2
  45      1.0000e+00       1.6231e+04       -1.7763e+04        0.999          45.9

