File.......:  cell2litfsi - AUG,24.2021

System.....:  
Potential..:  0.030V
Current....:  -26.678pA
Temperature:  -0.8 +-0.1 C
Time.......:  09:52:22 - 09:53:13
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.3352e+02       -9.8328e+02        0.994           0.0
   2      7.5549e+05       2.5970e+02       -1.2542e+03        0.993           2.4
   3      5.7077e+05       2.7816e+02       -1.6003e+03        0.993           3.5
   4      4.3121e+05       3.7970e+02       -2.0484e+03        0.998           4.9
   5      3.2578e+05       4.1945e+02       -2.6463e+03        0.998           5.9
   6      2.4612e+05       4.6900e+02       -3.4491e+03        0.997           6.3
   7      1.8594e+05       5.0758e+02       -4.5026e+03        0.997           6.7
   8      1.4048e+05       5.8554e+02       -5.8428e+03        0.998           7.2
   9      1.0613e+05       6.5208e+02       -7.6922e+03        0.999           7.7
  10      8.0180e+04       9.2509e+02       -1.0148e+04        0.999           8.3
  11      6.0575e+04       1.0356e+03       -1.3285e+04        0.998           9.0
  12      4.5764e+04       1.1977e+03       -1.7456e+04        0.998           9.4
  13      3.4574e+04       1.3773e+03       -2.2931e+04        0.998           9.9
  14      2.6121e+04       1.6223e+03       -3.0120e+04        0.997          10.4
  15      1.9734e+04       1.9871e+03       -3.9651e+04        0.999          10.8
  16      1.4909e+04       2.4227e+03       -5.2050e+04        0.999          11.3
  17      1.1263e+04       3.0769e+03       -6.8680e+04        0.999          11.7
  18      8.5095e+03       3.7229e+03       -9.0293e+04        0.999          12.2
  19      6.4288e+03       6.6041e+03       -1.1919e+05        0.999          12.9
  20      4.8569e+03       8.1258e+03       -1.5706e+05        0.999          13.6
  21      3.6694e+03       1.0915e+04       -2.0643e+05        0.997          14.0
  22      2.7722e+03       1.4363e+04       -2.7156e+05        0.999          14.5
  23      2.0944e+03       1.9875e+04       -3.5734e+05        0.998          14.9
  24      1.5823e+03       2.8448e+04       -4.7064e+05        0.998          15.4
  25      1.1954e+03       4.1827e+04       -6.1915e+05        0.997          15.9
  26      9.0311e+02       6.2665e+04       -8.1403e+05        0.998          16.3
  27      6.8229e+02       1.2087e+05       -1.0712e+06        0.998          17.0
  28      5.1546e+02       1.7644e+05       -1.4022e+06        0.997          17.7
  29      3.8943e+02       2.6976e+05       -1.8355e+06        0.997          18.2
  30      2.9421e+02       4.2143e+05       -2.3882e+06        0.998          18.6
  31      2.2227e+02       6.7052e+05       -3.0879e+06        0.997          19.1
  32      1.6793e+02       1.0717e+06       -3.9712e+06        0.999          19.5
  33      1.2687e+02       1.6892e+06       -5.0287e+06        0.996          20.0
  34      9.5846e+01       2.7876e+06       -6.3004e+06        0.996          20.5
  35      7.2411e+01       4.2048e+06       -7.3908e+06        0.997          21.1
  36      5.4092e+01       5.4149e+06       -7.0460e+06        0.997          22.5
  37      3.9533e+01       8.7723e+06       -9.3415e+06        0.992          24.6
  38      2.8174e+01       1.1032e+07       -8.8160e+06        0.974          26.4
  39      1.9503e+01       1.3835e+07       -7.9641e+06        0.979          28.0
  40      1.3058e+01       1.6451e+07       -6.4585e+06        0.992          29.9
  41      8.4196e+00       1.7728e+07       -4.9807e+06        0.984          32.0
  42      5.2123e+00       1.8754e+07       -3.5657e+06        0.996          34.7
  43      3.0979e+00       1.9475e+07       -2.6320e+06        1.000          38.0
  44      1.7783e+00       1.9982e+07       -1.9629e+06        1.000          42.9
  45      1.0000e+00       2.0412e+07       -1.5313e+06        0.999          47.5

