File.......:  cell2ppobqlitfsi - AUG,25.2021

System.....:  
Potential..:  0.058V
Current....:  -5.996nA
Temperature:  -0.7 +-0.0 C
Time.......:  11:34:32 - 11:35:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.8938e+01       -8.9435e+02        0.991           0.0
   2      7.5549e+05       1.1111e+02       -1.1746e+03        0.994           1.9
   3      5.7077e+05       1.8504e+02       -1.5304e+03        0.994           2.7
   4      4.3121e+05       3.8753e+02       -1.9750e+03        0.997           3.7
   5      3.2578e+05       6.4417e+02       -2.5189e+03        0.997           4.6
   6      2.4612e+05       1.0288e+03       -3.1808e+03        0.998           5.0
   7      1.8594e+05       1.5678e+03       -3.9318e+03        0.998           5.5
   8      1.4048e+05       2.4135e+03       -4.6524e+03        0.997           5.9
   9      1.0613e+05       3.5104e+03       -5.4392e+03        0.999           6.4
  10      8.0180e+04       4.8734e+03       -5.9695e+03        0.999           6.8
  11      6.0575e+04       6.4114e+03       -6.1823e+03        0.999           7.5
  12      4.5764e+04       7.8657e+03       -6.1794e+03        0.999           8.2
  13      3.4574e+04       9.1899e+03       -5.9638e+03        0.999           8.6
  14      2.6121e+04       1.0325e+04       -5.6347e+03        1.000           9.1
  15      1.9734e+04       1.1274e+04       -5.3075e+03        1.000           9.5
  16      1.4909e+04       1.2068e+04       -5.0542e+03        1.000          10.0
  17      1.1263e+04       1.2756e+04       -4.9154e+03        1.000          10.4
  18      8.5095e+03       1.3386e+04       -4.9161e+03        1.000          10.9
  19      6.4288e+03       1.3999e+04       -5.0729e+03        0.999          11.4
  20      4.8569e+03       1.4629e+04       -5.3690e+03        1.000          11.8
  21      3.6694e+03       1.5317e+04       -5.8233e+03        1.000          12.3
  22      2.7722e+03       1.6059e+04       -6.4717e+03        1.000          12.7
  23      2.0944e+03       1.6896e+04       -7.3038e+03        1.000          13.2
  24      1.5823e+03       1.7859e+04       -8.3438e+03        0.999          13.7
  25      1.1954e+03       1.8963e+04       -9.6329e+03        1.000          14.1
  26      9.0311e+02       2.0260e+04       -1.1184e+04        1.000          14.6
  27      6.8229e+02       2.1781e+04       -1.3055e+04        1.000          15.0
  28      5.1546e+02       2.3576e+04       -1.5280e+04        0.999          15.5
  29      3.8943e+02       2.5735e+04       -1.7899e+04        1.000          16.0
  30      2.9421e+02       2.8281e+04       -2.0990e+04        0.999          16.4
  31      2.2227e+02       3.1360e+04       -2.4575e+04        0.999          16.9
  32      1.6793e+02       3.4998e+04       -2.8754e+04        0.999          17.3
  33      1.2687e+02       3.9346e+04       -3.3555e+04        0.999          17.8
  34      9.5846e+01       4.4559e+04       -3.9052e+04        0.999          18.3
  35      7.2411e+01       5.0747e+04       -4.5229e+04        0.999          18.9
  36      5.4092e+01       5.8010e+04       -5.2447e+04        0.999          20.7
  37      3.9533e+01       6.7689e+04       -6.1268e+04        0.999          22.8
  38      2.8174e+01       7.9992e+04       -7.1953e+04        0.999          24.2
  39      1.9503e+01       9.5898e+04       -8.4946e+04        0.999          25.8
  40      1.3058e+01       1.1649e+05       -1.0102e+05        0.999          27.7
  41      8.4196e+00       1.4339e+05       -1.2135e+05        0.998          29.8
  42      5.2123e+00       1.7851e+05       -1.4768e+05        0.998          32.5
  43      3.0979e+00       2.2464e+05       -1.8264e+05        0.998          35.8
  44      1.7783e+00       2.8529e+05       -2.3025e+05        0.998          40.8
  45      1.0000e+00       3.6324e+05       -2.9488e+05        0.998          45.4

