File.......:  cell1ppochloranillitfsi0604 - AUG,25.2021

System.....:  
Potential..:  0.052V
Current....:  -127.77nA
Temperature:  -0.7 +-0.1 C
Time.......:  11:31:41 - 11:32:28
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.9648e+02       -6.8882e+01        0.999           0.0
   2      7.5549e+05       2.0518e+02       -6.0571e+01        0.999           1.0
   3      5.7077e+05       2.1175e+02       -5.6007e+01        0.999           1.5
   4      4.3121e+05       2.1764e+02       -5.1789e+01        1.000           2.3
   5      3.2578e+05       2.2337e+02       -5.0411e+01        1.000           3.0
   6      2.4612e+05       2.2832e+02       -5.0897e+01        1.000           3.4
   7      1.8594e+05       2.3431e+02       -5.3107e+01        1.000           3.8
   8      1.4048e+05       2.4049e+02       -5.7122e+01        1.000           4.3
   9      1.0613e+05       2.4754e+02       -6.2865e+01        1.000           4.8
  10      8.0180e+04       2.5614e+02       -7.0550e+01        1.000           5.2
  11      6.0575e+04       2.6491e+02       -8.0468e+01        1.000           5.7
  12      4.5764e+04       2.7611e+02       -9.2572e+01        1.000           6.1
  13      3.4574e+04       2.8885e+02       -1.0748e+02        1.000           6.6
  14      2.6121e+04       3.0366e+02       -1.2492e+02        1.000           7.0
  15      1.9734e+04       3.2152e+02       -1.4566e+02        1.000           7.5
  16      1.4909e+04       3.4282e+02       -1.7022e+02        1.000           7.9
  17      1.1263e+04       3.6914e+02       -1.9868e+02        1.000           8.4
  18      8.5095e+03       4.0053e+02       -2.3078e+02        1.000           8.8
  19      6.4288e+03       4.3867e+02       -2.6695e+02        1.000           9.3
  20      4.8569e+03       4.8423e+02       -3.0614e+02        1.000           9.8
  21      3.6694e+03       5.3880e+02       -3.4706e+02        1.000          10.2
  22      2.7722e+03       5.9587e+02       -3.8805e+02        1.000          10.9
  23      2.0944e+03       6.6510e+02       -4.3320e+02        1.000          11.6
  24      1.5823e+03       7.4243e+02       -4.7977e+02        0.999          12.0
  25      1.1954e+03       8.2709e+02       -5.2858e+02        0.999          12.5
  26      9.0311e+02       9.1983e+02       -5.7956e+02        0.999          13.0
  27      6.8229e+02       1.0195e+03       -6.3420e+02        0.999          13.4
  28      5.1546e+02       1.1272e+03       -6.9343e+02        0.999          13.9
  29      3.8943e+02       1.2446e+03       -7.5799e+02        0.999          14.4
  30      2.9421e+02       1.3700e+03       -8.3018e+02        0.999          14.8
  31      2.2227e+02       1.5069e+03       -9.1025e+02        0.999          15.3
  32      1.6793e+02       1.6549e+03       -1.0019e+03        0.999          15.7
  33      1.2687e+02       1.8168e+03       -1.1060e+03        0.999          16.2
  34      9.5846e+01       1.9962e+03       -1.2245e+03        0.999          16.8
  35      7.2411e+01       2.1938e+03       -1.3576e+03        0.998          17.4
  36      5.4092e+01       2.4180e+03       -1.5179e+03        0.998          18.8
  37      3.9533e+01       2.6932e+03       -1.7119e+03        0.998          20.5
  38      2.8174e+01       3.0310e+03       -1.9539e+03        0.998          21.9
  39      1.9503e+01       3.4498e+03       -2.2564e+03        0.997          23.5
  40      1.3058e+01       3.9792e+03       -2.6457e+03        0.997          25.4
  41      8.4196e+00       4.6610e+03       -3.1550e+03        0.996          27.6
  42      5.2123e+00       5.5578e+03       -3.8361e+03        0.995          30.2
  43      3.0979e+00       6.7389e+03       -4.7521e+03        0.995          34.2
  44      1.7783e+00       8.3311e+03       -6.0055e+03        0.994          39.8
  45      1.0000e+00       1.0411e+04       -7.6873e+03        0.992          44.5

