File.......:  cell2ppochloranillitfsi0825 - AUG,27.2021

System.....:  
Potential..:  -0.023V
Current....:  -431.9pA
Temperature:  -0.7 +-0.1 C
Time.......:  12:49:15 - 12:50:03
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.9901e+01       -9.5849e+02        0.999           0.0
   2      7.5549e+05      -1.4876e+01       -1.2926e+03        0.998           1.8
   3      5.7077e+05      -5.7794e+01       -1.6880e+03        0.997           2.3
   4      4.3121e+05       7.4325e+01       -2.2095e+03        0.997           3.3
   5      3.2578e+05       1.0459e+02       -2.9181e+03        0.996           4.2
   6      2.4612e+05       1.6026e+02       -3.8371e+03        0.996           4.7
   7      1.8594e+05       1.9707e+02       -4.9468e+03        0.993           5.1
   8      1.4048e+05       3.4475e+02       -6.5370e+03        0.995           5.6
   9      1.0613e+05       4.9723e+02       -8.5846e+03        0.998           6.1
  10      8.0180e+04       6.8826e+02       -1.1309e+04        0.997           6.5
  11      6.0575e+04       1.1578e+03       -1.4803e+04        0.998           7.2
  12      4.5764e+04       1.5566e+03       -1.9392e+04        0.998           7.9
  13      3.4574e+04       2.1594e+03       -2.5414e+04        0.998           8.4
  14      2.6121e+04       3.1593e+03       -3.3209e+04        0.999           8.9
  15      1.9734e+04       4.5461e+03       -4.3499e+04        0.998           9.3
  16      1.4909e+04       6.7135e+03       -5.6828e+04        0.998           9.8
  17      1.1263e+04       1.0463e+04       -7.4146e+04        0.998          10.2
  18      8.5095e+03       1.5958e+04       -9.6505e+04        0.997          10.7
  19      6.4288e+03       2.6943e+04       -1.2496e+05        0.998          11.4
  20      4.8569e+03       4.1594e+04       -1.6094e+05        1.000          12.1
  21      3.6694e+03       6.4699e+04       -2.0381e+05        0.998          12.6
  22      2.7722e+03       1.0014e+05       -2.5424e+05        0.998          13.1
  23      2.0944e+03       1.5266e+05       -3.0865e+05        0.998          13.5
  24      1.5823e+03       2.2653e+05       -3.6059e+05        1.000          14.0
  25      1.1954e+03       3.1952e+05       -4.0033e+05        1.000          14.5
  26      9.0311e+02       4.2726e+05       -4.1857e+05        0.999          15.0
  27      6.8229e+02       5.3457e+05       -4.1124e+05        0.999          15.4
  28      5.1546e+02       6.3195e+05       -3.8250e+05        0.999          15.9
  29      3.8943e+02       7.1557e+05       -3.3238e+05        0.999          16.6
  30      2.9421e+02       7.7274e+05       -2.8976e+05        0.999          17.3
  31      2.2227e+02       8.1973e+05       -2.4821e+05        0.999          17.8
  32      1.6793e+02       8.5145e+05       -2.1316e+05        0.999          18.2
  33      1.2687e+02       8.7792e+05       -1.8518e+05        1.000          18.7
  34      9.5846e+01       8.9975e+05       -1.6743e+05        1.000          19.3
  35      7.2411e+01       9.1495e+05       -1.5152e+05        0.999          19.9
  36      5.4092e+01       9.3286e+05       -1.6321e+05        0.999          21.3
  37      3.9533e+01       9.5782e+05       -1.3808e+05        1.000          23.1
  38      2.8174e+01       9.7412e+05       -1.2719e+05        0.999          24.5
  39      1.9503e+01       1.0003e+06       -1.3414e+05        0.997          26.1
  40      1.3058e+01       1.0252e+06       -1.4164e+05        0.999          27.9
  41      8.4196e+00       1.0576e+06       -1.5700e+05        0.999          30.1
  42      5.2123e+00       1.0956e+06       -1.8388e+05        1.000          32.8
  43      3.0979e+00       1.1469e+06       -2.2515e+05        1.000          36.1
  44      1.7783e+00       1.2126e+06       -2.8926e+05        1.000          41.0
  45      1.0000e+00       1.3005e+06       -3.8591e+05        1.000          45.6

