File.......:  cell2ppochoranillitfsi - AUG,31.2021

System.....:  
Potential..:  0.030V
Current....:  -29.783nA
Temperature:  -0.7 +-0.2 C
Time.......:  14:19:29 - 14:20:17
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.0538e+01       -5.5408e+00        0.999           0.0
   2      7.5549e+05       3.1173e+01       -6.5151e+00        0.999           1.0
   3      5.7077e+05       3.2107e+01       -7.6425e+00        1.000           1.5
   4      4.3121e+05       3.3135e+01       -8.9440e+00        1.000           2.3
   5      3.2578e+05       3.4434e+01       -1.0472e+01        1.000           3.0
   6      2.4612e+05       3.5947e+01       -1.2186e+01        1.000           3.4
   7      1.8594e+05       3.7732e+01       -1.4167e+01        1.000           3.8
   8      1.4048e+05       3.9818e+01       -1.6441e+01        1.000           4.3
   9      1.0613e+05       4.2149e+01       -1.9025e+01        1.000           4.8
  10      8.0180e+04       4.4870e+01       -2.2046e+01        1.000           5.2
  11      6.0575e+04       4.7625e+01       -2.5606e+01        1.000           5.7
  12      4.5764e+04       5.0906e+01       -2.9867e+01        1.000           6.1
  13      3.4574e+04       5.4467e+01       -3.5151e+01        1.000           6.6
  14      2.6121e+04       5.9060e+01       -4.1757e+01        0.999           7.2
  15      1.9734e+04       6.3488e+01       -4.9669e+01        0.999           7.9
  16      1.4909e+04       6.8443e+01       -5.9466e+01        0.999           8.4
  17      1.1263e+04       7.3947e+01       -7.1859e+01        1.000           8.8
  18      8.5095e+03       8.0164e+01       -8.7489e+01        1.000           9.3
  19      6.4288e+03       8.7223e+01       -1.0746e+02        0.999           9.8
  20      4.8569e+03       9.5562e+01       -1.3294e+02        0.998          10.2
  21      3.6694e+03       1.0592e+02       -1.6544e+02        1.000          10.7
  22      2.7722e+03       1.1860e+02       -2.0711e+02        0.999          11.1
  23      2.0944e+03       1.3501e+02       -2.6000e+02        0.998          11.7
  24      1.5823e+03       1.5655e+02       -3.2688e+02        0.998          12.1
  25      1.1954e+03       1.8469e+02       -4.1078e+02        0.998          12.7
  26      9.0311e+02       2.2213e+02       -5.1531e+02        0.999          13.2
  27      6.8229e+02       2.6896e+02       -6.3995e+02        0.998          13.8
  28      5.1546e+02       3.3254e+02       -7.9810e+02        0.999          14.6
  29      3.8943e+02       4.1620e+02       -9.9191e+02        0.998          15.2
  30      2.9421e+02       5.2311e+02       -1.2277e+03        0.998          15.6
  31      2.2227e+02       6.6167e+02       -1.5134e+03        0.999          16.2
  32      1.6793e+02       8.3599e+02       -1.8578e+03        0.998          16.7
  33      1.2687e+02       1.0556e+03       -2.2712e+03        0.999          17.2
  34      9.5846e+01       1.3309e+03       -2.7669e+03        0.999          17.8
  35      7.2411e+01       1.6727e+03       -3.3569e+03        0.999          18.4
  36      5.4092e+01       2.1000e+03       -4.0889e+03        0.999          19.8
  37      3.9533e+01       2.6810e+03       -5.0420e+03        0.999          21.6
  38      2.8174e+01       3.4689e+03       -6.2994e+03        0.999          23.5
  39      1.9503e+01       4.5760e+03       -8.0018e+03        0.999          25.5
  40      1.3058e+01       6.1674e+03       -1.0341e+04        0.998          27.5
  41      8.4196e+00       8.5242e+03       -1.3592e+04        0.998          29.7
  42      5.2123e+00       1.2069e+04       -1.8143e+04        0.998          32.4
  43      3.0979e+00       1.7373e+04       -2.4457e+04        0.997          35.8
  44      1.7783e+00       2.5191e+04       -3.3223e+04        0.997          40.8
  45      1.0000e+00       3.6055e+04       -4.5101e+04        0.996          45.4

