File.......:  cell2ppochloranillitfsi0604 - SEP,01.2021

System.....:  
Potential..:  -0.002V
Current....:  -1.6253nA
Temperature:  -0.7 +-0.0 C
Time.......:  16:18:38 - 16:19:26
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.3354e+01       -9.0575e+02        0.998           0.0
   2      7.5549e+05      -7.0112e+00       -1.2343e+03        0.993           1.5
   3      5.7077e+05      -1.8310e+01       -1.6040e+03        0.996           2.1
   4      4.3121e+05       6.9636e+01       -2.0803e+03        0.997           3.0
   5      3.2578e+05       1.0101e+02       -2.7267e+03        0.999           4.0
   6      2.4612e+05       1.5918e+02       -3.5904e+03        0.996           4.4
   7      1.8594e+05       2.4241e+02       -4.6833e+03        0.998           4.8
   8      1.4048e+05       3.3526e+02       -6.2067e+03        0.998           5.3
   9      1.0613e+05       4.1845e+02       -8.0844e+03        0.999           5.7
  10      8.0180e+04       7.5351e+02       -1.0642e+04        0.999           6.4
  11      6.0575e+04       9.9296e+02       -1.3923e+04        0.998           7.1
  12      4.5764e+04       1.3165e+03       -1.8257e+04        0.999           7.5
  13      3.4574e+04       1.7960e+03       -2.3954e+04        0.998           8.0
  14      2.6121e+04       2.5494e+03       -3.1390e+04        0.997           8.5
  15      1.9734e+04       3.6884e+03       -4.1156e+04        0.999           8.9
  16      1.4909e+04       5.4926e+03       -5.3908e+04        0.998           9.4
  17      1.1263e+04       8.2223e+03       -7.0580e+04        0.999           9.8
  18      8.5095e+03       1.2549e+04       -9.2052e+04        0.998          10.3
  19      6.4288e+03       2.1521e+04       -1.1972e+05        0.998          11.0
  20      4.8569e+03       3.2628e+04       -1.5472e+05        0.999          11.7
  21      3.6694e+03       5.1264e+04       -1.9858e+05        0.999          12.3
  22      2.7722e+03       7.9412e+04       -2.5143e+05        0.999          12.8
  23      2.0944e+03       1.2228e+05       -3.1270e+05        0.998          13.3
  24      1.5823e+03       1.8469e+05       -3.7893e+05        0.999          13.8
  25      1.1954e+03       2.6982e+05       -4.4401e+05        0.999          14.3
  26      9.0311e+02       3.7773e+05       -4.9781e+05        0.999          14.8
  27      6.8229e+02       5.0103e+05       -5.3285e+05        0.998          15.4
  28      5.1546e+02       6.3945e+05       -5.3441e+05        0.999          16.1
  29      3.8943e+02       7.6301e+05       -5.2320e+05        0.999          16.8
  30      2.9421e+02       8.7337e+05       -4.9677e+05        0.999          17.3
  31      2.2227e+02       9.7086e+05       -4.5634e+05        0.999          17.8
  32      1.6793e+02       1.0499e+06       -4.2564e+05        0.999          18.2
  33      1.2687e+02       1.1209e+06       -3.9116e+05        0.999          18.7
  34      9.5846e+01       1.1762e+06       -3.5643e+05        0.999          19.3
  35      7.2411e+01       1.2307e+06       -3.3884e+05        1.000          19.8
  36      5.4092e+01       1.2473e+06       -3.4914e+05        0.999          21.3
  37      3.9533e+01       1.3466e+06       -3.1442e+05        1.000          23.0
  38      2.8174e+01       1.3956e+06       -3.1769e+05        0.998          24.4
  39      1.9503e+01       1.4578e+06       -3.1846e+05        0.997          26.0
  40      1.3058e+01       1.5257e+06       -3.2927e+05        0.999          27.9
  41      8.4196e+00       1.6101e+06       -3.5246e+05        0.997          30.0
  42      5.2123e+00       1.7057e+06       -3.9252e+05        0.999          32.7
  43      3.0979e+00       1.8256e+06       -4.5163e+05        1.000          36.0
  44      1.7783e+00       1.9715e+06       -5.3925e+05        1.000          40.9
  45      1.0000e+00       2.1507e+06       -6.6562e+05        1.000          45.5

