File.......:  cell4ppochloranilliftfsi - SEP,01.2021

System.....:  
Potential..:  0.001V
Current....:  -52.213nA
Temperature:  -0.7 +-0.1 C
Time.......:  16:23:37 - 16:24:24
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.5719e+01       -1.1717e+00        0.999           0.0
   2      7.5549e+05       3.5778e+01       -1.4331e+00        0.999           1.0
   3      5.7077e+05       3.5859e+01       -1.8127e+00        1.000           1.5
   4      4.3121e+05       3.5954e+01       -2.2011e+00        1.000           2.3
   5      3.2578e+05       3.6163e+01       -2.7214e+00        1.000           3.0
   6      2.4612e+05       3.6398e+01       -3.3491e+00        1.000           3.4
   7      1.8594e+05       3.6728e+01       -4.1237e+00        1.000           3.8
   8      1.4048e+05       3.7173e+01       -5.0810e+00        1.000           4.3
   9      1.0613e+05       3.7672e+01       -6.2557e+00        1.000           4.8
  10      8.0180e+04       3.8368e+01       -7.6855e+00        1.000           5.2
  11      6.0575e+04       3.9104e+01       -9.5070e+00        1.000           5.7
  12      4.5764e+04       4.0156e+01       -1.1669e+01        1.000           6.1
  13      3.4574e+04       4.1450e+01       -1.4355e+01        1.000           6.6
  14      2.6121e+04       4.3006e+01       -1.7503e+01        1.000           7.0
  15      1.9734e+04       4.4928e+01       -2.1358e+01        1.000           7.5
  16      1.4909e+04       4.7223e+01       -2.6050e+01        1.000           7.9
  17      1.1263e+04       5.0097e+01       -3.1782e+01        0.999           8.4
  18      8.5095e+03       5.3458e+01       -3.8672e+01        0.999           8.8
  19      6.4288e+03       5.8012e+01       -4.7610e+01        1.000           9.5
  20      4.8569e+03       6.2860e+01       -5.8048e+01        0.999          10.2
  21      3.6694e+03       6.8717e+01       -7.0812e+01        1.000          10.7
  22      2.7722e+03       7.5514e+01       -8.6700e+01        0.999          11.1
  23      2.0944e+03       8.3627e+01       -1.0641e+02        0.999          11.6
  24      1.5823e+03       9.3358e+01       -1.3099e+02        0.999          12.0
  25      1.1954e+03       1.0497e+02       -1.6176e+02        1.000          12.5
  26      9.0311e+02       1.1919e+02       -2.0031e+02        0.998          13.0
  27      6.8229e+02       1.3659e+02       -2.4877e+02        1.000          13.4
  28      5.1546e+02       1.5832e+02       -3.0961e+02        0.998          13.9
  29      3.8943e+02       1.8630e+02       -3.8609e+02        0.999          14.4
  30      2.9421e+02       2.2189e+02       -4.8166e+02        1.000          14.9
  31      2.2227e+02       2.6896e+02       -6.0046e+02        0.999          15.5
  32      1.6793e+02       3.2679e+02       -7.4148e+02        0.999          16.1
  33      1.2687e+02       4.0584e+02       -9.2014e+02        0.999          16.9
  34      9.5846e+01       5.0951e+02       -1.1377e+03        0.999          17.5
  35      7.2411e+01       6.4436e+02       -1.3993e+03        0.999          18.1
  36      5.4092e+01       8.2191e+02       -1.7247e+03        0.999          19.6
  37      3.9533e+01       1.0719e+03       -2.1450e+03        0.999          21.4
  38      2.8174e+01       1.4214e+03       -2.6937e+03        1.000          22.8
  39      1.9503e+01       1.9153e+03       -3.4171e+03        1.000          24.5
  40      1.3058e+01       2.6178e+03       -4.3888e+03        1.000          26.4
  41      8.4196e+00       3.6354e+03       -5.7208e+03        1.000          28.6
  42      5.2123e+00       5.1275e+03       -7.5688e+03        1.000          31.9
  43      3.0979e+00       7.3423e+03       -1.0155e+04        1.000          35.8
  44      1.7783e+00       1.0643e+04       -1.3785e+04        1.000          40.8
  45      1.0000e+00       1.5395e+04       -1.8653e+04        0.999          45.4

