File.......:  cell3ppochloranilliftfsi0831m - SEP,02.2021

System.....:  
Potential..:  0.029V
Current....:  -1.7772nA
Temperature:  -0.8 +-0.1 C
Time.......:  11:36:17 - 11:37:07
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -2.7780e+01       -9.5109e+02        0.996           0.0
   2      7.5549e+05      -2.1512e+00       -1.2765e+03        0.996           1.5
   3      5.7077e+05      -6.2630e+01       -1.6719e+03        0.991           2.1
   4      4.3121e+05       8.1429e+01       -2.2105e+03        0.997           3.0
   5      3.2578e+05       1.3088e+02       -2.8504e+03        0.996           4.0
   6      2.4612e+05       1.9661e+02       -3.7864e+03        0.995           4.4
   7      1.8594e+05       3.1549e+02       -4.8796e+03        0.995           4.9
   8      1.4048e+05       5.1298e+02       -6.5185e+03        0.991           5.4
   9      1.0613e+05       6.7683e+02       -8.4991e+03        0.998           5.8
  10      8.0180e+04       8.5700e+02       -1.1108e+04        0.999           6.3
  11      6.0575e+04       1.6037e+03       -1.4517e+04        0.998           7.0
  12      4.5764e+04       2.3437e+03       -1.8950e+04        0.998           7.6
  13      3.4574e+04       3.5745e+03       -2.4774e+04        0.998           8.1
  14      2.6121e+04       5.4115e+03       -3.2285e+04        0.998           8.6
  15      1.9734e+04       8.4579e+03       -4.1816e+04        1.000           9.1
  16      1.4909e+04       1.3195e+04       -5.3594e+04        0.998           9.5
  17      1.1263e+04       2.1047e+04       -6.8074e+04        0.998          10.0
  18      8.5095e+03       3.2784e+04       -8.4704e+04        0.998          10.5
  19      6.4288e+03       5.1524e+04       -1.0269e+05        0.999          11.2
  20      4.8569e+03       7.6076e+04       -1.1939e+05        0.999          11.9
  21      3.6694e+03       1.0576e+05       -1.3314e+05        0.999          12.4
  22      2.7722e+03       1.4011e+05       -1.4028e+05        0.999          12.9
  23      2.0944e+03       1.7501e+05       -1.4007e+05        0.999          13.4
  24      1.5823e+03       2.0710e+05       -1.3326e+05        0.999          13.9
  25      1.1954e+03       2.3435e+05       -1.2300e+05        1.000          14.5
  26      9.0311e+02       2.5654e+05       -1.1120e+05        0.999          14.9
  27      6.8229e+02       2.7438e+05       -1.0058e+05        0.999          15.4
  28      5.1546e+02       2.8901e+05       -9.1878e+04        0.999          15.9
  29      3.8943e+02       3.0113e+05       -8.4635e+04        1.000          16.3
  30      2.9421e+02       3.1262e+05       -8.0828e+04        1.000          16.8
  31      2.2227e+02       3.2301e+05       -7.8155e+04        0.999          17.3
  32      1.6793e+02       3.3391e+05       -7.7636e+04        1.000          17.7
  33      1.2687e+02       3.4475e+05       -7.8572e+04        1.000          18.2
  34      9.5846e+01       3.5711e+05       -8.0063e+04        1.000          18.8
  35      7.2411e+01       3.6981e+05       -8.6722e+04        1.000          19.3
  36      5.4092e+01       3.8902e+05       -1.0233e+05        0.999          20.8
  37      3.9533e+01       4.0090e+05       -1.0110e+05        0.999          22.5
  38      2.8174e+01       4.1716e+05       -1.0919e+05        0.997          24.0
  39      1.9503e+01       4.4219e+05       -1.2498e+05        0.997          25.6
  40      1.3058e+01       4.7064e+05       -1.4231e+05        0.999          27.5
  41      8.4196e+00       5.0660e+05       -1.6567e+05        0.998          29.7
  42      5.2123e+00       5.5267e+05       -1.9866e+05        0.999          32.3
  43      3.0979e+00       6.1121e+05       -2.4561e+05        1.000          35.6
  44      1.7783e+00       6.8802e+05       -3.1236e+05        0.999          42.5
  45      1.0000e+00       7.8965e+05       -4.0806e+05        0.999          47.0

