File.......:  cell1ppochloranilliftfsi0831m - SEP,02.2021

System.....:  
Potential..:  -0.010V
Current....:  -98.396nA
Temperature:  -0.8 +-0.1 C
Time.......:  11:32:27 - 11:33:14
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.5834e+01        1.6363e+00        0.999           0.0
   2      7.5549e+05       1.5879e+01        9.9886e-01        0.999           1.0
   3      5.7077e+05       1.5931e+01        4.8247e-01        1.000           1.5
   4      4.3121e+05       1.6010e+01        2.9117e-02        1.000           2.3
   5      3.2578e+05       1.6116e+01       -3.6587e-01        1.000           3.0
   6      2.4612e+05       1.6208e+01       -7.4487e-01        1.000           3.4
   7      1.8594e+05       1.6312e+01       -1.1322e+00        1.000           3.9
   8      1.4048e+05       1.6455e+01       -1.5527e+00        1.000           4.4
   9      1.0613e+05       1.6625e+01       -2.0341e+00        1.000           4.8
  10      8.0180e+04       1.6819e+01       -2.6027e+00        1.000           5.3
  11      6.0575e+04       1.7024e+01       -3.3010e+00        1.000           5.7
  12      4.5764e+04       1.7292e+01       -4.1472e+00        1.000           6.2
  13      3.4574e+04       1.7624e+01       -5.2096e+00        1.000           6.7
  14      2.6121e+04       1.8022e+01       -6.5168e+00        1.000           7.1
  15      1.9734e+04       1.8523e+01       -8.1748e+00        1.000           7.6
  16      1.4909e+04       1.9124e+01       -1.0260e+01        1.000           8.1
  17      1.1263e+04       1.9894e+01       -1.2911e+01        0.999           8.5
  18      8.5095e+03       2.0855e+01       -1.6250e+01        0.999           9.0
  19      6.4288e+03       2.2065e+01       -2.0491e+01        0.999           9.5
  20      4.8569e+03       2.3640e+01       -2.5824e+01        0.999           9.9
  21      3.6694e+03       2.5742e+01       -3.2514e+01        0.999          10.4
  22      2.7722e+03       2.8384e+01       -4.0970e+01        0.998          10.9
  23      2.0944e+03       3.1840e+01       -5.1565e+01        1.000          11.4
  24      1.5823e+03       3.6717e+01       -6.5431e+01        0.999          12.1
  25      1.1954e+03       4.2747e+01       -8.2164e+01        0.998          12.8
  26      9.0311e+02       5.0861e+01       -1.0293e+02        0.998          13.2
  27      6.8229e+02       6.1659e+01       -1.2852e+02        0.998          13.7
  28      5.1546e+02       7.6083e+01       -1.5975e+02        0.999          14.2
  29      3.8943e+02       9.5443e+01       -1.9745e+02        0.999          14.7
  30      2.9421e+02       1.2076e+02       -2.4228e+02        0.999          15.1
  31      2.2227e+02       1.5400e+02       -2.9489e+02        0.999          15.6
  32      1.6793e+02       1.9603e+02       -3.5582e+02        0.999          16.1
  33      1.2687e+02       2.4882e+02       -4.2554e+02        0.999          16.6
  34      9.5846e+01       3.1379e+02       -5.0440e+02        0.999          17.2
  35      7.2411e+01       3.8821e+02       -5.8788e+02        0.999          18.1
  36      5.4092e+01       4.8307e+02       -6.9017e+02        0.999          19.8
  37      3.9533e+01       6.0504e+02       -8.1425e+02        0.999          21.6
  38      2.8174e+01       7.6144e+02       -9.6799e+02        0.999          23.2
  39      1.9503e+01       9.6493e+02       -1.1619e+03        0.999          24.8
  40      1.3058e+01       1.2336e+03       -1.4125e+03        0.999          26.7
  41      8.4196e+00       1.5972e+03       -1.7425e+03        0.999          28.9
  42      5.2123e+00       2.0980e+03       -2.1806e+03        0.999          31.6
  43      3.0979e+00       2.7945e+03       -2.7630e+03        0.999          35.0
  44      1.7783e+00       3.7550e+03       -3.5236e+03        0.999          39.9
  45      1.0000e+00       5.0583e+03       -4.4822e+03        0.999          44.5

