File.......:  cell10ppochloranilliftfsi - SEP,06.2021

System.....:  
Potential..:  0.005V
Current....:  -47.467nA
Temperature:  -0.8 +-0.1 C
Time.......:  14:47:16 - 14:48:04
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       8.1017e+01       -7.0490e+00        0.999           0.0
   2      7.5549e+05       8.1367e+01       -5.6617e+00        0.999           1.0
   3      5.7077e+05       8.1692e+01       -4.6971e+00        0.999           1.5
   4      4.3121e+05       8.2011e+01       -3.9442e+00        1.000           2.3
   5      3.2578e+05       8.2273e+01       -3.5114e+00        1.000           3.0
   6      2.4612e+05       8.2515e+01       -3.2520e+00        1.000           3.4
   7      1.8594e+05       8.2777e+01       -3.1472e+00        1.000           3.9
   8      1.4048e+05       8.3049e+01       -3.2289e+00        1.000           4.4
   9      1.0613e+05       8.3376e+01       -3.4486e+00        1.000           4.8
  10      8.0180e+04       8.3659e+01       -3.8861e+00        1.000           5.3
  11      6.0575e+04       8.4037e+01       -4.4673e+00        1.000           5.7
  12      4.5764e+04       8.4446e+01       -5.2801e+00        1.000           6.2
  13      3.4574e+04       8.4970e+01       -6.3298e+00        1.000           6.7
  14      2.6121e+04       8.5641e+01       -7.6340e+00        1.000           7.1
  15      1.9734e+04       8.6414e+01       -9.3492e+00        1.000           7.6
  16      1.4909e+04       8.7333e+01       -1.1468e+01        1.000           8.1
  17      1.1263e+04       8.8483e+01       -1.4162e+01        1.000           8.5
  18      8.5095e+03       8.9845e+01       -1.7515e+01        1.000           9.0
  19      6.4288e+03       9.1477e+01       -2.1729e+01        1.000           9.5
  20      4.8569e+03       9.3569e+01       -2.6909e+01        1.000           9.9
  21      3.6694e+03       9.6212e+01       -3.3222e+01        1.000          10.4
  22      2.7722e+03       9.9408e+01       -4.1222e+01        1.000          10.9
  23      2.0944e+03       1.0351e+02       -5.1085e+01        1.000          11.4
  24      1.5823e+03       1.0857e+02       -6.3246e+01        1.000          11.8
  25      1.1954e+03       1.1487e+02       -7.8288e+01        0.999          12.3
  26      9.0311e+02       1.2289e+02       -9.6721e+01        0.999          12.8
  27      6.8229e+02       1.3286e+02       -1.1940e+02        0.999          13.2
  28      5.1546e+02       1.4537e+02       -1.4720e+02        0.999          13.7
  29      3.8943e+02       1.6144e+02       -1.8115e+02        1.000          14.2
  30      2.9421e+02       1.8150e+02       -2.2261e+02        1.000          14.7
  31      2.2227e+02       2.0722e+02       -2.7282e+02        0.999          15.1
  32      1.6793e+02       2.3951e+02       -3.3365e+02        0.999          15.6
  33      1.2687e+02       2.8045e+02       -4.0664e+02        0.999          16.1
  34      9.5846e+01       3.3223e+02       -4.9360e+02        0.999          16.6
  35      7.2411e+01       3.9270e+02       -5.9144e+02        0.999          17.4
  36      5.4092e+01       4.7393e+02       -7.1639e+02        0.999          19.1
  37      3.9533e+01       5.8454e+02       -8.7552e+02        0.999          20.9
  38      2.8174e+01       7.3427e+02       -1.0808e+03        0.999          22.3
  39      1.9503e+01       9.3998e+02       -1.3490e+03        0.999          24.0
  40      1.3058e+01       1.2249e+03       -1.7065e+03        0.999          25.8
  41      8.4196e+00       1.6262e+03       -2.1936e+03        1.000          28.1
  42      5.2123e+00       2.2004e+03       -2.8703e+03        1.000          30.8
  43      3.0979e+00       3.0278e+03       -3.8253e+03        1.000          34.2
  44      1.7783e+00       4.2256e+03       -5.1712e+03        1.000          41.0
  45      1.0000e+00       5.9194e+03       -7.0418e+03        0.999          45.7

