File.......:  cell4ppochloranillitfsi10wt - SEP,07.2021

System.....:  
Potential..:  0.016V
Current....:  -25.85nA
Temperature:  -0.7 +-0.2 C
Time.......:  16:42:42 - 16:43:30
Comment....:  
              
              
              
              Main
time.......:  9480 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       3.9595e+02       -3.6221e+02        0.999           0.0
   2      7.5549e+05       4.8555e+02       -3.3537e+02        0.998           1.3
   3      5.7077e+05       5.6745e+02       -3.0578e+02        0.998           1.8
   4      4.3121e+05       6.1880e+02       -2.4991e+02        0.999           2.5
   5      3.2578e+05       6.5810e+02       -2.0395e+02        1.000           3.3
   6      2.4612e+05       6.8291e+02       -1.6354e+02        1.000           3.7
   7      1.8594e+05       7.0082e+02       -1.3075e+02        0.999           4.1
   8      1.4048e+05       7.1271e+02       -1.0492e+02        0.999           4.6
   9      1.0613e+05       7.1390e+02       -8.2633e+01        1.000           5.3
  10      8.0180e+04       7.1929e+02       -6.8546e+01        1.000           6.0
  11      6.0575e+04       7.2264e+02       -5.8564e+01        1.000           6.5
  12      4.5764e+04       7.2622e+02       -5.2606e+01        1.000           6.9
  13      3.4574e+04       7.2918e+02       -4.9369e+01        1.000           7.4
  14      2.6121e+04       7.3270e+02       -4.8980e+01        1.000           7.9
  15      1.9734e+04       7.3632e+02       -5.1455e+01        1.000           8.3
  16      1.4909e+04       7.4044e+02       -5.6090e+01        1.000           8.8
  17      1.1263e+04       7.4542e+02       -6.3853e+01        1.000           9.2
  18      8.5095e+03       7.5155e+02       -7.4354e+01        1.000           9.7
  19      6.4288e+03       7.5886e+02       -8.8248e+01        1.000          10.2
  20      4.8569e+03       7.6809e+02       -1.0549e+02        1.000          10.7
  21      3.6694e+03       7.7961e+02       -1.2587e+02        1.000          11.1
  22      2.7722e+03       7.9312e+02       -1.5264e+02        1.000          11.6
  23      2.0944e+03       8.0986e+02       -1.8513e+02        1.000          12.1
  24      1.5823e+03       8.3014e+02       -2.2469e+02        1.000          12.6
  25      1.1954e+03       8.5474e+02       -2.7337e+02        0.999          13.0
  26      9.0311e+02       8.8473e+02       -3.3221e+02        0.999          13.5
  27      6.8229e+02       9.2049e+02       -4.0402e+02        0.999          14.0
  28      5.1546e+02       9.6345e+02       -4.9160e+02        1.000          14.4
  29      3.8943e+02       1.0155e+03       -5.9810e+02        1.000          14.9
  30      2.9421e+02       1.0762e+03       -7.2954e+02        1.000          15.4
  31      2.2227e+02       1.1495e+03       -8.9109e+02        0.999          15.9
  32      1.6793e+02       1.2359e+03       -1.0925e+03        0.999          16.3
  33      1.2687e+02       1.3402e+03       -1.3433e+03        0.999          16.8
  34      9.5846e+01       1.4685e+03       -1.6563e+03        0.999          17.3
  35      7.2411e+01       1.6284e+03       -2.0473e+03        0.999          17.9
  36      5.4092e+01       1.8327e+03       -2.5558e+03        0.999          19.3
  37      3.9533e+01       2.1295e+03       -3.2498e+03        0.999          21.1
  38      2.8174e+01       2.5690e+03       -4.2061e+03        0.999          22.5
  39      1.9503e+01       3.2501e+03       -5.5392e+03        0.999          24.1
  40      1.3058e+01       4.3394e+03       -7.3916e+03        0.999          26.4
  41      8.4196e+00       6.1354e+03       -9.9502e+03        0.999          29.1
  42      5.2123e+00       9.0617e+03       -1.3346e+04        0.999          31.9
  43      3.0979e+00       1.3603e+04       -1.7605e+04        0.999          35.3
  44      1.7783e+00       2.0127e+04       -2.2637e+04        0.999          40.3
  45      1.0000e+00       2.8526e+04       -2.8502e+04        1.000          44.9

