File.......:  cell3ppochloranillitfsi5wt - SEP,08.2021

System.....:  
Potential..:  0.008V
Current....:  -7.8691nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:33:11 - 14:33:59
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.1230e+01       -7.5172e+02        0.998           0.0
   2      7.5549e+05       5.1738e+01       -9.9427e+02        0.996           1.5
   3      5.7077e+05       6.6540e+01       -1.2866e+03        0.991           2.1
   4      4.3121e+05       2.1055e+02       -1.6685e+03        0.998           3.0
   5      3.2578e+05       3.3164e+02       -2.1480e+03        0.999           4.0
   6      2.4612e+05       5.0960e+02       -2.7645e+03        0.996           4.4
   7      1.8594e+05       7.6000e+02       -3.5352e+03        0.997           4.9
   8      1.4048e+05       1.1934e+03       -4.5399e+03        0.997           5.4
   9      1.0613e+05       1.7368e+03       -5.7298e+03        0.997           5.8
  10      8.0180e+04       2.5810e+03       -7.1484e+03        0.999           6.3
  11      6.0575e+04       4.0070e+03       -8.7612e+03        0.999           7.0
  12      4.5764e+04       5.7995e+03       -1.0482e+04        0.998           7.6
  13      3.4574e+04       8.1972e+03       -1.2113e+04        0.999           8.1
  14      2.6121e+04       1.1210e+04       -1.3386e+04        0.998           8.6
  15      1.9734e+04       1.4588e+04       -1.4073e+04        0.998           9.1
  16      1.4909e+04       1.8050e+04       -1.4048e+04        0.999           9.5
  17      1.1263e+04       2.1315e+04       -1.3408e+04        0.998          10.0
  18      8.5095e+03       2.4098e+04       -1.2366e+04        1.000          10.5
  19      6.4288e+03       2.6353e+04       -1.1211e+04        0.999          10.9
  20      4.8569e+03       2.8054e+04       -1.0139e+04        0.999          11.4
  21      3.6694e+03       2.9641e+04       -9.0633e+03        0.999          11.9
  22      2.7722e+03       3.0878e+04       -8.3209e+03        1.000          12.3
  23      2.0944e+03       3.1978e+04       -7.7831e+03        1.000          12.8
  24      1.5823e+03       3.3004e+04       -7.4518e+03        1.000          13.3
  25      1.1954e+03       3.4001e+04       -7.3281e+03        1.000          13.8
  26      9.0311e+02       3.5011e+04       -7.3573e+03        1.000          14.2
  27      6.8229e+02       3.6059e+04       -7.5520e+03        1.000          14.7
  28      5.1546e+02       3.7155e+04       -7.8928e+03        1.000          15.2
  29      3.8943e+02       3.8346e+04       -8.3464e+03        1.000          15.7
  30      2.9421e+02       3.9614e+04       -8.9800e+03        1.000          16.1
  31      2.2227e+02       4.0990e+04       -9.7103e+03        1.000          16.6
  32      1.6793e+02       4.2466e+04       -1.0639e+04        1.000          17.0
  33      1.2687e+02       4.4086e+04       -1.1741e+04        1.000          17.5
  34      9.5846e+01       4.5846e+04       -1.3020e+04        1.000          18.1
  35      7.2411e+01       4.7863e+04       -1.4540e+04        1.000          18.7
  36      5.4092e+01       5.0234e+04       -1.6672e+04        1.000          20.1
  37      3.9533e+01       5.2764e+04       -1.8978e+04        1.000          21.9
  38      2.8174e+01       5.6024e+04       -2.2212e+04        0.999          23.3
  39      1.9503e+01       6.0221e+04       -2.6493e+04        1.000          24.9
  40      1.3058e+01       6.5551e+04       -3.2471e+04        1.000          27.2
  41      8.4196e+00       7.2620e+04       -4.0993e+04        0.999          29.8
  42      5.2123e+00       8.2267e+04       -5.3498e+04        0.999          32.4
  43      3.0979e+00       9.5742e+04       -7.2440e+04        0.999          35.8
  44      1.7783e+00       1.1496e+05       -1.0143e+05        0.999          40.7
  45      1.0000e+00       1.4217e+05       -1.4567e+05        0.999          45.3

