File.......:  cell4ppochloranillitfsi5wt - SEP,08.2021

System.....:  
Potential..:  -0.008V
Current....:  -601.03pA
Temperature:  -0.7 +-0.2 C
Time.......:  14:28:02 - 14:28:49
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.6936e+02       -6.8945e+02        0.999           0.0
   2      7.5549e+05       4.1709e+02       -8.3033e+02        0.996           1.3
   3      5.7077e+05       5.9488e+02       -9.6157e+02        0.993           1.8
   4      4.3121e+05       8.8562e+02       -9.9616e+02        0.999           2.8
   5      3.2578e+05       1.1497e+03       -1.0080e+03        0.999           3.7
   6      2.4612e+05       1.4063e+03       -9.6021e+02        0.998           4.2
   7      1.8594e+05       1.6272e+03       -8.5812e+02        0.998           4.6
   8      1.4048e+05       1.7878e+03       -7.3275e+02        0.998           5.1
   9      1.0613e+05       1.9213e+03       -6.0536e+02        0.999           5.6
  10      8.0180e+04       2.0032e+03       -4.9203e+02        1.000           6.0
  11      6.0575e+04       2.0581e+03       -3.9555e+02        1.000           6.5
  12      4.5764e+04       2.0923e+03       -3.1720e+02        1.000           6.9
  13      3.4574e+04       2.1183e+03       -2.5866e+02        1.000           7.4
  14      2.6121e+04       2.1353e+03       -2.1304e+02        1.000           7.9
  15      1.9734e+04       2.1493e+03       -1.8089e+02        1.000           8.3
  16      1.4909e+04       2.1608e+03       -1.5976e+02        1.000           8.8
  17      1.1263e+04       2.1724e+03       -1.4725e+02        1.000           9.2
  18      8.5095e+03       2.1832e+03       -1.4295e+02        1.000           9.7
  19      6.4288e+03       2.1956e+03       -1.4629e+02        1.000          10.2
  20      4.8569e+03       2.2092e+03       -1.5539e+02        1.000          10.7
  21      3.6694e+03       2.2261e+03       -1.6579e+02        1.000          11.1
  22      2.7722e+03       2.2443e+03       -1.8700e+02        1.000          11.6
  23      2.0944e+03       2.2654e+03       -2.1441e+02        1.000          12.1
  24      1.5823e+03       2.2897e+03       -2.4874e+02        1.000          12.6
  25      1.1954e+03       2.3176e+03       -2.9341e+02        1.000          13.0
  26      9.0311e+02       2.3498e+03       -3.4763e+02        1.000          13.5
  27      6.8229e+02       2.3867e+03       -4.1594e+02        1.000          14.0
  28      5.1546e+02       2.4292e+03       -5.0080e+02        1.000          14.4
  29      3.8943e+02       2.4800e+03       -6.0443e+02        1.000          14.9
  30      2.9421e+02       2.5377e+03       -7.3577e+02        1.000          15.4
  31      2.2227e+02       2.6069e+03       -8.9764e+02        1.000          15.9
  32      1.6793e+02       2.6870e+03       -1.1035e+03        1.000          16.3
  33      1.2687e+02       2.7838e+03       -1.3622e+03        1.000          16.8
  34      9.5846e+01       2.9022e+03       -1.6876e+03        1.000          17.3
  35      7.2411e+01       3.0495e+03       -2.0960e+03        1.000          17.9
  36      5.4092e+01       3.2327e+03       -2.6352e+03        0.999          19.3
  37      3.9533e+01       3.4950e+03       -3.3733e+03        0.999          21.1
  38      2.8174e+01       3.8727e+03       -4.4050e+03        0.999          22.5
  39      1.9503e+01       4.4350e+03       -5.8759e+03        0.999          24.6
  40      1.3058e+01       5.3165e+03       -8.0332e+03        0.999          26.8
  41      8.4196e+00       6.7546e+03       -1.1246e+04        0.999          29.0
  42      5.2123e+00       9.1910e+03       -1.6087e+04        0.999          31.6
  43      3.0979e+00       1.3414e+04       -2.3333e+04        0.999          35.0
  44      1.7783e+00       2.0759e+04       -3.3819e+04        0.999          40.1
  45      1.0000e+00       3.2650e+04       -4.7867e+04        1.000          44.7

