File.......:  cell10ppochloranillitfsi20wt0913 - SEP,14.2021

System.....:  
Potential..:  -0.037V
Current....:  -12.967nA
Temperature:  -0.8 +-0.1 C
Time.......:  14:39:11 - 14:39:58
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       8.3483e+01       -6.7429e+02        0.997           0.0
   2      7.5549e+05       1.3628e+02       -8.7831e+02        0.998           1.5
   3      5.7077e+05       1.7648e+02       -1.1416e+03        0.996           2.1
   4      4.3121e+05       3.4044e+02       -1.4296e+03        0.998           3.0
   5      3.2578e+05       5.0428e+02       -1.8153e+03        0.996           4.0
   6      2.4612e+05       7.4680e+02       -2.2746e+03        0.999           4.4
   7      1.8594e+05       1.1078e+03       -2.8334e+03        0.998           4.9
   8      1.4048e+05       1.6703e+03       -3.4519e+03        0.998           5.4
   9      1.0613e+05       2.4103e+03       -4.1221e+03        0.998           5.8
  10      8.0180e+04       3.4232e+03       -4.7265e+03        0.999           6.3
  11      6.0575e+04       4.6286e+03       -5.0972e+03        0.999           6.7
  12      4.5764e+04       5.9775e+03       -5.1981e+03        0.998           7.2
  13      3.4574e+04       7.3298e+03       -4.9436e+03        0.999           7.9
  14      2.6121e+04       8.4802e+03       -4.4918e+03        0.999           8.6
  15      1.9734e+04       9.3766e+03       -3.9101e+03        1.000           9.1
  16      1.4909e+04       1.0039e+04       -3.2989e+03        1.000           9.5
  17      1.1263e+04       1.0514e+04       -2.7462e+03        1.000          10.0
  18      8.5095e+03       1.0840e+04       -2.2803e+03        1.000          10.5
  19      6.4288e+03       1.1070e+04       -1.9108e+03        1.000          10.9
  20      4.8569e+03       1.1250e+04       -1.6280e+03        1.000          11.4
  21      3.6694e+03       1.1388e+04       -1.4120e+03        1.000          11.9
  22      2.7722e+03       1.1510e+04       -1.2851e+03        1.000          12.3
  23      2.0944e+03       1.1627e+04       -1.2144e+03        1.000          12.8
  24      1.5823e+03       1.1746e+04       -1.1929e+03        1.000          13.3
  25      1.1954e+03       1.1873e+04       -1.2263e+03        1.000          13.8
  26      9.0311e+02       1.2012e+04       -1.2981e+03        1.000          14.2
  27      6.8229e+02       1.2167e+04       -1.4165e+03        1.000          14.7
  28      5.1546e+02       1.2343e+04       -1.5799e+03        1.000          15.2
  29      3.8943e+02       1.2551e+04       -1.7807e+03        1.000          15.7
  30      2.9421e+02       1.2782e+04       -2.0418e+03        1.000          16.1
  31      2.2227e+02       1.3057e+04       -2.3476e+03        1.000          16.6
  32      1.6793e+02       1.3369e+04       -2.7364e+03        1.000          17.0
  33      1.2687e+02       1.3735e+04       -3.2005e+03        1.000          17.5
  34      9.5846e+01       1.4172e+04       -3.7501e+03        1.000          18.1
  35      7.2411e+01       1.4684e+04       -4.4044e+03        1.000          18.7
  36      5.4092e+01       1.5289e+04       -5.2098e+03        1.000          20.1
  37      3.9533e+01       1.6107e+04       -6.2596e+03        1.000          21.9
  38      2.8174e+01       1.7179e+04       -7.6034e+03        1.000          23.3
  39      1.9503e+01       1.8599e+04       -9.3828e+03        1.000          24.9
  40      1.3058e+01       2.0527e+04       -1.1793e+04        1.000          26.7
  41      8.4196e+00       2.3211e+04       -1.5139e+04        0.999          28.9
  42      5.2123e+00       2.7030e+04       -1.9890e+04        0.999          31.6
  43      3.0979e+00       3.2582e+04       -2.6756e+04        0.999          34.9
  44      1.7783e+00       4.0729e+04       -3.6651e+04        0.999          39.8
  45      1.0000e+00       5.2431e+04       -5.0715e+04        0.999          44.4

