File.......:  cell2ppochloranillitfsi10wt - SEP,30.2021

System.....:  
Potential..:  0.013V
Current....:  -432.2pA
Temperature:  -0.8 +-0.0 C
Time.......:  18:49:23 - 18:50:11
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.5054e+01       -8.3193e+02        0.998           0.0
   2      7.5549e+05      -8.4815e+00       -1.1143e+03        0.995           1.8
   3      5.7077e+05      -3.0766e+01       -1.4740e+03        0.997           2.3
   4      4.3121e+05       5.5636e+01       -1.9173e+03        0.997           3.3
   5      3.2578e+05       8.6426e+01       -2.5127e+03        0.998           4.2
   6      2.4612e+05       1.3111e+02       -3.3000e+03        0.998           4.7
   7      1.8594e+05       1.7983e+02       -4.3142e+03        0.998           5.1
   8      1.4048e+05       2.3491e+02       -5.6979e+03        0.997           5.5
   9      1.0613e+05       3.6334e+02       -7.4472e+03        0.998           6.0
  10      8.0180e+04       6.5058e+02       -9.8130e+03        0.999           6.7
  11      6.0575e+04       8.4964e+02       -1.2835e+04        0.998           7.3
  12      4.5764e+04       1.1228e+03       -1.6824e+04        0.998           7.8
  13      3.4574e+04       1.5032e+03       -2.2061e+04        0.998           8.2
  14      2.6121e+04       2.0878e+03       -2.8899e+04        0.999           8.7
  15      1.9734e+04       2.9251e+03       -3.7866e+04        0.999           9.2
  16      1.4909e+04       4.1331e+03       -4.9573e+04        0.997           9.6
  17      1.1263e+04       5.9623e+03       -6.4857e+04        0.998          10.1
  18      8.5095e+03       8.6911e+03       -8.4743e+04        0.997          10.5
  19      6.4288e+03       1.4297e+04       -1.1067e+05        0.999          11.2
  20      4.8569e+03       2.0778e+04       -1.4394e+05        0.997          11.9
  21      3.6694e+03       3.0815e+04       -1.8713e+05        0.999          12.4
  22      2.7722e+03       4.6141e+04       -2.4208e+05        0.998          12.8
  23      2.0944e+03       7.0210e+04       -3.1165e+05        0.997          13.3
  24      1.5823e+03       1.0756e+05       -3.9840e+05        0.998          13.7
  25      1.1954e+03       1.6494e+05       -5.0382e+05        0.999          14.2
  26      9.0311e+02       2.5267e+05       -6.2628e+05        0.998          14.7
  27      6.8229e+02       3.9590e+05       -7.5305e+05        0.998          15.3
  28      5.1546e+02       5.7172e+05       -8.7944e+05        0.997          16.0
  29      3.8943e+02       7.9777e+05       -9.7863e+05        0.998          16.5
  30      2.9421e+02       1.0605e+06       -1.0294e+06        0.998          17.0
  31      2.2227e+02       1.3258e+06       -1.0188e+06        0.998          17.4
  32      1.6793e+02       1.5761e+06       -9.4159e+05        0.998          17.9
  33      1.2687e+02       1.7773e+06       -8.3560e+05        0.998          18.3
  34      9.5846e+01       1.9194e+06       -7.1772e+05        1.000          18.9
  35      7.2411e+01       2.0311e+06       -5.9639e+05        1.000          19.4
  36      5.4092e+01       2.1716e+06       -5.3995e+05        0.999          20.8
  37      3.9533e+01       2.1786e+06       -3.9212e+05        1.000          22.6
  38      2.8174e+01       2.2375e+06       -3.3117e+05        0.997          24.0
  39      1.9503e+01       2.2751e+06       -2.7527e+05        0.999          25.6
  40      1.3058e+01       2.3075e+06       -2.3905e+05        0.999          27.5
  41      8.4196e+00       2.3494e+06       -2.1555e+05        0.998          29.6
  42      5.2123e+00       2.3912e+06       -2.1233e+05        1.000          32.2
  43      3.0979e+00       2.4415e+06       -2.2573e+05        1.000          35.6
  44      1.7783e+00       2.5032e+06       -2.6323e+05        1.000          40.5
  45      1.0000e+00       2.5825e+06       -3.2807e+05        1.000          45.0

