Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\ベッセル\LiTFSI24_2θ_θ.raw
Goniometer	SmartLab(In-plane)
Attachment	Zステージ単独
Monochromater	None
X	0
Y	0
Z	0.07744
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	2/3deg
受光スリット1	20.000mm
受光スリット2	20.000mm
Cu_K-beta	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Offset	0
5	47340.9
5.02	47828.6
5.04	45336
5.06	45661.1
5.08	44161.9
5.1	41813.9
5.12	42319.6
5.14	41687.4
5.16	39483.9
5.18	39610.3
5.2	38815.6
5.22	38219.5
5.24	37280.3
5.26	36124.3
5.28	36232.7
5.3	32277.1
5.32	32782.8
5.34	33288.5
5.36	33017.6
5.38	33396.9
5.4	30543.1
5.42	31951.9
5.44	29694.2
5.46	30741.8
5.48	30001.2
5.5	29495.5
5.52	28754.9
5.54	29116.2
5.56	28736.9
5.58	26948.7
5.6	27562.8
5.62	28050.5
5.64	28917.5
5.66	25756.6
5.68	27382.2
5.7	26406.9
5.72	25738.6
5.74	27653.1
5.76	26551.4
5.78	26424.9
5.8	25648.2
5.82	27147.4
5.84	25052.2
5.86	27237.7
5.88	26352.7
5.9	26009.5
5.92	26424.9
5.94	26099.8
5.96	26352.7
5.98	26190.1
6	25594.1
6.02	25901.1
6.04	25521.8
6.06	25070.3
6.08	26894.5
6.1	25702.4
6.12	24456.1
6.14	26768.1
6.16	26948.7
6.18	26117.9
6.2	25594.1
6.22	24781.3
6.24	26208.2
6.26	24979.9
6.28	25449.6
6.3	24907.7
6.32	26424.9
6.34	25612.1
6.36	25088.3
6.38	26172.1
6.4	24510.3
6.42	25828.9
6.44	25901.1
6.46	25323.1
6.48	25088.3
6.5	26424.9
6.52	26190.1
6.54	26099.8
6.56	25413.4
6.58	25720.5
6.6	24961.9
6.62	24004.6
6.64	24600.6
6.66	24781.3
6.68	24564.5
6.7	24889.6
6.72	25557.9
6.74	25539.9
