Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiTFSI24wt_04_0004_0099-1_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.01756
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
5	7766.72
5.02	6430.12
5.04	7062.3
5.06	6845.55
5.08	7369.36
5.1	7260.98
5.12	6466.25
5.14	7008.11
5.16	6701.06
5.18	6953.93
5.2	7387.42
5.22	7694.47
5.24	6863.62
5.26	7080.36
5.28	6971.99
5.3	6646.87
5.32	6466.25
5.34	6827.49
5.36	6827.49
5.38	6466.25
5.4	6990.05
5.42	7170.67
5.44	6755.24
5.46	7333.23
5.48	6646.87
5.5	6773.31
5.52	6357.88
5.54	6556.56
5.56	6899.74
5.58	6701.06
5.6	6448.19
5.62	6935.86
5.64	6520.44
5.66	6755.24
5.68	6285.63
5.7	7098.42
5.72	6610.75
5.74	6574.62
5.76	6538.5
5.78	6285.63
5.8	6737.18
5.82	6430.12
5.84	6682.99
5.86	6466.25
5.88	6484.31
5.9	6574.62
5.92	6448.19
5.94	6646.87
5.96	6971.99
5.98	6574.62
6	6737.18
6.02	5978.57
6.04	6339.81
6.06	6394
6.08	6249.5
6.1	6231.44
6.12	5960.51
6.14	6737.18
6.16	5924.38
6.18	6159.19
6.2	6592.68
6.22	6448.19
6.24	6375.94
6.26	6159.19
6.28	6159.19
6.3	6339.81
6.32	5888.26
6.34	6123.07
6.36	6484.31
6.38	6014.69
6.4	6285.63
6.42	6195.32
6.44	6249.5
6.46	6719.12
6.48	6141.13
6.5	5906.32
6.52	5816.01
6.54	5779.89
6.56	6556.56
6.58	6430.12
6.6	5599.27
6.62	6159.19
6.64	6032.76
6.66	5924.38
6.68	6123.07
6.7	6195.32
6.72	6068.88
6.74	6177.25
6.76	6032.76
6.78	6068.88
6.8	6303.69
6.82	6068.88
6.84	5888.26
6.86	6086.94
6.88	6014.69
6.9	6448.19
6.92	6032.76
6.94	6556.56
6.96	5906.32
6.98	5996.63
7	6050.82
7.02	5960.51
7.04	5761.82
7.06	6556.56
7.08	6123.07
7.1	6123.07
7.12	5942.45
7.14	6267.56
7.16	6123.07
7.18	6068.88
7.2	6159.19
7.22	5761.82
7.24	5653.45
7.26	6430.12
7.28	6303.69
7.3	5996.63
7.32	5581.2
7.34	6068.88
7.36	6303.69
7.38	6394
7.4	5942.45
7.42	5852.14
7.44	5527.02
