Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\20211102オペ\LiFTFSI_02_0001_0079-2_C_2θ.raw
Goniometer	SmartLab(In-plane)
Attachment	標準Zステージ
Monochromater	None
X	0
Y	0
Z	0.00908
ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	0.300mm
受光スリット1	20.000mm
受光スリット2	20.000mm
None	
Start	5
Stop	60
Step	0.02
Speed	21.6746
Theta	0
5	3811.11
5.02	3395.68
5.04	3413.75
5.06	3377.62
5.08	3178.94
5.1	3540.18
5.12	3395.68
5.14	3106.69
5.16	3106.69
5.18	3720.8
5.2	3215.06
5.22	2908.01
5.24	3467.93
5.26	3305.37
5.28	3305.37
5.3	3594.37
5.32	3666.62
5.34	2889.94
5.36	3341.5
5.38	3269.25
5.4	3106.69
5.42	3558.24
5.44	3702.74
5.46	2908.01
5.48	3323.44
5.5	3612.43
5.52	3377.62
5.54	3305.37
5.56	3612.43
5.58	3106.69
5.6	3467.93
5.62	3702.74
5.64	3359.56
5.66	3612.43
5.68	2980.25
5.7	3431.81
5.72	3467.93
5.74	3576.31
5.76	3522.12
5.78	3359.56
5.8	3594.37
5.82	3178.94
5.84	3413.75
5.86	3287.31
5.88	3178.94
5.9	2998.32
5.92	3287.31
5.94	3233.12
5.96	3160.88
5.98	3305.37
6	2889.94
6.02	3359.56
6.04	2998.32
6.06	2709.32
6.08	3413.75
6.1	3504.06
6.12	3359.56
6.14	3215.06
6.16	3359.56
6.18	3648.55
6.2	3341.5
6.22	3377.62
6.24	2745.45
6.26	2962.19
6.28	2962.19
6.3	2926.07
6.32	2998.32
6.34	3197
6.36	3215.06
6.38	2944.13
6.4	3215.06
6.42	3431.81
6.44	3702.74
6.46	3215.06
6.48	3197
6.5	2655.14
6.52	3142.81
6.54	3088.63
6.56	3160.88
6.58	3251.19
6.6	2980.25
6.62	3052.5
6.64	2871.88
6.66	3251.19
6.68	3124.75
6.7	2944.13
6.72	2908.01
6.74	3178.94
6.76	3178.94
6.78	3269.25
6.8	2817.69
6.82	2980.25
6.84	2998.32
6.86	2889.94
6.88	2691.26
6.9	3251.19
6.92	3034.44
6.94	2799.63
6.96	3413.75
6.98	3576.31
7	3269.25
7.02	3323.44
7.04	2871.88
7.06	2691.26
7.08	2926.07
7.1	3016.38
7.12	3124.75
7.14	2926.07
7.16	3124.75
7.18	3034.44
7.2	3016.38
7.22	2745.45
7.24	3070.56
7.26	2962.19
7.28	2799.63
7.3	3269.25
7.32	3305.37
7.34	3359.56
7.36	3034.44
7.38	2817.69
7.4	3034.44
7.42	2582.89
7.44	2709.32
7.46	2908.01
7.48	3395.68
7.5	3178.94
7.52	2817.69
7.54	3197
7.56	3124.75
7.58	3052.5
7.6	3070.56
7.62	3251.19
7.64	3215.06
7.66	3287.31
7.68	2998.32
7.7	3323.44
7.72	2691.26
7.74	3269.25
7.76	2799.63
7.78	3124.75
7.8	3413.75
7.82	2781.57
7.84	3377.62
7.86	2908.01
7.88	2763.51
7.9	2871.88
7.92	3070.56
7.94	2546.76
7.96	3233.12
7.98	2871.88
8	3142.81
8.02	3106.69
8.04	3160.88
8.06	2799.63
8.08	3016.38
8.1	2980.25
8.12	3197
8.14	3178.94
8.16	3233.12
8.18	2926.07
8.2	3215.06
8.22	2889.94
8.24	2889.94
8.26	2889.94
8.28	2962.19
8.3	3160.88
8.32	2962.19
8.34	2853.82
8.36	2709.32
8.38	2835.76
8.4	3359.56
8.42	3088.63
8.44	3287.31
8.46	3070.56
8.48	3197
8.5	2980.25
8.52	2998.32
8.54	2980.25
8.56	3160.88
8.58	3305.37
8.6	2420.33
8.62	2709.32
8.64	3178.94
8.66	3088.63
8.68	3449.87
8.7	2998.32
8.72	2926.07
8.74	3052.5
8.76	2980.25
8.78	2709.32
8.8	2998.32
8.82	2853.82
8.84	2817.69
8.86	2763.51
8.88	3178.94
8.9	3431.81
8.92	3160.88
8.94	2944.13
8.96	3052.5
8.98	3124.75
9	3251.19
9.02	2564.82
9.04	3070.56
9.06	3142.81
9.08	3323.44
9.1	3233.12
9.12	2889.94
9.14	3233.12
9.16	3287.31
9.18	2510.64
9.2	3774.99
9.22	3612.43
9.24	3395.68
9.26	3287.31
9.28	3106.69
9.3	3016.38
9.32	2817.69
9.34	2980.25
9.36	2799.63
