Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\210903\PPOChloranilLiTfSI30wt_2θ_θ.raw
Goniometer	SmartLab(In-plane)
Attachment	Zステージ単独
Monochromater	None
X	0
Y	0
Z	-0.35756
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	2/3deg
受光スリット1	20.000mm
受光スリット2	20.000mm
Cu_K-beta	
Start	10
Stop	90
Step	0.01
Speed	10.4018
Offset	0
10	24947
10.01	25779.2
10.02	25831.2
10.03	26108.6
10.04	24999
10.05	25345.8
10.06	26646
10.07	26490
10.08	26125.9
10.09	25484.5
10.1	26854
10.11	26923.4
10.12	27010.1
10.13	27391.5
10.14	25519.1
10.15	25709.8
10.16	26576.7
10.17	27720.9
10.18	26646
10.19	25033.7
10.2	26073.9
10.21	25657.8
10.22	26906
10.23	26490
10.24	26594
10.25	27079.4
10.26	26715.3
10.27	26975.4
10.28	27131.4
10.29	26836.7
10.3	26073.9
10.31	26472.6
10.32	27270.1
10.33	27460.8
10.34	26386
10.35	26299.3
10.36	25935.2
10.37	25969.9
10.38	26836.7
10.39	26992.7
10.4	26732.7
10.41	26403.3
10.42	26975.4
10.43	26663.3
10.44	27547.5
10.45	27200.8
10.46	27616.8
10.47	27720.9
10.48	27391.5
10.49	27824.9
10.5	27686.2
10.51	26906
10.52	26854
10.53	26888.7
10.54	28136.9
10.55	27391.5
10.56	28275.6
10.57	28795.7
10.58	27928.9
10.59	27616.8
10.6	27599.5
10.61	28761
10.62	30113.3
10.63	28951.7
10.64	29142.4
10.65	28674.4
10.66	29558.5
10.67	30910.7
10.68	29662.5
10.69	30720
10.7	31066.8
10.71	30737.4
10.72	31742.9
10.73	32159
10.74	33771.3
10.75	33840.6
10.76	34118
10.77	35418.2
10.78	35470.2
10.79	35921
10.8	37776
10.81	37342.5
10.82	39613.6
10.83	39787
10.84	39648.3
10.85	39683
10.86	38521.4
10.87	38660.1
10.88	35470.2
10.89	33493.9
10.9	32297.7
10.91	30217.3
10.92	30304
10.93	27339.5
10.94	30061.3
10.95	28899.7
10.96	27582.2
10.97	28206.3
10.98	25831.2
10.99	27079.4
11	27478.1
11.01	27530.2
11.02	27062.1
11.03	27304.8
11.04	27356.8
11.05	26940.7
11.06	26073.9
11.07	26646
11.08	27062.1
11.09	26594
11.1	27686.2
11.11	27790.2
11.12	27183.4
11.13	26958.1
11.14	27616.8
11.15	25484.5
11.16	26680.7
11.17	26715.3
11.18	26784.7
11.19	26871.4
11.2	26438
11.21	26195.3
11.22	26490
11.23	25813.9
11.24	27478.1
11.25	27339.5
11.26	27599.5
11.27	27738.2
11.28	27859.5
11.29	26507.3
11.3	27703.5
11.31	26472.6
11.32	27547.5
11.33	26992.7
11.34	26715.3
11.35	27270.1
11.36	27460.8
11.37	28136.9
11.38	25987.2
11.39	27443.5
11.4	27304.8
11.41	28518.3
11.42	27408.8
11.43	27582.2
11.44	26871.4
11.45	27443.5
11.46	27686.2
11.47	26663.3
11.48	27738.2
11.49	26195.3
11.5	27079.4
11.51	27530.2
11.52	27478.1
11.53	27131.4
11.54	26212.6
11.55	26264.6
11.56	26750
11.57	26802
11.58	27304.8
11.59	27720.9
11.6	27010.1
11.61	27062.1
11.62	27079.4
11.63	27287.4
11.64	26281.9
11.65	28362.3
11.66	28553
11.67	28136.9
11.68	26316.6
11.69	27460.8
11.7	27426.1
11.71	26576.7
11.72	27599.5
11.73	26940.7
11.74	26906
11.75	27582.2
11.76	27096.7
11.77	27114.1
11.78	28345
11.79	27218.1
11.8	27374.1
11.81	26143.2
11.82	27200.8
11.83	27408.8
11.84	28293
11.85	29073.1
11.86	28015.6
11.87	27322.1
11.88	28501
11.89	27842.2
11.9	27166.1
11.91	27790.2
11.92	27547.5
11.93	27807.5
11.94	26715.3
11.95	27218.1
11.96	27235.4
11.97	27963.6
11.98	27339.5
11.99	27720.9
12	27304.8
12.01	27564.8
12.02	27599.5
12.03	28188.9
12.04	27772.9
12.05	28067.6
12.06	28067.6
12.07	28050.2
12.08	27911.6
12.09	27131.4
12.1	27183.4
12.11	28518.3
12.12	27616.8
12.13	27928.9
12.14	28414.3
12.15	27304.8
12.16	26992.7
12.17	27998.2
12.18	28310.3
12.19	28171.6
12.2	27356.8
12.21	27998.2
12.22	27980.9
12.23	27894.2
12.24	28917.1
12.25	26368.6
12.26	28449
12.27	28709
12.28	28084.9
12.29	27235.4
12.3	28449
12.31	29419.8
12.32	28240.9
12.33	27755.5
12.34	29853.2
12.35	28414.3
12.36	27755.5
12.37	28240.9
12.38	28431.6
12.39	27842.2
12.4	27530.2
12.41	28726.4
12.42	28986.4
12.43	28397
12.44	29315.8
12.45	28899.7
12.46	27478.1
12.47	27686.2
12.48	29281.1
12.49	28449
12.5	28847.7
12.51	28310.3
12.52	28414.3
12.53	28587.7
12.54	27720.9
12.55	28171.6
12.56	27512.8
12.57	27963.6
12.58	26403.3
12.59	27928.9
12.6	28587.7
12.61	27062.1
12.62	28570.3
12.63	28622.3
12.64	27547.5
12.65	27391.5
12.66	28986.4
12.67	30113.3
12.68	28327.6
12.69	29454.5
12.7	28969.1
12.71	28778.4
12.72	27859.5
12.73	29194.4
12.74	29662.5
12.75	28449
12.76	27824.9
12.77	28414.3
12.78	28969.1
12.79	29281.1
12.8	28778.4
12.81	29627.9
12.82	28345
12.83	27824.9
12.84	28518.3
12.85	28622.3
12.86	29575.8
12.87	28466.3
12.88	27582.2
12.89	29246.5
12.9	30061.3
12.91	29021.1
12.92	29090.4
12.93	29246.5
12.94	28709
12.95	27946.2
12.96	28865.1
12.97	28882.4
12.98	30373.3
12.99	28587.7
13	28466.3
13.01	27720.9
13.02	27651.5
13.03	28709
13.04	29558.5
13.05	29489.2
13.06	28899.7
13.07	28518.3
13.08	27755.5
13.09	28431.6
13.1	30338.6
13.11	29610.5
13.12	27998.2
13.13	28622.3
13.14	28154.3
13.15	28258.3
13.16	28657
13.17	29090.4
13.18	28882.4
13.19	29454.5
13.2	29281.1
13.21	29610.5
13.22	29558.5
13.23	29506.5
13.24	29211.8
13.25	28691.7
13.26	27807.5
13.27	28327.6
13.28	29541.2
13.29	29679.9
13.3	28570.3
13.31	28795.7
13.32	28431.6
13.33	28865.1
13.34	29003.7
13.35	29610.5
13.36	28414.3
13.37	29038.4
13.38	29645.2
13.39	28310.3
13.4	29766.5
13.41	30113.3
13.42	29749.2
13.43	29558.5
13.44	28709
13.45	29177.1
13.46	29627.9
13.47	28570.3
13.48	29558.5
13.49	29090.4
13.5	29471.8
13.51	29870.6
13.52	29905.2
13.53	28119.6
13.54	29333.1
13.55	29627.9
13.56	28778.4
13.57	28119.6
13.58	29246.5
13.59	30009.3
13.6	29107.8
13.61	29298.5
13.62	29263.8
13.63	29229.1
13.64	27911.6
13.65	29801.2
13.66	30200
13.67	28778.4
13.68	29350.5
13.69	28847.7
13.7	29922.6
13.71	29749.2
13.72	28709
13.73	29645.2
13.74	29246.5
13.75	29679.9
13.76	29939.9
13.77	29939.9
13.78	30269.3
13.79	29801.2
13.8	29558.5
13.81	28899.7
13.82	29437.2
13.83	29645.2
13.84	29593.2
13.85	28570.3
13.86	29246.5
13.87	30876.1
13.88	28726.4
13.89	29385.1
13.9	29801.2
13.91	28691.7
13.92	28067.6
13.93	29610.5
13.94	29506.5
13.95	29385.1
13.96	28899.7
13.97	30460
13.98	29055.8
13.99	28639.7
14	30113.3
14.01	29055.8
14.02	29835.9
14.03	28882.4
14.04	29402.5
14.05	29159.8
14.06	29454.5
14.07	30512
14.08	31032.1
14.09	29437.2
14.1	29749.2
14.11	30009.3
14.12	30304
14.13	29281.1
14.14	29073.1
14.15	29887.9
14.16	29905.2
14.17	29801.2
14.18	29575.8
14.19	29575.8
14.2	29575.8
14.21	29454.5
14.22	29454.5
14.23	29575.8
14.24	27530.2
14.25	28067.6
14.26	28293
14.27	29159.8
14.28	28709
14.29	29887.9
14.3	29367.8
14.31	29749.2
14.32	29957.2
14.33	29887.9
14.34	29246.5
14.35	29801.2
14.36	29645.2
14.37	29142.4
14.38	29107.8
14.39	29887.9
14.4	29090.4
14.41	29055.8
14.42	29957.2
14.43	28917.1
14.44	29471.8
14.45	29939.9
14.46	28917.1
14.47	30269.3
14.48	29801.2
14.49	29731.9
14.5	28397
14.51	29818.6
14.52	29350.5
14.53	28310.3
14.54	29489.2
14.55	28345
14.56	28188.9
14.57	29402.5
14.58	29073.1
14.59	28969.1
14.6	28275.6
14.61	28986.4
14.62	29073.1
14.63	29090.4
14.64	29194.4
14.65	29159.8
14.66	29887.9
14.67	29905.2
14.68	29454.5
14.69	28795.7
14.7	28622.3
14.71	28206.3
14.72	28535.7
14.73	28171.6
14.74	29558.5
14.75	28674.4
14.76	29489.2
14.77	30356
14.78	27980.9
14.79	28865.1
14.8	28345
14.81	29246.5
14.82	28691.7
14.83	27668.8
14.84	28813
14.85	28726.4
14.86	28622.3
14.87	28709
14.88	27998.2
14.89	28639.7
14.9	27842.2
14.91	29627.9
14.92	28275.6
14.93	29922.6
14.94	28102.3
14.95	29610.5
14.96	28899.7
