Sample	 
Comments	 
Filename	C:\Data\西出研\梅木\210930オペ\PPOChloranil_2θ_θ.raw
Goniometer	SmartLab(In-plane)
Attachment	Zステージ単独
Monochromater	None
X	0
Y	0
Z	0.05294
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/30mA
入射スリット	2/3deg
受光スリット1	20.000mm
受光スリット2	20.000mm
Cu_K-beta	
Start	10
Stop	90
Step	0.01
Speed	10.4018
Offset	0
10	64109.9
10.01	62931
10.02	64959.4
10.03	63485.8
10.04	64942
10.05	63347.1
10.06	65254.1
10.07	65340.8
10.08	64578
10.09	65548.8
10.1	68097.3
10.11	67091.8
10.12	64265.9
10.13	64959.4
10.14	64265.9
10.15	64491.3
10.16	64560.6
10.17	65410.1
10.18	64664.7
10.19	64890
10.2	65340.8
10.21	64543.3
10.22	63988.5
10.23	64768.7
10.24	65306.1
10.25	66381
10.26	66294.3
10.27	65184.8
10.28	66034.2
10.29	66259.6
10.3	65930.2
10.31	65150.1
10.32	65236.8
10.33	66866.4
10.34	65392.8
10.35	64612.7
10.36	65739.5
10.37	67265.1
10.38	66276.9
10.39	66103.6
10.4	65618.2
10.41	68409.3
10.42	65843.5
10.43	65635.5
10.44	67525.2
10.45	65548.8
10.46	66450.3
10.47	66172.9
10.48	64820.7
10.49	68045.3
10.5	66016.9
10.51	66814.4
10.52	67126.4
10.53	67802.5
10.54	66467.6
10.55	67663.9
10.56	65063.4
10.57	66814.4
10.58	67317.1
10.59	67802.5
10.6	67507.8
10.61	67386.5
10.62	66762.4
10.63	67941.2
10.64	68669.4
10.65	68270.6
10.66	66849
10.67	65496.8
10.68	66727.7
10.69	67507.8
10.7	66866.4
10.71	65878.2
10.72	66346.3
10.73	66710.4
10.74	67542.5
10.75	67993.2
10.76	67369.1
10.77	66589
10.78	68860.1
10.79	67178.4
10.8	67975.9
10.81	68704
10.82	66901.1
10.83	68392
10.84	68860.1
10.85	66294.3
10.86	67733.2
10.87	66554.3
10.88	67715.9
10.89	69397.5
10.9	67698.5
10.91	67958.6
10.92	68357.3
10.93	67906.6
10.94	68721.4
10.95	71027.1
10.96	66953.1
10.97	69241.5
10.98	69605.5
10.99	67767.9
11	66866.4
11.01	70125.6
11.02	68183.9
11.03	71737.9
11.04	69276.1
11.05	69986.9
11.06	69310.8
11.07	68097.3
11.08	67854.6
11.09	68669.4
11.1	69432.2
11.11	69050.8
11.12	68322.6
11.13	69865.6
11.14	69952.3
11.15	69536.2
11.16	70923.1
11.17	69900.2
11.18	71235.1
11.19	68270.6
11.2	69137.4
11.21	69206.8
11.22	69848.2
11.23	71027.1
11.24	69986.9
11.25	69882.9
11.26	70767.1
11.27	70403
