File.......:  202107280850_c-213_eis_rt - JUL,28.2021

System.....:  
Potential..:  0.005V
Current....:  -21.136nA
Temperature:  -0.7 +-0.0 C
Time.......:  08:50:10 - 08:50:57
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.8823e+01       -6.6518e+02        0.998           0.0
   2      7.5549e+05       2.3510e+01       -8.8516e+02        0.993           1.8
   3      5.7077e+05       2.7260e+01       -1.1562e+03        0.997           2.3
   4      4.3121e+05       9.0838e+01       -1.5020e+03        0.997           3.3
   5      3.2578e+05       1.3468e+02       -1.9587e+03        0.997           4.2
   6      2.4612e+05       1.6305e+02       -2.5743e+03        0.999           4.7
   7      1.8594e+05       2.5862e+02       -3.3824e+03        0.998           5.1
   8      1.4048e+05       3.4492e+02       -4.4146e+03        0.997           5.5
   9      1.0613e+05       5.0467e+02       -5.7829e+03        0.999           6.0
  10      8.0180e+04       7.1239e+02       -7.5725e+03        0.998           6.4
  11      6.0575e+04       1.1799e+03       -9.8948e+03        0.999           7.1
  12      4.5764e+04       1.7453e+03       -1.2912e+04        0.998           7.8
  13      3.4574e+04       2.5897e+03       -1.6849e+04        0.998           8.2
  14      2.6121e+04       3.9862e+03       -2.1901e+04        0.998           8.7
  15      1.9734e+04       6.2951e+03       -2.8299e+04        0.998           9.2
  16      1.4909e+04       9.9044e+03       -3.6307e+04        0.998           9.6
  17      1.1263e+04       1.5717e+04       -4.5927e+04        0.997          10.1
  18      8.5095e+03       2.4543e+04       -5.6699e+04        0.998          10.5
  19      6.4288e+03       3.7433e+04       -6.7636e+04        0.997          11.0
  20      4.8569e+03       5.5789e+04       -7.6653e+04        0.999          11.7
  21      3.6694e+03       7.6982e+04       -8.1626e+04        0.999          12.4
  22      2.7722e+03       9.9214e+04       -8.1284e+04        0.999          12.8
  23      2.0944e+03       1.1982e+05       -7.5560e+04        1.000          13.3
  24      1.5823e+03       1.3657e+05       -6.6269e+04        0.999          13.7
  25      1.1954e+03       1.4889e+05       -5.5660e+04        0.999          14.2
  26      9.0311e+02       1.5740e+05       -4.5447e+04        0.999          14.7
  27      6.8229e+02       1.6304e+05       -3.6553e+04        1.000          15.1
  28      5.1546e+02       1.6669e+05       -2.9329e+04        1.000          15.6
  29      3.8943e+02       1.6923e+05       -2.3378e+04        1.000          16.0
  30      2.9421e+02       1.7096e+05       -1.9068e+04        1.000          16.5
  31      2.2227e+02       1.7226e+05       -1.5472e+04        1.000          17.0
  32      1.6793e+02       1.7341e+05       -1.3237e+04        1.000          17.4
  33      1.2687e+02       1.7438e+05       -1.1585e+04        1.000          17.9
  34      9.5846e+01       1.7541e+05       -1.0172e+04        1.000          18.4
  35      7.2411e+01       1.7627e+05       -9.6379e+03        1.000          19.0
  36      5.4092e+01       1.7858e+05       -9.7756e+03        1.000          20.4
  37      3.9533e+01       1.7785e+05       -9.6924e+03        1.000          22.1
  38      2.8174e+01       1.7947e+05       -1.0562e+04        0.999          23.6
  39      1.9503e+01       1.8100e+05       -1.1942e+04        1.000          25.2
  40      1.3058e+01       1.8293e+05       -1.4280e+04        1.000          27.0
  41      8.4196e+00       1.8574e+05       -1.7744e+04        0.999          29.2
  42      5.2123e+00       1.8941e+05       -2.3302e+04        1.000          31.8
  43      3.0979e+00       1.9495e+05       -3.1816e+04        1.000          35.1
  44      1.7783e+00       2.0293e+05       -4.5406e+04        1.000          40.0
  45      1.0000e+00       2.1525e+05       -6.6505e+04        1.000          44.6

