File.......:  202107280857_c-215_eis_rt - JUL,28.2021

System.....:  
Potential..:  -0.042V
Current....:  -5.4235nA
Temperature:  -0.7 +-0.2 C
Time.......:  08:57:57 - 08:58:45
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.4659e+01       -6.8825e+02        0.998           0.0
   2      7.5549e+05       1.0540e+02       -9.1107e+02        0.995           1.5
   3      5.7077e+05       1.2188e+02       -1.1637e+03        0.995           2.1
   4      4.3121e+05       3.0964e+02       -1.5153e+03        0.998           3.0
   5      3.2578e+05       4.9593e+02       -1.9327e+03        0.998           4.0
   6      2.4612e+05       7.8769e+02       -2.4561e+03        1.000           4.4
   7      1.8594e+05       1.2309e+03       -3.0447e+03        0.999           4.8
   8      1.4048e+05       1.9232e+03       -3.6723e+03        0.997           5.3
   9      1.0613e+05       2.7918e+03       -4.2482e+03        0.998           5.7
  10      8.0180e+04       3.9234e+03       -4.6763e+03        0.998           6.2
  11      6.0575e+04       5.1967e+03       -4.7755e+03        0.999           6.6
  12      4.5764e+04       6.4524e+03       -4.5350e+03        0.999           7.1
  13      3.4574e+04       7.5475e+03       -4.0608e+03        0.999           7.8
  14      2.6121e+04       8.3629e+03       -3.4726e+03        0.999           8.5
  15      1.9734e+04       8.9467e+03       -2.8726e+03        1.000           8.9
  16      1.4909e+04       9.3319e+03       -2.3241e+03        1.000           9.4
  17      1.1263e+04       9.5853e+03       -1.8709e+03        1.000           9.8
  18      8.5095e+03       9.7496e+03       -1.5122e+03        1.000          10.3
  19      6.4288e+03       9.8607e+03       -1.2450e+03        1.000          10.7
  20      4.8569e+03       9.9395e+03       -1.0478e+03        1.000          11.2
  21      3.6694e+03       1.0004e+04       -9.0296e+02        1.000          11.6
  22      2.7722e+03       1.0057e+04       -8.3046e+02        1.000          12.1
  23      2.0944e+03       1.0111e+04       -8.0345e+02        1.000          12.6
  24      1.5823e+03       1.0169e+04       -8.1924e+02        1.000          13.0
  25      1.1954e+03       1.0234e+04       -8.8393e+02        1.000          13.5
  26      9.0311e+02       1.0311e+04       -9.8753e+02        1.000          13.9
  27      6.8229e+02       1.0402e+04       -1.1414e+03        1.000          14.4
  28      5.1546e+02       1.0512e+04       -1.3471e+03        1.000          14.9
  29      3.8943e+02       1.0653e+04       -1.6046e+03        1.000          15.3
  30      2.9421e+02       1.0822e+04       -1.9367e+03        1.000          15.8
  31      2.2227e+02       1.1039e+04       -2.3411e+03        1.000          16.2
  32      1.6793e+02       1.1300e+04       -2.8468e+03        1.000          16.7
  33      1.2687e+02       1.1630e+04       -3.4633e+03        1.000          17.2
  34      9.5846e+01       1.2045e+04       -4.2068e+03        1.000          17.7
  35      7.2411e+01       1.2559e+04       -5.0928e+03        1.000          18.3
  36      5.4092e+01       1.3218e+04       -6.2240e+03        1.000          19.7
  37      3.9533e+01       1.4105e+04       -7.6462e+03        1.000          21.4
  38      2.8174e+01       1.5316e+04       -9.5418e+03        1.000          22.8
  39      1.9503e+01       1.6998e+04       -1.2079e+04        1.000          24.4
  40      1.3058e+01       1.9384e+04       -1.5563e+04        0.999          26.3
  41      8.4196e+00       2.2869e+04       -2.0433e+04        0.999          28.4
  42      5.2123e+00       2.8078e+04       -2.7347e+04        0.999          31.1
  43      3.0979e+00       3.5986e+04       -3.7145e+04        1.000          34.4
  44      1.7783e+00       4.8008e+04       -5.0833e+04        0.999          41.2
  45      1.0000e+00       6.5518e+04       -6.9169e+04        1.000          45.7

