File.......:  202107300850_c-220_eis_rt - JUL,30.2021

System.....:  
Potential..:  -0.009V
Current....:  -7.7303pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:50:31 - 08:51:21
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       7.8499e-02       -7.0368e+02        0.997           0.0
   2      7.5549e+05       3.6413e+00       -9.3399e+02        0.994           1.8
   3      5.7077e+05      -2.1639e+01       -1.2084e+03        0.988           2.3
   4      4.3121e+05       5.4236e+01       -1.6170e+03        0.997           3.3
   5      3.2578e+05       8.8691e+01       -2.1308e+03        0.999           4.2
   6      2.4612e+05       1.1301e+02       -2.7892e+03        0.998           4.7
   7      1.8594e+05       1.5343e+02       -3.6561e+03        0.996           5.1
   8      1.4048e+05       2.4591e+02       -4.8268e+03        0.995           5.5
   9      1.0613e+05       2.5079e+02       -6.3162e+03        0.997           6.0
  10      8.0180e+04       3.4513e+02       -8.3101e+03        0.997           6.4
  11      6.0575e+04       5.6650e+02       -1.0912e+04        0.998           7.1
  12      4.5764e+04       6.7670e+02       -1.4320e+04        0.998           7.8
  13      3.4574e+04       8.5343e+02       -1.8821e+04        0.998           8.2
  14      2.6121e+04       1.0752e+03       -2.4741e+04        1.000           8.7
  15      1.9734e+04       1.3087e+03       -3.2556e+04        0.998           9.2
  16      1.4909e+04       1.6594e+03       -4.2769e+04        0.999           9.6
  17      1.1263e+04       2.1990e+03       -5.6350e+04        0.999          10.1
  18      8.5095e+03       2.7995e+03       -7.4191e+04        0.996          10.5
  19      6.4288e+03       3.9145e+03       -9.7883e+04        0.997          11.0
  20      4.8569e+03       6.3636e+03       -1.2808e+05        0.999          11.7
  21      3.6694e+03       8.4325e+03       -1.6933e+05        0.997          12.4
  22      2.7722e+03       1.1290e+04       -2.2248e+05        0.998          12.8
  23      2.0944e+03       1.5331e+04       -2.9295e+05        0.998          13.3
  24      1.5823e+03       2.1614e+04       -3.8531e+05        0.999          13.7
  25      1.1954e+03       2.9130e+04       -5.0656e+05        0.996          14.2
  26      9.0311e+02       4.4550e+04       -6.6596e+05        0.999          14.7
  27      6.8229e+02       6.5571e+04       -8.7333e+05        0.997          15.1
  28      5.1546e+02       1.1624e+05       -1.1453e+06        0.999          15.8
  29      3.8943e+02       1.6742e+05       -1.4927e+06        0.998          16.5
  30      2.9421e+02       2.5186e+05       -1.9598e+06        0.999          17.0
  31      2.2227e+02       3.4261e+05       -2.5346e+06        0.998          17.4
  32      1.6793e+02       5.9148e+05       -3.3146e+06        0.999          17.9
  33      1.2687e+02       9.4191e+05       -4.2624e+06        0.996          18.3
  34      9.5846e+01       1.4760e+06       -5.8211e+06        0.995          18.9
  35      7.2411e+01       2.3318e+06       -7.1934e+06        0.998          19.5
  36      5.4092e+01       5.7422e+06       -5.4044e+06        0.991          21.0
  37      3.9533e+01       7.2550e+06       -1.0946e+07        0.990          22.8
  38      2.8174e+01       6.8629e+06       -1.2209e+07        0.906          24.3
  39      1.9503e+01       1.1134e+07       -1.4495e+07        0.916          25.9
  40      1.3058e+01       1.7778e+07       -1.4759e+07        0.961          27.8
  41      8.4196e+00       2.3705e+07       -1.4530e+07        0.907          30.0
  42      5.2123e+00       2.8565e+07       -1.2347e+07        0.975          32.6
  43      3.0979e+00       3.1784e+07       -9.2281e+06        0.999          36.7
  44      1.7783e+00       3.4178e+07       -7.0150e+06        0.999          42.3
  45      1.0000e+00       3.5775e+07       -5.2313e+06        0.992          46.8

