File.......:  202108060903_c-228_eis_rt - AUG,06.2021

System.....:  
Potential..:  -0.004V
Current....:  -3.1976pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:03:33 - 09:04:23
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.7557e-01       -6.9703e+02        0.997           0.0
   2      7.5549e+05       5.4523e+00       -9.2895e+02        0.998           1.8
   3      5.7077e+05      -5.9815e+01       -1.2317e+03        0.987           2.3
   4      4.3121e+05       5.5270e+01       -1.6051e+03        0.998           3.3
   5      3.2578e+05       8.1486e+01       -2.1019e+03        0.997           4.2
   6      2.4612e+05       1.0414e+02       -2.7700e+03        0.997           4.7
   7      1.8594e+05       1.5244e+02       -3.6477e+03        0.998           5.1
   8      1.4048e+05       1.8693e+02       -4.7480e+03        0.996           5.5
   9      1.0613e+05       2.2464e+02       -6.2597e+03        0.996           6.0
  10      8.0180e+04       3.3159e+02       -8.2593e+03        0.998           6.4
  11      6.0575e+04       5.0798e+02       -1.0813e+04        0.999           7.1
  12      4.5764e+04       6.3510e+02       -1.4218e+04        0.998           7.8
  13      3.4574e+04       7.6103e+02       -1.8710e+04        0.998           8.2
  14      2.6121e+04       8.9850e+02       -2.4603e+04        0.999           8.7
  15      1.9734e+04       1.1257e+03       -3.2415e+04        0.999           9.2
  16      1.4909e+04       1.4013e+03       -4.2687e+04        0.998           9.6
  17      1.1263e+04       1.7031e+03       -5.6191e+04        0.999          10.1
  18      8.5095e+03       2.1795e+03       -7.4054e+04        0.997          10.5
  19      6.4288e+03       4.0486e+03       -9.7811e+04        0.998          11.2
  20      4.8569e+03       4.7652e+03       -1.2878e+05        0.997          11.9
  21      3.6694e+03       5.9902e+03       -1.6971e+05        0.999          12.4
  22      2.7722e+03       7.4376e+03       -2.2343e+05        0.998          12.8
  23      2.0944e+03       9.4686e+03       -2.9479e+05        0.998          13.3
  24      1.5823e+03       1.2333e+04       -3.8857e+05        0.998          13.7
  25      1.1954e+03       1.5736e+04       -5.1282e+05        0.999          14.2
  26      9.0311e+02       2.2844e+04       -6.7629e+05        0.997          14.7
  27      6.8229e+02       4.8602e+04       -8.9317e+05        0.999          15.3
  28      5.1546e+02       6.0631e+04       -1.1727e+06        0.997          16.0
  29      3.8943e+02       8.2751e+04       -1.5481e+06        0.997          16.5
  30      2.9421e+02       1.1390e+05       -2.0328e+06        0.998          17.0
  31      2.2227e+02       1.9230e+05       -2.7211e+06        0.991          17.4
  32      1.6793e+02       2.2080e+05       -3.5072e+06        0.998          17.9
  33      1.2687e+02       3.3917e+05       -4.5933e+06        0.996          18.3
  34      9.5846e+01       6.7335e+05       -5.8294e+06        0.996          18.9
  35      7.2411e+01       1.1953e+06       -7.6996e+06        0.996          19.5
  36      5.4092e+01      -2.8472e+06       -7.8043e+06        0.994          20.9
  37      3.9533e+01       2.5647e+06       -1.6983e+07        0.981          22.8
  38      2.8174e+01       3.1012e+06       -2.2669e+07        0.870          24.3
  39      1.9503e+01       5.7911e+06       -3.0605e+07        0.873          25.8
  40      1.3058e+01       9.2923e+06       -3.6048e+07        0.939          27.7
  41      8.4196e+00       1.6083e+07       -5.5683e+07        0.847          29.9
  42      5.2123e+00       2.6864e+07       -7.8242e+07        0.944          32.6
  43      3.0979e+00       5.5950e+07       -1.0978e+08        0.998          36.6
  44      1.7783e+00       1.0529e+08       -1.4833e+08        0.989          42.2
  45      1.0000e+00       1.7283e+08       -1.8815e+08        0.947          46.9

