File.......:  202108060907_c-229_eis_rt - AUG,06.2021

System.....:  
Potential..:  0.014V
Current....:  13.715pA
Temperature:  -0.7 +-0.2 C
Time.......:  09:07:12 - 09:08:02
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.9258e+00       -7.4736e+02        0.997           0.0
   2      7.5549e+05      -1.3792e+01       -1.0005e+03        0.993           1.8
   3      5.7077e+05      -3.4283e+01       -1.2706e+03        0.994           2.3
   4      4.3121e+05       5.5201e+01       -1.7273e+03        0.997           3.3
   5      3.2578e+05       7.9275e+01       -2.2716e+03        0.997           4.2
   6      2.4612e+05       1.1200e+02       -2.9839e+03        0.997           4.7
   7      1.8594e+05       1.4261e+02       -3.9039e+03        0.997           5.1
   8      1.4048e+05       1.8965e+02       -5.1493e+03        0.997           5.5
   9      1.0613e+05       2.5133e+02       -6.7448e+03        0.998           6.0
  10      8.0180e+04       3.6001e+02       -8.8889e+03        0.997           6.4
  11      6.0575e+04       5.3833e+02       -1.1662e+04        0.998           7.1
  12      4.5764e+04       6.5747e+02       -1.5324e+04        0.998           7.8
  13      3.4574e+04       7.8540e+02       -2.0183e+04        0.998           8.2
  14      2.6121e+04       1.0085e+03       -2.6519e+04        0.999           8.7
  15      1.9734e+04       1.2072e+03       -3.4940e+04        0.998           9.2
  16      1.4909e+04       1.5949e+03       -4.5939e+04        0.997           9.6
  17      1.1263e+04       1.9193e+03       -6.0640e+04        0.998          10.1
  18      8.5095e+03       2.2298e+03       -7.9935e+04        0.999          10.5
  19      6.4288e+03       4.3990e+03       -1.0547e+05        0.998          11.2
  20      4.8569e+03       5.3008e+03       -1.3898e+05        0.998          11.9
  21      3.6694e+03       6.5908e+03       -1.8297e+05        0.999          12.4
  22      2.7722e+03       8.2128e+03       -2.4111e+05        0.999          12.8
  23      2.0944e+03       1.0470e+04       -3.1799e+05        0.997          13.3
  24      1.5823e+03       1.4073e+04       -4.1899e+05        0.998          13.7
  25      1.1954e+03       1.8485e+04       -5.5323e+05        0.998          14.2
  26      9.0311e+02       2.5988e+04       -7.2857e+05        0.997          14.7
  27      6.8229e+02       5.4580e+04       -9.6170e+05        0.998          15.3
  28      5.1546e+02       6.9408e+04       -1.2665e+06        0.997          16.0
  29      3.8943e+02       8.9477e+04       -1.6591e+06        0.998          16.5
  30      2.9421e+02       1.3736e+05       -2.1948e+06        0.996          17.0
  31      2.2227e+02       1.5947e+05       -2.8711e+06        0.994          17.4
  32      1.6793e+02       2.8963e+05       -3.7806e+06        0.995          17.9
  33      1.2687e+02       4.7805e+05       -4.9716e+06        0.996          18.3
  34      9.5846e+01       5.8685e+05       -6.9130e+06        0.994          18.9
  35      7.2411e+01       1.1253e+06       -9.0067e+06        0.996          19.5
  36      5.4092e+01      -6.7924e+06       -1.0691e+07        0.977          20.9
  37      3.9533e+01       3.1179e+06       -1.8815e+07        0.976          22.8
  38      2.8174e+01       2.3970e+06       -1.8621e+07        0.882          24.2
  39      1.9503e+01       5.4834e+06       -2.4817e+07        0.894          25.8
  40      1.3058e+01       1.3294e+07       -3.5838e+07        0.924          27.7
  41      8.4196e+00       2.0288e+07       -5.4191e+07        0.868          29.8
  42      5.2123e+00       4.4466e+07       -7.3549e+07        0.941          32.6
  43      3.0979e+00       6.8854e+07       -9.8021e+07        0.998          36.6
  44      1.7783e+00       1.1148e+08       -1.2043e+08        0.996          42.3
  45      1.0000e+00       1.6977e+08       -1.3007e+08        0.959          46.9

