File.......:  202108060910_c-230_eis_rt - AUG,06.2021

System.....:  
Potential..:  0.032V
Current....:  -12.992pA
Temperature:  -0.6 +-0.1 C
Time.......:  09:10:54 - 09:11:47
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -4.9933e+00       -6.4927e+02        0.998           0.0
   2      7.5549e+05      -2.5820e+00       -8.7201e+02        0.996           1.8
   3      5.7077e+05       4.2048e+00       -1.1520e+03        0.987           2.3
   4      4.3121e+05       4.9710e+01       -1.4986e+03        0.997           3.3
   5      3.2578e+05       6.9830e+01       -1.9698e+03        0.998           4.2
   6      2.4612e+05       1.1214e+02       -2.5816e+03        0.996           4.7
   7      1.8594e+05       1.5167e+02       -3.4105e+03        0.996           5.1
   8      1.4048e+05       2.0864e+02       -4.4790e+03        0.993           5.5
   9      1.0613e+05       2.1981e+02       -5.8487e+03        0.998           6.0
  10      8.0180e+04       2.8880e+02       -7.7063e+03        0.998           6.4
  11      6.0575e+04       3.6845e+02       -1.0048e+04        0.998           6.9
  12      4.5764e+04       6.2151e+02       -1.3242e+04        0.998           7.6
  13      3.4574e+04       7.4510e+02       -1.7433e+04        0.998           8.2
  14      2.6121e+04       9.3978e+02       -2.2909e+04        0.999           8.7
  15      1.9734e+04       1.1387e+03       -3.0142e+04        0.997           9.2
  16      1.4909e+04       1.4324e+03       -3.9613e+04        0.999           9.6
  17      1.1263e+04       1.7578e+03       -5.2192e+04        0.997          10.1
  18      8.5095e+03       2.3604e+03       -6.8755e+04        0.997          10.5
  19      6.4288e+03       2.7409e+03       -9.0536e+04        0.999          11.0
  20      4.8569e+03       4.7349e+03       -1.1985e+05        0.996          11.7
  21      3.6694e+03       5.8391e+03       -1.5730e+05        0.999          12.4
  22      2.7722e+03       7.1616e+03       -2.0725e+05        0.999          12.8
  23      2.0944e+03       8.9859e+03       -2.7311e+05        0.998          13.3
  24      1.5823e+03       1.1632e+04       -3.6005e+05        0.998          13.7
  25      1.1954e+03       1.4883e+04       -4.7327e+05        0.999          14.2
  26      9.0311e+02       1.8959e+04       -6.2554e+05        0.998          14.7
  27      6.8229e+02       4.2966e+04       -8.2646e+05        0.998          15.3
  28      5.1546e+02       5.3719e+04       -1.0851e+06        0.998          16.0
  29      3.8943e+02       7.0101e+04       -1.4309e+06        0.997          16.5
  30      2.9421e+02       9.7731e+04       -1.8792e+06        0.999          17.0
  31      2.2227e+02       1.4728e+05       -2.5273e+06        0.990          17.4
  32      1.6793e+02       1.6897e+05       -3.2468e+06        0.997          17.9
  33      1.2687e+02       2.5777e+05       -4.2565e+06        0.997          18.3
  34      9.5846e+01       5.4763e+05       -5.4759e+06        0.996          18.9
  35      7.2411e+01       1.0265e+06       -7.3034e+06        0.996          19.5
  36      5.4092e+01      -1.3419e+06       -6.4597e+06        0.996          20.9
  37      3.9533e+01       9.8018e+05       -1.1091e+07        0.985          22.8
  38      2.8174e+01       4.6424e+05       -2.0730e+07        0.865          24.2
  39      1.9503e+01       2.0346e+06       -2.7897e+07        0.879          25.8
  40      1.3058e+01       3.3081e+06       -3.9199e+07        0.925          27.7
  41      8.4196e+00       1.2099e+07       -5.6269e+07        0.849          29.9
  42      5.2123e+00       1.5904e+07       -8.2708e+07        0.936          32.6
  43      3.0979e+00       4.1969e+07       -1.2686e+08        0.997          37.3
  44      1.7783e+00       9.3350e+07       -1.8923e+08        0.984          45.5
  45      1.0000e+00       1.7084e+08       -2.6762e+08        0.927          50.2

