File.......:  202108090856_c-235_eis_rt - AUG,09.2021

System.....:  
Potential..:  0.018V
Current....:  -6.9617pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:56:46 - 08:57:37
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -6.9507e+00       -7.4698e+02        0.999           0.0
   2      7.5549e+05      -1.1657e+01       -9.8911e+02        0.995           1.8
   3      5.7077e+05      -8.1090e+00       -1.2939e+03        0.993           2.3
   4      4.3121e+05       5.1734e+01       -1.7110e+03        0.997           3.3
   5      3.2578e+05       8.2577e+01       -2.2532e+03        0.997           4.2
   6      2.4612e+05       1.1909e+02       -2.9619e+03        0.999           4.7
   7      1.8594e+05       1.5778e+02       -3.9147e+03        0.997           5.1
   8      1.4048e+05       2.1626e+02       -5.1224e+03        0.996           5.5
   9      1.0613e+05       2.4224e+02       -6.6813e+03        0.998           6.0
  10      8.0180e+04       3.2279e+02       -8.8382e+03        0.998           6.4
  11      6.0575e+04       5.8735e+02       -1.1581e+04        0.999           7.1
  12      4.5764e+04       6.7498e+02       -1.5230e+04        0.999           7.8
  13      3.4574e+04       8.3354e+02       -2.0010e+04        0.999           8.2
  14      2.6121e+04       1.0148e+03       -2.6309e+04        0.998           8.7
  15      1.9734e+04       1.2672e+03       -3.4651e+04        0.998           9.2
  16      1.4909e+04       1.5736e+03       -4.5586e+04        0.997           9.6
  17      1.1263e+04       2.0043e+03       -6.0071e+04        0.999          10.1
  18      8.5095e+03       2.5203e+03       -7.9075e+04        0.999          10.5
  19      6.4288e+03       4.6886e+03       -1.0441e+05        0.999          11.2
  20      4.8569e+03       5.8377e+03       -1.3739e+05        0.998          11.9
  21      3.6694e+03       7.1710e+03       -1.8116e+05        0.999          12.4
  22      2.7722e+03       9.0705e+03       -2.3863e+05        0.998          12.8
  23      2.0944e+03       1.1561e+04       -3.1398e+05        0.997          13.3
  24      1.5823e+03       1.5522e+04       -4.1429e+05        0.998          13.7
  25      1.1954e+03       1.9715e+04       -5.4492e+05        0.998          14.2
  26      9.0311e+02       2.7828e+04       -7.1867e+05        0.997          14.7
  27      6.8229e+02       6.0881e+04       -9.4871e+05        0.999          15.3
  28      5.1546e+02       7.8282e+04       -1.2453e+06        0.997          16.0
  29      3.8943e+02       1.0975e+05       -1.6426e+06        0.996          16.5
  30      2.9421e+02       1.5256e+05       -2.1515e+06        0.998          17.0
  31      2.2227e+02       2.3366e+05       -2.8071e+06        0.993          17.4
  32      1.6793e+02       3.2116e+05       -3.7144e+06        0.994          17.9
  33      1.2687e+02       4.2410e+05       -4.8696e+06        0.994          18.3
  34      9.5846e+01       5.9502e+05       -6.7283e+06        0.991          19.4
  35      7.2411e+01       1.0467e+06       -8.6522e+06        0.992          20.5
  36      5.4092e+01       4.5838e+06       -7.1094e+06        0.988          21.9
  37      3.9533e+01       3.5886e+06       -1.2528e+07        0.981          23.7
  38      2.8174e+01       6.7203e+06       -2.1314e+07        0.883          25.2
  39      1.9503e+01       1.0307e+07       -2.9019e+07        0.890          26.8
  40      1.3058e+01       1.4079e+07       -3.7584e+07        0.936          28.7
  41      8.4196e+00       2.7556e+07       -4.5774e+07        0.891          30.9
  42      5.2123e+00       4.4659e+07       -5.5589e+07        0.967          33.6
  43      3.0979e+00       6.9491e+07       -6.2829e+07        0.998          37.6
  44      1.7783e+00       9.7215e+07       -6.4177e+07        0.997          43.3
  45      1.0000e+00       1.2383e+08       -5.6035e+07        0.981          47.9

