File.......:  202108091238_c-237_eis_rt - AUG,09.2021

System.....:  
Potential..:  -0.005V
Current....:  -5.093nA
Temperature:  -0.7 +-0.1 C
Time.......:  12:38:27 - 12:39:15
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -7.4103e+00       -7.0770e+02        0.997           0.0
   2      7.5549e+05       4.1579e+00       -9.3697e+02        0.997           1.8
   3      5.7077e+05      -4.2925e+00       -1.2269e+03        0.994           2.3
   4      4.3121e+05       6.8091e+01       -1.6116e+03        0.998           3.3
   5      3.2578e+05       9.6943e+01       -2.1055e+03        0.997           4.2
   6      2.4612e+05       1.3581e+02       -2.7685e+03        0.997           4.7
   7      1.8594e+05       2.0369e+02       -3.6221e+03        0.996           5.1
   8      1.4048e+05       2.6765e+02       -4.7466e+03        0.998           5.5
   9      1.0613e+05       3.6326e+02       -6.2005e+03        0.998           6.0
  10      8.0180e+04       5.1745e+02       -8.2116e+03        0.998           6.4
  11      6.0575e+04       8.3524e+02       -1.0695e+04        0.998           7.1
  12      4.5764e+04       1.1274e+03       -1.4022e+04        0.998           7.8
  13      3.4574e+04       1.5568e+03       -1.8377e+04        0.999           8.2
  14      2.6121e+04       2.2073e+03       -2.4058e+04        0.999           8.7
  15      1.9734e+04       3.2429e+03       -3.1522e+04        0.997           9.2
  16      1.4909e+04       4.8604e+03       -4.1256e+04        0.997           9.6
  17      1.1263e+04       7.3877e+03       -5.3897e+04        0.998          10.1
  18      8.5095e+03       1.1583e+04       -7.0116e+04        0.997          10.5
  19      6.4288e+03       1.9511e+04       -9.1068e+04        0.999          11.2
  20      4.8569e+03       3.0356e+04       -1.1706e+05        0.999          11.9
  21      3.6694e+03       4.7996e+04       -1.4862e+05        0.997          12.4
  22      2.7722e+03       7.4947e+04       -1.8520e+05        0.999          12.8
  23      2.0944e+03       1.1510e+05       -2.2350e+05        0.998          13.3
  24      1.5823e+03       1.7056e+05       -2.5854e+05        0.998          13.7
  25      1.1954e+03       2.3962e+05       -2.8284e+05        0.998          14.2
  26      9.0311e+02       3.1695e+05       -2.8948e+05        0.999          14.7
  27      6.8229e+02       3.9193e+05       -2.7724e+05        0.999          15.1
  28      5.1546e+02       4.5620e+05       -2.5030e+05        0.998          15.6
  29      3.8943e+02       5.0554e+05       -2.1610e+05        1.000          16.0
  30      2.9421e+02       5.4063e+05       -1.8082e+05        0.999          16.5
  31      2.2227e+02       5.6776e+05       -1.5039e+05        0.999          17.0
  32      1.6793e+02       5.8343e+05       -1.2439e+05        0.999          17.4
  33      1.2687e+02       5.9530e+05       -1.0442e+05        1.000          17.9
  34      9.5846e+01       6.0601e+05       -9.2764e+04        1.000          18.4
  35      7.2411e+01       6.1564e+05       -7.8891e+04        1.000          19.2
  36      5.4092e+01       6.2996e+05       -8.9453e+04        1.000          20.9
  37      3.9533e+01       6.2994e+05       -6.3139e+04        0.999          22.6
  38      2.8174e+01       6.3553e+05       -7.0185e+04        0.999          24.0
  39      1.9503e+01       6.4442e+05       -7.3547e+04        0.997          25.6
  40      1.3058e+01       6.5820e+05       -8.0714e+04        0.999          27.5
  41      8.4196e+00       6.7317e+05       -9.6960e+04        0.998          29.6
  42      5.2123e+00       6.9402e+05       -1.2233e+05        0.999          32.3
  43      3.0979e+00       7.2448e+05       -1.6261e+05        1.000          35.6
  44      1.7783e+00       7.6577e+05       -2.2540e+05        1.000          40.5
  45      1.0000e+00       8.2405e+05       -3.2333e+05        1.000          45.1

