File.......:  202108110909_c-247_eis_rt - AUG,11.2021

System.....:  
Potential..:  -0.006V
Current....:  -57.911pA
Temperature:  -0.6 +-0.1 C
Time.......:  09:09:02 - 09:09:52
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.5393e+01       -6.9233e+02        0.994           0.0
   2      7.5549e+05      -2.0202e+01       -9.4714e+02        0.994           1.8
   3      5.7077e+05      -2.4501e+01       -1.2439e+03        0.993           2.3
   4      4.3121e+05       4.3990e+01       -1.6234e+03        0.997           3.3
   5      3.2578e+05       7.1542e+01       -2.1252e+03        0.997           4.2
   6      2.4612e+05       9.6593e+01       -2.7836e+03        0.996           4.7
   7      1.8594e+05       1.2767e+02       -3.6598e+03        0.995           5.1
   8      1.4048e+05       1.9805e+02       -4.8332e+03        0.996           5.5
   9      1.0613e+05       2.6320e+02       -6.3172e+03        0.997           6.0
  10      8.0180e+04       3.4213e+02       -8.3001e+03        0.999           6.4
  11      6.0575e+04       5.5246e+02       -1.0924e+04        0.998           7.1
  12      4.5764e+04       6.8136e+02       -1.4326e+04        0.998           7.8
  13      3.4574e+04       8.2225e+02       -1.8832e+04        0.998           8.2
  14      2.6121e+04       1.0585e+03       -2.4762e+04        0.999           8.7
  15      1.9734e+04       1.3112e+03       -3.2555e+04        0.999           9.2
  16      1.4909e+04       1.7650e+03       -4.2759e+04        0.998           9.6
  17      1.1263e+04       2.1828e+03       -5.6391e+04        0.998          10.1
  18      8.5095e+03       2.6930e+03       -7.4236e+04        0.998          10.5
  19      6.4288e+03       5.1877e+03       -9.7748e+04        0.999          11.2
  20      4.8569e+03       6.5855e+03       -1.2873e+05        0.998          11.9
  21      3.6694e+03       8.5945e+03       -1.6915e+05        0.998          12.4
  22      2.7722e+03       1.1448e+04       -2.2240e+05        0.999          12.8
  23      2.0944e+03       1.5530e+04       -2.9250e+05        0.997          13.3
  24      1.5823e+03       2.1917e+04       -3.8445e+05        0.997          13.7
  25      1.1954e+03       3.1209e+04       -5.0539e+05        0.999          14.2
  26      9.0311e+02       4.5476e+04       -6.6405e+05        0.997          14.7
  27      6.8229e+02       6.7442e+04       -8.7128e+05        0.998          15.1
  28      5.1546e+02       1.1801e+05       -1.1418e+06        0.999          15.8
  29      3.8943e+02       1.6885e+05       -1.4899e+06        0.998          16.5
  30      2.9421e+02       2.4841e+05       -1.9594e+06        0.998          17.0
  31      2.2227e+02       3.3045e+05       -2.4970e+06        0.992          17.4
  32      1.6793e+02       5.8555e+05       -3.2886e+06        0.994          17.9
  33      1.2687e+02       9.2678e+05       -4.2485e+06        0.997          18.3
  34      9.5846e+01       1.4121e+06       -5.8059e+06        0.994          18.9
  35      7.2411e+01       2.3011e+06       -7.1238e+06        0.995          19.5
  36      5.4092e+01       3.0509e+06       -5.2881e+06        0.989          21.0
  37      3.9533e+01       4.7815e+06       -1.2306e+07        0.976          22.7
  38      2.8174e+01       6.5182e+06       -1.2342e+07        0.903          24.2
  39      1.9503e+01       1.0934e+07       -1.5294e+07        0.915          25.8
  40      1.3058e+01       1.7695e+07       -1.6793e+07        0.967          27.8
  41      8.4196e+00       2.4513e+07       -1.5682e+07        0.895          29.9
  42      5.2123e+00       2.9733e+07       -1.5278e+07        0.963          32.6
  43      3.0979e+00       3.4134e+07       -1.1011e+07        0.999          36.6
  44      1.7783e+00       3.7179e+07       -8.1983e+06        0.998          42.2
  45      1.0000e+00       3.9363e+07       -6.3774e+06        0.994          46.7

