File.......:  202108120911_c-249_eis_rt - AUG,12.2021

System.....:  
Potential..:  0.016V
Current....:  -167.04nA
Temperature:  -0.7 +-0.2 C
Time.......:  09:11:42 - 09:12:28
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.5616e+02       -2.0680e+02        0.998           0.0
   2      7.5549e+05       3.0980e+02       -1.8843e+02        0.998           1.0
   3      5.7077e+05       3.4762e+02       -1.6910e+02        0.998           1.5
   4      4.3121e+05       3.7593e+02       -1.3557e+02        1.000           2.3
   5      3.2578e+05       3.9514e+02       -1.1035e+02        0.999           3.0
   6      2.4612e+05       4.0843e+02       -8.9155e+01        1.000           3.4
   7      1.8594e+05       4.1675e+02       -7.1805e+01        1.000           3.8
   8      1.4048e+05       4.2305e+02       -5.8304e+01        1.000           4.3
   9      1.0613e+05       4.2607e+02       -4.8206e+01        1.000           4.8
  10      8.0180e+04       4.2940e+02       -4.0753e+01        1.000           5.2
  11      6.0575e+04       4.3102e+02       -3.7066e+01        1.000           5.7
  12      4.5764e+04       4.3361e+02       -3.4718e+01        1.000           6.1
  13      3.4574e+04       4.3644e+02       -3.4713e+01        1.000           6.6
  14      2.6121e+04       4.3885e+02       -3.5935e+01        1.000           7.0
  15      1.9734e+04       4.4193e+02       -3.8873e+01        1.000           7.5
  16      1.4909e+04       4.4566e+02       -4.3860e+01        1.000           7.9
  17      1.1263e+04       4.5061e+02       -5.0356e+01        1.000           8.4
  18      8.5095e+03       4.5605e+02       -5.9028e+01        1.000           8.8
  19      6.4288e+03       4.6314e+02       -6.9929e+01        1.000           9.3
  20      4.8569e+03       4.7183e+02       -8.3059e+01        1.000           9.8
  21      3.6694e+03       4.8273e+02       -9.7919e+01        1.000          10.2
  22      2.7722e+03       4.9567e+02       -1.1660e+02        1.000          10.6
  23      2.0944e+03       5.1126e+02       -1.3836e+02        1.000          11.1
  24      1.5823e+03       5.3009e+02       -1.6384e+02        1.000          11.6
  25      1.1954e+03       5.5218e+02       -1.9405e+02        0.999          12.0
  26      9.0311e+02       5.7838e+02       -2.2910e+02        1.000          12.5
  27      6.8229e+02       6.0911e+02       -2.7083e+02        1.000          12.9
  28      5.1546e+02       6.4034e+02       -3.1774e+02        1.000          13.7
  29      3.8943e+02       6.8352e+02       -3.7522e+02        0.999          14.4
  30      2.9421e+02       7.3430e+02       -4.4334e+02        0.999          14.8
  31      2.2227e+02       7.9569e+02       -5.2311e+02        0.999          15.3
  32      1.6793e+02       8.6841e+02       -6.1731e+02        0.999          15.7
  33      1.2687e+02       9.5557e+02       -7.2735e+02        0.999          16.2
  34      9.5846e+01       1.0606e+03       -8.5569e+02        0.999          16.7
  35      7.2411e+01       1.1864e+03       -1.0030e+03        0.999          17.3
  36      5.4092e+01       1.3405e+03       -1.1812e+03        0.998          18.7
  37      3.9533e+01       1.5443e+03       -1.4013e+03        0.998          20.5
  38      2.8174e+01       1.8139e+03       -1.6774e+03        0.998          21.9
  39      1.9503e+01       2.1751e+03       -2.0223e+03        0.998          23.5
  40      1.3058e+01       2.6668e+03       -2.4558e+03        0.997          25.3
  41      8.4196e+00       3.3425e+03       -2.9976e+03        0.997          27.5
  42      5.2123e+00       4.2732e+03       -3.6665e+03        0.997          30.1
  43      3.0979e+00       5.5164e+03       -4.4641e+03        0.996          34.1
  44      1.7783e+00       7.1564e+03       -5.4163e+03        0.996          39.7
  45      1.0000e+00       9.1668e+03       -6.5310e+03        0.996          44.3

