File.......:  202108150848_c-252_eis_rt - AUG,15.2021

System.....:  
Potential..:  0.108V
Current....:  10.139pA
Temperature:  -0.7 +-0.0 C
Time.......:  08:48:20 - 08:49:09
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.6071e+01       -8.2888e+02        0.997           0.0
   2      7.5549e+05      -3.5132e+01       -1.0914e+03        0.995           1.8
   3      5.7077e+05      -2.7806e+01       -1.4836e+03        0.990           2.3
   4      4.3121e+05       3.4399e+01       -1.8898e+03        0.997           3.3
   5      3.2578e+05       6.1713e+01       -2.4821e+03        0.998           4.2
   6      2.4612e+05       9.6450e+01       -3.2687e+03        0.998           4.6
   7      1.8594e+05       1.2765e+02       -4.2926e+03        0.999           5.0
   8      1.4048e+05       2.0000e+02       -5.6543e+03        0.999           5.5
   9      1.0613e+05       2.4912e+02       -7.4060e+03        0.998           5.9
  10      8.0180e+04       4.8518e+02       -9.7690e+03        0.998           6.6
  11      6.0575e+04       5.8376e+02       -1.2805e+04        0.999           7.2
  12      4.5764e+04       7.0812e+02       -1.6839e+04        0.998           7.6
  13      3.4574e+04       8.4592e+02       -2.2157e+04        0.998           8.1
  14      2.6121e+04       1.0574e+03       -2.9127e+04        0.998           8.5
  15      1.9734e+04       1.3293e+03       -3.8354e+04        0.999           9.0
  16      1.4909e+04       1.6240e+03       -5.0454e+04        0.998           9.4
  17      1.1263e+04       2.0567e+03       -6.6522e+04        0.998           9.8
  18      8.5095e+03       4.1635e+03       -8.7983e+04        0.999          10.5
  19      6.4288e+03       4.8188e+03       -1.1575e+05        0.999          11.2
  20      4.8569e+03       5.7592e+03       -1.5228e+05        0.999          11.6
  21      3.6694e+03       7.0866e+03       -2.0088e+05        0.997          12.1
  22      2.7722e+03       8.6837e+03       -2.6467e+05        0.999          12.5
  23      2.0944e+03       1.1163e+04       -3.4883e+05        0.998          13.0
  24      1.5823e+03       1.4495e+04       -4.5997e+05        0.998          13.4
  25      1.1954e+03       1.9056e+04       -6.0663e+05        0.997          13.8
  26      9.0311e+02       2.5488e+04       -7.9937e+05        0.998          14.3
  27      6.8229e+02       5.7516e+04       -1.0563e+06        0.998          14.9
  28      5.1546e+02       7.1392e+04       -1.3884e+06        0.998          15.6
  29      3.8943e+02       9.5192e+04       -1.8276e+06        0.998          16.1
  30      2.9421e+02       1.2737e+05       -2.4065e+06        0.997          16.5
  31      2.2227e+02       1.7265e+05       -3.1616e+06        0.999          17.0
  32      1.6793e+02       2.5287e+05       -4.1625e+06        0.999          17.4
  33      1.2687e+02       3.8003e+05       -5.4690e+06        0.999          17.8
  34      9.5846e+01       6.8533e+05       -7.1416e+06        0.997          18.6
  35      7.2411e+01       1.0171e+06       -9.4920e+06        0.998          19.4
  36      5.4092e+01       1.7325e+05       -1.3968e+07        0.998          20.8
  37      3.9533e+01       1.9877e+06       -1.7148e+07        0.993          22.7
  38      2.8174e+01       2.8218e+06       -2.2805e+07        0.964          24.1
  39      1.9503e+01       4.6234e+06       -3.2261e+07        0.974          25.6
  40      1.3058e+01       9.7368e+06       -4.5286e+07        0.984          27.5
  41      8.4196e+00       1.6879e+07       -6.6245e+07        0.958          29.7
  42      5.2123e+00       3.1213e+07       -9.7894e+07        0.987          32.4
  43      3.0979e+00       6.0532e+07       -1.4384e+08        0.998          35.7
  44      1.7783e+00       1.1425e+08       -2.0601e+08        0.998          40.7
  45      1.0000e+00       2.0804e+08       -2.7557e+08        0.987          45.3

