File.......:  202108150852_c-253_eis_rt - AUG,15.2021

System.....:  
Potential..:  0.110V
Current....:  -8.9731pA
Temperature:  -0.7 +-0.0 C
Time.......:  08:52:08 - 08:52:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -3.0093e+01       -8.6068e+02        0.995           0.0
   2      7.5549e+05      -2.8353e+01       -1.1338e+03        0.997           1.8
   3      5.7077e+05      -6.4694e+01       -1.5452e+03        0.991           2.3
   4      4.3121e+05       3.5057e+01       -2.0060e+03        0.997           3.3
   5      3.2578e+05       6.1784e+01       -2.6353e+03        0.998           4.2
   6      2.4612e+05       1.0049e+02       -3.4713e+03        0.998           4.6
   7      1.8594e+05       1.3463e+02       -4.5524e+03        0.998           5.0
   8      1.4048e+05       2.1431e+02       -5.9755e+03        0.998           5.5
   9      1.0613e+05       2.4623e+02       -7.8748e+03        0.999           5.9
  10      8.0180e+04       5.0310e+02       -1.0386e+04        0.998           6.6
  11      6.0575e+04       6.1424e+02       -1.3621e+04        0.998           7.2
  12      4.5764e+04       7.4082e+02       -1.7905e+04        0.998           7.6
  13      3.4574e+04       8.9643e+02       -2.3559e+04        0.998           8.1
  14      2.6121e+04       1.1085e+03       -3.0982e+04        0.998           8.5
  15      1.9734e+04       1.3985e+03       -4.0830e+04        0.998           9.0
  16      1.4909e+04       1.6945e+03       -5.3698e+04        0.999           9.4
  17      1.1263e+04       2.1432e+03       -7.0797e+04        0.998           9.8
  18      8.5095e+03       4.4028e+03       -9.3702e+04        0.999          10.5
  19      6.4288e+03       5.0687e+03       -1.2326e+05        0.998          11.2
  20      4.8569e+03       6.0313e+03       -1.6228e+05        0.998          11.6
  21      3.6694e+03       7.4836e+03       -2.1390e+05        0.999          12.1
  22      2.7722e+03       9.2131e+03       -2.8183e+05        0.999          12.5
  23      2.0944e+03       1.1831e+04       -3.7151e+05        0.997          13.0
  24      1.5823e+03       1.5421e+04       -4.9001e+05        0.998          13.4
  25      1.1954e+03       2.0472e+04       -6.4609e+05        0.998          13.8
  26      9.0311e+02       5.1324e+04       -8.5595e+05        0.998          14.5
  27      6.8229e+02       6.2411e+04       -1.1253e+06        0.998          15.2
  28      5.1546e+02       7.8064e+04       -1.4795e+06        0.999          15.6
  29      3.8943e+02       1.0400e+05       -1.9487e+06        0.998          16.1
  30      2.9421e+02       1.4203e+05       -2.5632e+06        0.997          16.5
  31      2.2227e+02       1.8340e+05       -3.3676e+06        0.999          17.0
  32      1.6793e+02       2.8397e+05       -4.4247e+06        0.997          17.4
  33      1.2687e+02       4.2606e+05       -5.8033e+06        0.998          17.8
  34      9.5846e+01       8.8572e+05       -7.7344e+06        1.000          18.7
  35      7.2411e+01       1.1723e+06       -9.8111e+06        0.998          19.4
  36      5.4092e+01       2.2173e+06       -1.1429e+07        0.996          20.8
  37      3.9533e+01       3.2013e+06       -1.7882e+07        0.994          22.7
  38      2.8174e+01       4.3749e+06       -2.4618e+07        0.965          24.1
  39      1.9503e+01       7.6078e+06       -3.3012e+07        0.971          25.7
  40      1.3058e+01       1.2075e+07       -4.7837e+07        0.985          27.6
  41      8.4196e+00       1.9789e+07       -6.7430e+07        0.958          29.9
  42      5.2123e+00       3.9015e+07       -9.8327e+07        0.985          32.5
  43      3.0979e+00       7.4163e+07       -1.3679e+08        0.998          35.9
  44      1.7783e+00       1.3378e+08       -1.8088e+08        0.996          40.8
  45      1.0000e+00       2.1783e+08       -2.2067e+08        0.986          45.5

