File.......:  202108160858_c-260_eis_rt - AUG,16.2021

System.....:  
Potential..:  -0.030V
Current....:  -6.3176nA
Temperature:  -0.6 +-0.0 C
Time.......:  08:58:46 - 08:59:33
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.7128e+00       -4.7925e+02        0.997           0.0
   2      7.5549e+05       2.0102e+01       -6.4580e+02        0.997           1.8
   3      5.7077e+05       2.1721e+01       -8.4212e+02        0.998           2.3
   4      4.3121e+05       5.7475e+01       -1.0952e+03        0.997           3.3
   5      3.2578e+05       8.2173e+01       -1.4351e+03        0.997           4.2
   6      2.4612e+05       1.1884e+02       -1.8854e+03        0.998           4.7
   7      1.8594e+05       1.6577e+02       -2.4649e+03        0.998           5.1
   8      1.4048e+05       2.5373e+02       -3.2316e+03        0.998           5.5
   9      1.0613e+05       3.5655e+02       -4.2462e+03        0.997           6.0
  10      8.0180e+04       5.0609e+02       -5.5608e+03        0.998           6.4
  11      6.0575e+04       7.6978e+02       -7.2807e+03        0.998           6.9
  12      4.5764e+04       1.2181e+03       -9.5398e+03        0.997           7.3
  13      3.4574e+04       1.9550e+03       -1.2384e+04        0.998           8.0
  14      2.6121e+04       3.0624e+03       -1.6074e+04        0.999           8.7
  15      1.9734e+04       4.8370e+03       -2.0795e+04        0.998           9.2
  16      1.4909e+04       7.7058e+03       -2.6553e+04        0.998           9.6
  17      1.1263e+04       1.2208e+04       -3.3366e+04        0.999          10.1
  18      8.5095e+03       1.9048e+04       -4.0833e+04        0.999          10.5
  19      6.4288e+03       2.8841e+04       -4.8053e+04        0.999          11.0
  20      4.8569e+03       4.1798e+04       -5.3335e+04        0.999          11.4
  21      3.6694e+03       5.6686e+04       -5.5479e+04        0.999          12.1
  22      2.7722e+03       7.1367e+04       -5.4078e+04        0.999          12.8
  23      2.0944e+03       8.4424e+04       -4.9445e+04        0.999          13.3
  24      1.5823e+03       9.4695e+04       -4.2981e+04        1.000          13.7
  25      1.1954e+03       1.0210e+05       -3.6153e+04        0.999          14.2
  26      9.0311e+02       1.0717e+05       -2.9807e+04        1.000          14.7
  27      6.8229e+02       1.1060e+05       -2.4554e+04        1.000          15.1
  28      5.1546e+02       1.1294e+05       -2.0394e+04        1.000          15.6
  29      3.8943e+02       1.1466e+05       -1.7211e+04        1.000          16.0
  30      2.9421e+02       1.1598e+05       -1.5017e+04        1.000          16.5
  31      2.2227e+02       1.1719e+05       -1.3578e+04        0.999          17.0
  32      1.6793e+02       1.1810e+05       -1.2867e+04        1.000          17.4
  33      1.2687e+02       1.1913e+05       -1.2769e+04        1.000          17.9
  34      9.5846e+01       1.2018e+05       -1.3343e+04        1.000          18.4
  35      7.2411e+01       1.2140e+05       -1.4413e+04        1.000          19.0
  36      5.4092e+01       1.2211e+05       -1.5480e+04        1.000          20.4
  37      3.9533e+01       1.2428e+05       -1.8880e+04        1.000          22.1
  38      2.8174e+01       1.2647e+05       -2.2458e+04        0.999          23.6
  39      1.9503e+01       1.2971e+05       -2.7815e+04        1.000          25.2
  40      1.3058e+01       1.3435e+05       -3.5575e+04        1.000          27.0
  41      8.4196e+00       1.4107e+05       -4.6954e+04        0.999          29.2
  42      5.2123e+00       1.5142e+05       -6.3678e+04        1.000          31.8
  43      3.0979e+00       1.6769e+05       -8.8306e+04        1.000          35.1
  44      1.7783e+00       1.9309e+05       -1.2416e+05        0.999          40.0
  45      1.0000e+00       2.3166e+05       -1.7462e+05        0.999          44.6

