File.......:  202108161304_c-262_eis_rt - AUG,16.2021

System.....:  
Potential..:  0.004V
Current....:  1.2856uA
Temperature:  -0.6 +-0.1 C
Time.......:  13:04:14 - 13:05:00
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       9.1483e+01       -4.4404e+02        0.996           0.0
   2      7.5549e+05       1.4955e+02       -5.6878e+02        0.998           1.8
   3      5.7077e+05       2.2897e+02       -7.2188e+02        0.995           2.3
   4      4.3121e+05       3.7709e+02       -8.6757e+02        0.997           3.3
   5      3.2578e+05       5.6532e+02       -1.0350e+03        0.998           4.2
   6      2.4612e+05       8.2155e+02       -1.1869e+03        0.999           4.7
   7      1.8594e+05       1.1340e+03       -1.3019e+03        0.999           5.1
   8      1.4048e+05       1.4876e+03       -1.3451e+03        0.999           5.5
   9      1.0613e+05       1.8331e+03       -1.2907e+03        0.999           6.0
  10      8.0180e+04       2.1405e+03       -1.1663e+03        0.999           6.4
  11      6.0575e+04       2.3653e+03       -9.9328e+02        1.000           6.9
  12      4.5764e+04       2.5394e+03       -8.2026e+02        0.999           7.3
  13      3.4574e+04       2.6607e+03       -6.6138e+02        1.000           7.8
  14      2.6121e+04       2.7444e+03       -5.2476e+02        1.000           8.2
  15      1.9734e+04       2.8078e+03       -4.1231e+02        1.000           8.7
  16      1.4909e+04       2.8370e+03       -3.1908e+02        1.000           9.1
  17      1.1263e+04       2.8605e+03       -2.4572e+02        1.000           9.6
  18      8.5095e+03       2.8732e+03       -1.8896e+02        1.000          10.1
  19      6.4288e+03       2.8839e+03       -1.4621e+02        1.000          10.5
  20      4.8569e+03       2.8911e+03       -1.1300e+02        1.000          11.0
  21      3.6694e+03       2.8895e+03       -8.2265e+01        1.000          11.4
  22      2.7722e+03       2.8995e+03       -6.3478e+01        1.000          11.9
  23      2.0944e+03       2.9110e+03       -4.8259e+01        1.000          12.4
  24      1.5823e+03       2.9046e+03       -3.5602e+01        1.000          12.8
  25      1.1954e+03       2.9161e+03       -2.7771e+01        1.000          13.3
  26      9.0311e+02       2.9318e+03       -2.0846e+01        1.000          13.7
  27      6.8229e+02       2.9361e+03       -1.6421e+01        1.000          14.2
  28      5.1546e+02       2.9406e+03       -1.3301e+01        1.000          14.7
  29      3.8943e+02       2.9442e+03       -8.9097e+00        1.000          15.1
  30      2.9421e+02       2.9530e+03       -6.9404e+00        1.000          15.6
  31      2.2227e+02       2.9543e+03       -3.2318e+00        1.000          16.0
  32      1.6793e+02       2.9775e+03       -2.2307e+00        1.000          16.5
  33      1.2687e+02       2.9727e+03       -1.9567e+00        1.000          16.9
  34      9.5846e+01       2.9895e+03       -6.3988e-01        1.000          17.5
  35      7.2411e+01       3.0140e+03        6.6041e-01        1.000          18.0
  36      5.4092e+01       3.0589e+03       -5.7064e+00        1.000          19.5
  37      3.9533e+01       3.0651e+03       -3.9473e+00        1.000          21.2
  38      2.8174e+01       3.1019e+03       -4.1580e+00        1.000          22.6
  39      1.9503e+01       3.1036e+03       -3.4095e+00        1.000          24.2
  40      1.3058e+01       3.1741e+03       -2.8290e+00        1.000          26.1
  41      8.4196e+00       3.3074e+03       -2.7617e+00        1.000          28.2
  42      5.2123e+00       3.3688e+03       -2.2521e+00        1.000          30.9
  43      3.0979e+00       3.3929e+03        1.0162e+00        1.000          34.2
  44      1.7783e+00       3.4053e+03       -1.3849e+00        1.000          39.1
  45      1.0000e+00       3.4238e+03       -3.5622e+00        0.999          43.7

