File.......:  202108171256_c-269_eis_rt - AUG,17.2021

System.....:  
Potential..:  0.007V
Current....:  -458.13pA
Temperature:  -0.6 +-0.1 C
Time.......:  12:56:02 - 12:56:59
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.1719e+01       -4.6503e+02        0.998           0.0
   2      7.5549e+05       3.4227e+01       -6.0989e+02        0.997           1.8
   3      5.7077e+05       2.9954e+01       -8.1084e+02        0.994           2.3
   4      4.3121e+05       7.9211e+01       -1.0404e+03        0.996           3.3
   5      3.2578e+05       1.0764e+02       -1.3566e+03        0.997           4.2
   6      2.4612e+05       1.3792e+02       -1.7647e+03        0.998           4.7
   7      1.8594e+05       1.8217e+02       -2.2958e+03        0.997           5.1
   8      1.4048e+05       2.3795e+02       -3.0139e+03        0.999           5.5
   9      1.0613e+05       2.9345e+02       -3.9192e+03        0.999           6.0
  10      8.0180e+04       4.0628e+02       -5.1364e+03        0.998           6.4
  11      6.0575e+04       5.0162e+02       -6.6966e+03        0.998           6.9
  12      4.5764e+04       6.6474e+02       -8.7507e+03        0.999           7.3
  13      3.4574e+04       8.1695e+02       -1.1464e+04        0.998           7.8
  14      2.6121e+04       1.1887e+03       -1.4981e+04        1.000           8.5
  15      1.9734e+04       1.5836e+03       -1.9618e+04        0.998           9.2
  16      1.4909e+04       2.1339e+03       -2.5668e+04        0.999           9.6
  17      1.1263e+04       2.9157e+03       -3.3645e+04        0.998          10.1
  18      8.5095e+03       4.0598e+03       -4.4013e+04        0.999          10.5
  19      6.4288e+03       5.8811e+03       -5.7535e+04        0.997          11.0
  20      4.8569e+03       8.8468e+03       -7.4766e+04        0.996          11.4
  21      3.6694e+03       1.3782e+04       -9.7866e+04        0.999          12.1
  22      2.7722e+03       2.0459e+04       -1.2712e+05        0.998          12.8
  23      2.0944e+03       3.0999e+04       -1.6441e+05        0.997          13.3
  24      1.5823e+03       4.7309e+04       -2.1108e+05        0.998          13.7
  25      1.1954e+03       7.1935e+04       -2.6837e+05        0.999          14.2
  26      9.0311e+02       1.0822e+05       -3.3606e+05        0.997          14.7
  27      6.8229e+02       1.5952e+05       -4.1383e+05        0.999          15.1
  28      5.1546e+02       2.2754e+05       -4.9856e+05        0.999          15.6
  29      3.8943e+02       3.1348e+05       -5.8736e+05        1.000          16.0
  30      2.9421e+02       4.1873e+05       -6.7939e+05        0.999          16.7
  31      2.2227e+02       5.3409e+05       -7.7779e+05        0.999          17.4
  32      1.6793e+02       6.5701e+05       -8.8856e+05        0.998          17.9
  33      1.2687e+02       7.9464e+05       -1.0079e+06        0.998          18.3
  34      9.5846e+01       9.3776e+05       -1.1630e+06        0.998          18.9
  35      7.2411e+01       1.1238e+06       -1.3400e+06        0.999          19.4
  36      5.4092e+01       1.1552e+06       -1.5650e+06        0.998          20.8
  37      3.9533e+01       1.7079e+06       -1.7603e+06        0.999          22.6
  38      2.8174e+01       2.0229e+06       -2.0912e+06        0.980          24.0
  39      1.9503e+01       2.4485e+06       -2.3865e+06        0.983          25.7
  40      1.3058e+01       3.1562e+06       -2.7883e+06        0.994          27.5
  41      8.4196e+00       3.9760e+06       -3.2222e+06        0.981          29.7
  42      5.2123e+00       5.0729e+06       -3.6677e+06        0.995          32.3
  43      3.0979e+00       6.3723e+06       -4.0623e+06        0.999          35.7
  44      1.7783e+00       7.7948e+06       -4.4708e+06        0.999          44.4
  45      1.0000e+00       9.2381e+06       -5.0682e+06        0.998          53.5

