File.......:  202109150905_c-288_eis_rt - SEP,15.2021

System.....:  
Potential..:  0.001V
Current....:  2.6365pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:05:01 - 09:05:49
Comment....:  
              
              
              
              Main
time.......:  9480.1 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       9.0119e-01       -5.5194e+02        0.998           0.0
   2      7.5549e+05       1.5309e+01       -7.3453e+02        0.997           1.8
   3      5.7077e+05      -6.2370e+00       -9.5349e+02        0.995           2.3
   4      4.3121e+05       4.9985e+01       -1.2608e+03        0.997           3.3
   5      3.2578e+05       6.6534e+01       -1.6553e+03        0.998           4.2
   6      2.4612e+05       9.1192e+01       -2.1716e+03        0.998           4.6
   7      1.8594e+05       1.1269e+02       -2.8486e+03        0.998           5.0
   8      1.4048e+05       1.6459e+02       -3.7536e+03        0.998           5.5
   9      1.0613e+05       1.9523e+02       -4.9198e+03        0.998           5.9
  10      8.0180e+04       2.3891e+02       -6.4823e+03        0.998           6.3
  11      6.0575e+04       4.0174e+02       -8.5047e+03        0.998           7.0
  12      4.5764e+04       4.8331e+02       -1.1182e+04        0.998           7.6
  13      3.4574e+04       5.7057e+02       -1.4705e+04        0.998           8.1
  14      2.6121e+04       7.0792e+02       -1.9351e+04        0.999           8.5
  15      1.9734e+04       8.6028e+02       -2.5483e+04        0.999           8.9
  16      1.4909e+04       1.0428e+03       -3.3531e+04        0.999           9.4
  17      1.1263e+04       1.3015e+03       -4.4212e+04        0.999           9.8
  18      8.5095e+03       1.5699e+03       -5.8276e+04        0.999          10.3
  19      6.4288e+03       2.8791e+03       -7.6967e+04        1.000          10.9
  20      4.8569e+03       3.4144e+03       -1.0133e+05        0.999          11.6
  21      3.6694e+03       4.1070e+03       -1.3373e+05        0.999          12.0
  22      2.7722e+03       4.9098e+03       -1.7629e+05        0.998          12.5
  23      2.0944e+03       6.0693e+03       -2.3258e+05        0.997          12.9
  24      1.5823e+03       7.6182e+03       -3.0687e+05        0.998          13.4
  25      1.1954e+03       9.4985e+03       -4.0499e+05        0.999          13.8
  26      9.0311e+02       1.2390e+04       -5.3421e+05        0.998          14.2
  27      6.8229e+02       1.6273e+04       -7.0508e+05        0.998          14.7
  28      5.1546e+02       3.6026e+04       -9.3151e+05        0.998          15.4
  29      3.8943e+02       4.4690e+04       -1.2271e+06        0.997          16.0
  30      2.9421e+02       5.5520e+04       -1.6185e+06        0.997          16.5
  31      2.2227e+02       8.8050e+04       -2.1296e+06        0.999          16.9
  32      1.6793e+02       1.0362e+05       -2.8147e+06        0.997          17.3
  33      1.2687e+02       1.3934e+05       -3.7101e+06        0.997          17.8
  34      9.5846e+01       2.5421e+05       -4.8525e+06        0.999          18.4
  35      7.2411e+01       3.5691e+05       -6.6260e+06        0.998          19.2
  36      5.4092e+01      -3.3693e+05       -7.8961e+06        0.996          20.8
  37      3.9533e+01       1.2702e+06       -1.1845e+07        0.994          22.6
  38      2.8174e+01       1.0933e+06       -1.6697e+07        0.963          24.0
  39      1.9503e+01       2.5268e+06       -2.2925e+07        0.972          25.7
  40      1.3058e+01       3.5448e+06       -3.3443e+07        0.986          27.5
  41      8.4196e+00       6.1862e+06       -4.9409e+07        0.949          29.7
  42      5.2123e+00       1.2021e+07       -7.8132e+07        0.981          32.3
  43      3.0979e+00       2.6411e+07       -1.2308e+08        0.998          35.6
  44      1.7783e+00       5.4873e+07       -1.9739e+08        0.999          40.6
  45      1.0000e+00       1.1499e+08       -3.0814e+08        0.981          45.2

