File.......:  202109170857_c-290_eis_rt - SEP,17.2021

System.....:  
Potential..:  0.017V
Current....:  -75.486pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:57:42 - 08:58:32
Comment....:  
              
              
              
              Main
time.......:  11280 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.1876e+00       -3.8334e+02        0.999           0.0
   2      7.5549e+05       1.0385e+01       -5.0836e+02        0.999           1.8
   3      5.7077e+05       3.2208e+00       -6.6818e+02        0.996           2.3
   4      4.3121e+05       3.4043e+01       -8.7468e+02        0.995           3.3
   5      3.2578e+05       4.2191e+01       -1.1494e+03        0.997           4.2
   6      2.4612e+05       5.5640e+01       -1.5118e+03        0.998           4.6
   7      1.8594e+05       6.9007e+01       -1.9879e+03        0.998           5.0
   8      1.4048e+05       9.2124e+01       -2.6155e+03        0.998           5.5
   9      1.0613e+05       1.1237e+02       -3.4410e+03        0.999           5.9
  10      8.0180e+04       1.3946e+02       -4.5362e+03        0.998           6.3
  11      6.0575e+04       1.7815e+02       -5.9550e+03        0.999           6.8
  12      4.5764e+04       2.8339e+02       -7.8538e+03        0.998           7.4
  13      3.4574e+04       3.3808e+02       -1.0342e+04        0.998           8.1
  14      2.6121e+04       4.1390e+02       -1.3625e+04        0.999           8.5
  15      1.9734e+04       5.0505e+02       -1.7954e+04        0.999           8.9
  16      1.4909e+04       6.1899e+02       -2.3671e+04        0.997           9.4
  17      1.1263e+04       7.6777e+02       -3.1216e+04        0.999           9.8
  18      8.5095e+03       9.3232e+02       -4.1180e+04        0.998          10.3
  19      6.4288e+03       1.1477e+03       -5.4337e+04        0.998          10.7
  20      4.8569e+03       1.6639e+03       -7.1764e+04        0.997          11.2
  21      3.6694e+03       2.6473e+03       -9.4671e+04        0.999          11.8
  22      2.7722e+03       3.2107e+03       -1.2486e+05        0.997          12.5
  23      2.0944e+03       4.0621e+03       -1.6478e+05        0.998          12.9
  24      1.5823e+03       5.2772e+03       -2.1749e+05        0.998          13.4
  25      1.1954e+03       6.7458e+03       -2.8702e+05        0.999          13.8
  26      9.0311e+02       9.2637e+03       -3.7885e+05        0.998          14.2
  27      6.8229e+02       1.2796e+04       -4.9995e+05        0.998          14.7
  28      5.1546e+02       1.7631e+04       -6.5990e+05        0.998          15.1
  29      3.8943e+02       3.6354e+04       -8.7067e+05        0.999          15.8
  30      2.9421e+02       4.8567e+04       -1.1479e+06        0.999          16.5
  31      2.2227e+02       6.8453e+04       -1.5099e+06        0.998          16.9
  32      1.6793e+02       1.0024e+05       -1.9920e+06        0.997          17.3
  33      1.2687e+02       1.5172e+05       -2.6242e+06        0.997          17.8
  34      9.5846e+01       2.5570e+05       -3.4565e+06        0.998          18.4
  35      7.2411e+01       3.2158e+05       -4.4703e+06        0.997          18.9
  36      5.4092e+01       1.0082e+06       -5.7517e+06        0.999          21.1
  37      3.9533e+01       1.1010e+06       -8.1899e+06        0.995          24.0
  38      2.8174e+01       1.4049e+06       -1.1255e+07        0.977          25.8
  39      1.9503e+01       2.4453e+06       -1.5618e+07        0.987          27.4
  40      1.3058e+01       4.3460e+06       -2.2000e+07        0.992          29.3
  41      8.4196e+00       8.4573e+06       -3.2314e+07        0.973          31.4
  42      5.2123e+00       1.5647e+07       -4.7599e+07        0.991          34.1
  43      3.0979e+00       3.0382e+07       -7.0098e+07        0.998          37.5
  44      1.7783e+00       5.8490e+07       -9.9442e+07        0.998          42.5
  45      1.0000e+00       1.0590e+08       -1.2974e+08        0.990          47.1

