File.......:  202109220852_c-292_eis_rt - SEP,22.2021

System.....:  
Potential..:  -0.042V
Current....:  7.7329pA
Temperature:  -0.7 +-0.2 C
Time.......:  08:52:50 - 08:53:40
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -4.8436e+00       -4.7545e+02        0.994           0.0
   2      7.5549e+05      -3.7322e+00       -6.3182e+02        0.995           1.8
   3      5.7077e+05      -3.9525e+00       -8.2812e+02        0.991           2.3
   4      4.3121e+05       3.5651e+01       -1.0863e+03        0.996           3.3
   5      3.2578e+05       5.2049e+01       -1.4302e+03        0.998           4.2
   6      2.4612e+05       7.2715e+01       -1.8737e+03        0.997           4.7
   7      1.8594e+05       8.7328e+01       -2.4573e+03        0.998           5.1
   8      1.4048e+05       1.2328e+02       -3.2108e+03        0.998           5.5
   9      1.0613e+05       1.5950e+02       -4.2449e+03        0.998           6.0
  10      8.0180e+04       1.7257e+02       -5.6071e+03        0.997           6.4
  11      6.0575e+04       2.2779e+02       -7.3303e+03        0.998           6.9
  12      4.5764e+04       3.8646e+02       -9.6751e+03        0.999           7.6
  13      3.4574e+04       4.7623e+02       -1.2733e+04        0.999           8.2
  14      2.6121e+04       5.9671e+02       -1.6761e+04        0.998           8.7
  15      1.9734e+04       7.4968e+02       -2.2085e+04        0.999           9.2
  16      1.4909e+04       9.0979e+02       -2.9024e+04        0.998           9.6
  17      1.1263e+04       1.1622e+03       -3.8320e+04        0.998          10.1
  18      8.5095e+03       1.5199e+03       -5.0515e+04        0.998          10.5
  19      6.4288e+03       1.9789e+03       -6.6343e+04        0.998          11.0
  20      4.8569e+03       3.5430e+03       -8.7870e+04        0.999          11.7
  21      3.6694e+03       4.6327e+03       -1.1574e+05        0.998          12.4
  22      2.7722e+03       6.2121e+03       -1.5226e+05        0.998          12.8
  23      2.0944e+03       8.5028e+03       -2.0075e+05        0.998          13.3
  24      1.5823e+03       1.2123e+04       -2.6427e+05        0.998          13.7
  25      1.1954e+03       1.7059e+04       -3.4746e+05        0.998          14.2
  26      9.0311e+02       2.4746e+04       -4.5633e+05        0.998          14.7
  27      6.8229e+02       3.5566e+04       -5.9813e+05        0.999          15.1
  28      5.1546e+02       5.0341e+04       -7.8272e+05        0.998          15.6
  29      3.8943e+02       8.4184e+04       -1.0256e+06        0.997          16.3
  30      2.9421e+02       1.0939e+05       -1.3354e+06        0.998          17.0
  31      2.2227e+02       1.6502e+05       -1.7450e+06        0.995          17.4
  32      1.6793e+02       2.1051e+05       -2.2881e+06        0.999          17.9
  33      1.2687e+02       2.7816e+05       -2.9987e+06        0.994          18.3
  34      9.5846e+01       2.9828e+05       -3.9441e+06        0.998          18.9
  35      7.2411e+01       5.2233e+05       -5.1339e+06        0.998          19.5
  36      5.4092e+01       1.6089e+06       -5.1811e+06        0.993          20.9
  37      3.9533e+01       1.5596e+06       -8.2516e+06        0.992          22.8
  38      2.8174e+01       2.1780e+06       -1.2877e+07        0.932          24.2
  39      1.9503e+01       4.1703e+06       -1.7548e+07        0.937          25.8
  40      1.3058e+01       7.9705e+06       -2.2473e+07        0.966          27.8
  41      8.4196e+00       1.4075e+07       -3.2958e+07        0.914          29.9
  42      5.2123e+00       2.4682e+07       -4.3623e+07        0.970          32.6
  43      3.0979e+00       4.3822e+07       -5.3626e+07        0.998          36.7
  44      1.7783e+00       6.9538e+07       -6.0216e+07        0.997          42.3
  45      1.0000e+00       9.7926e+07       -5.7162e+07        0.978          46.9

