File.......:  202109240857_c-295_eis_rt - SEP,24.2021

System.....:  
Potential..:  -0.031V
Current....:  -16.452pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:57:04 - 08:57:53
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -6.6078e+00       -6.6633e+02        0.996           0.0
   2      7.5549e+05       4.3066e-01       -8.9876e+02        0.992           2.1
   3      5.7077e+05      -7.9937e+00       -1.1399e+03        0.991           2.6
   4      4.3121e+05       4.0356e+01       -1.5206e+03        0.997           3.5
   5      3.2578e+05       5.9579e+01       -1.9978e+03        0.998           4.5
   6      2.4612e+05       8.8623e+01       -2.6254e+03        0.998           4.9
   7      1.8594e+05       1.1349e+02       -3.4444e+03        0.998           5.3
   8      1.4048e+05       1.7521e+02       -4.5348e+03        0.998           5.7
   9      1.0613e+05       2.0143e+02       -5.9608e+03        0.999           6.2
  10      8.0180e+04       2.5631e+02       -7.8538e+03        0.998           6.6
  11      6.0575e+04       4.4817e+02       -1.0314e+04        0.998           7.3
  12      4.5764e+04       5.3096e+02       -1.3567e+04        0.998           7.9
  13      3.4574e+04       6.4192e+02       -1.7867e+04        0.998           8.4
  14      2.6121e+04       7.9813e+02       -2.3504e+04        0.999           8.8
  15      1.9734e+04       9.7360e+02       -3.0959e+04        0.998           9.2
  16      1.4909e+04       1.1876e+03       -4.0776e+04        0.998           9.7
  17      1.1263e+04       1.4902e+03       -5.3770e+04        0.998          10.1
  18      8.5095e+03       1.8512e+03       -7.0899e+04        0.998          10.5
  19      6.4288e+03       3.4649e+03       -9.3661e+04        0.999          11.2
  20      4.8569e+03       4.1145e+03       -1.2330e+05        0.999          11.9
  21      3.6694e+03       5.1399e+03       -1.6279e+05        0.998          12.3
  22      2.7722e+03       6.3479e+03       -2.1457e+05        0.998          12.7
  23      2.0944e+03       8.0837e+03       -2.8305e+05        0.997          13.2
  24      1.5823e+03       1.0605e+04       -3.7352e+05        0.997          13.7
  25      1.1954e+03       1.3949e+04       -4.9272e+05        0.999          14.1
  26      9.0311e+02       1.9225e+04       -6.4980e+05        0.998          14.5
  27      6.8229e+02       4.4241e+04       -8.5958e+05        0.998          15.2
  28      5.1546e+02       5.5603e+04       -1.1310e+06        0.999          15.9
  29      3.8943e+02       7.5349e+04       -1.4895e+06        0.998          16.3
  30      2.9421e+02       1.0402e+05       -1.9625e+06        0.997          16.8
  31      2.2227e+02       1.5684e+05       -2.5805e+06        0.998          17.2
  32      1.6793e+02       2.2034e+05       -3.3967e+06        0.998          17.6
  33      1.2687e+02       3.3327e+05       -4.4646e+06        1.000          18.1
  34      9.5846e+01       5.2316e+05       -5.8095e+06        0.998          18.7
  35      7.2411e+01       1.0322e+06       -7.6476e+06        0.997          19.5
  36      5.4092e+01       2.4375e+06       -1.0357e+07        0.995          21.1
  37      3.9533e+01       2.2635e+06       -1.3138e+07        0.997          22.9
  38      2.8174e+01       3.7463e+06       -1.8237e+07        0.977          24.3
  39      1.9503e+01       6.3061e+06       -2.4877e+07        0.978          25.9
  40      1.3058e+01       1.0000e+07       -3.5109e+07        0.992          27.8
  41      8.4196e+00       1.9375e+07       -4.9764e+07        0.967          29.9
  42      5.2123e+00       3.4903e+07       -6.8194e+07        0.987          32.6
  43      3.0979e+00       6.0875e+07       -9.2260e+07        0.998          36.0
  44      1.7783e+00       1.0172e+08       -1.1541e+08        0.999          41.0
  45      1.0000e+00       1.5645e+08       -1.3098e+08        0.992          45.6

