File.......:  202109240902_c-297_eis_rt - SEP,24.2021

System.....:  
Potential..:  0.029V
Current....:  -24.928pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:02:07 - 09:02:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -5.2823e+00       -5.5207e+02        0.998           0.0
   2      7.5549e+05      -7.0004e-01       -7.2196e+02        0.996           1.8
   3      5.7077e+05      -6.2418e+00       -9.5891e+02        0.995           2.3
   4      4.3121e+05       4.1087e+01       -1.2511e+03        0.996           3.3
   5      3.2578e+05       5.7650e+01       -1.6448e+03        0.997           4.2
   6      2.4612e+05       7.9722e+01       -2.1586e+03        0.998           4.6
   7      1.8594e+05       1.0180e+02       -2.8350e+03        0.998           5.0
   8      1.4048e+05       1.5174e+02       -3.7271e+03        0.998           5.5
   9      1.0613e+05       1.7382e+02       -4.8925e+03        0.999           5.9
  10      8.0180e+04       2.3076e+02       -6.4512e+03        0.998           6.3
  11      6.0575e+04       3.8127e+02       -8.4684e+03        0.998           7.0
  12      4.5764e+04       4.5869e+02       -1.1134e+04        0.998           7.6
  13      3.4574e+04       5.4585e+02       -1.4656e+04        0.998           8.1
  14      2.6121e+04       6.7554e+02       -1.9274e+04        0.999           8.5
  15      1.9734e+04       8.3911e+02       -2.5401e+04        0.999           8.9
  16      1.4909e+04       1.0181e+03       -3.3413e+04        0.999           9.4
  17      1.1263e+04       1.2733e+03       -4.4068e+04        0.999           9.8
  18      8.5095e+03       1.5484e+03       -5.8080e+04        0.999          10.3
  19      6.4288e+03       2.9043e+03       -7.6723e+04        0.999          10.9
  20      4.8569e+03       3.4006e+03       -1.0105e+05        0.999          11.6
  21      3.6694e+03       4.2016e+03       -1.3326e+05        0.999          12.0
  22      2.7722e+03       5.1115e+03       -1.7564e+05        0.998          12.5
  23      2.0944e+03       6.4145e+03       -2.3166e+05        0.997          12.9
  24      1.5823e+03       8.1922e+03       -3.0555e+05        0.997          13.4
  25      1.1954e+03       1.0524e+04       -4.0306e+05        0.999          13.8
  26      9.0311e+02       1.3866e+04       -5.3145e+05        0.999          14.2
  27      6.8229e+02       1.8662e+04       -7.0092e+05        0.997          14.7
  28      5.1546e+02       3.9462e+04       -9.2541e+05        0.998          15.4
  29      3.8943e+02       5.0500e+04       -1.2196e+06        0.997          16.0
  30      2.9421e+02       6.5232e+04       -1.6058e+06        0.997          16.5
  31      2.2227e+02       8.3502e+04       -2.1198e+06        0.998          16.9
  32      1.6793e+02       1.2228e+05       -2.7854e+06        0.998          17.3
  33      1.2687e+02       1.7371e+05       -3.6640e+06        0.998          17.8
  34      9.5846e+01       1.9607e+05       -4.8215e+06        0.997          18.4
  35      7.2411e+01       4.0443e+05       -6.3808e+06        0.997          18.9
  36      5.4092e+01       1.1869e+06       -8.8385e+06        0.995          20.3
  37      3.9533e+01       7.2019e+05       -1.1167e+07        0.999          22.5
  38      2.8174e+01       1.6597e+06       -1.5510e+07        0.984          24.3
  39      1.9503e+01       2.8101e+06       -2.2140e+07        0.980          25.9
  40      1.3058e+01       4.2086e+06       -3.2416e+07        0.991          27.8
  41      8.4196e+00       8.9645e+06       -4.9214e+07        0.975          29.9
  42      5.2123e+00       1.7128e+07       -7.4687e+07        0.991          32.6
  43      3.0979e+00       3.6007e+07       -1.1589e+08        0.997          35.9
  44      1.7783e+00       7.7154e+07       -1.7559e+08        0.997          40.9
  45      1.0000e+00       1.5292e+08       -2.4845e+08        0.988          45.4

