File.......:  202109280856_c-301_eis_rt - SEP,28.2021

System.....:  
Potential..:  -0.006V
Current....:  24.903pA
Temperature:  -0.7 +-0.1 C
Time.......:  08:56:01 - 08:56:51
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.4318e+00       -6.1762e+02        0.997           0.0
   2      7.5549e+05      -5.6410e+00       -8.0932e+02        0.995           1.8
   3      5.7077e+05      -1.0987e+01       -1.0543e+03        0.995           2.3
   4      4.3121e+05       4.8389e+01       -1.3878e+03        0.997           3.3
   5      3.2578e+05       7.1288e+01       -1.8253e+03        0.998           4.2
   6      2.4612e+05       8.8267e+01       -2.4007e+03        0.998           4.7
   7      1.8594e+05       1.3764e+02       -3.1389e+03        0.996           5.1
   8      1.4048e+05       1.8518e+02       -4.0988e+03        0.997           5.5
   9      1.0613e+05       2.1372e+02       -5.3993e+03        0.999           6.0
  10      8.0180e+04       2.6942e+02       -7.1080e+03        0.999           6.4
  11      6.0575e+04       4.7027e+02       -9.3335e+03        0.998           7.1
  12      4.5764e+04       5.7749e+02       -1.2269e+04        0.998           7.8
  13      3.4574e+04       6.8627e+02       -1.6108e+04        0.999           8.2
  14      2.6121e+04       8.7578e+02       -2.1183e+04        0.997           8.7
  15      1.9734e+04       1.0826e+03       -2.7895e+04        0.998           9.2
  16      1.4909e+04       1.3571e+03       -3.6704e+04        0.998           9.6
  17      1.1263e+04       1.7425e+03       -4.8362e+04        0.999          10.1
  18      8.5095e+03       2.1599e+03       -6.3517e+04        0.997          10.5
  19      6.4288e+03       2.6671e+03       -8.3800e+04        1.000          11.0
  20      4.8569e+03       4.8916e+03       -1.1032e+05        0.999          11.7
  21      3.6694e+03       6.0343e+03       -1.4539e+05        0.999          12.4
  22      2.7722e+03       7.6806e+03       -1.9138e+05        0.998          12.8
  23      2.0944e+03       1.0217e+04       -2.5202e+05        0.997          13.3
  24      1.5823e+03       1.3508e+04       -3.3163e+05        0.999          13.7
  25      1.1954e+03       1.8550e+04       -4.3675e+05        0.998          14.2
  26      9.0311e+02       2.5475e+04       -5.7484e+05        0.998          14.7
  27      6.8229e+02       3.6655e+04       -7.5624e+05        0.999          15.1
  28      5.1546e+02       6.7601e+04       -9.9365e+05        0.999          15.8
  29      3.8943e+02       9.3395e+04       -1.3078e+06        0.998          16.5
  30      2.9421e+02       1.3083e+05       -1.7127e+06        0.998          17.0
  31      2.2227e+02       2.2231e+05       -2.2864e+06        0.997          17.4
  32      1.6793e+02       2.7274e+05       -2.9382e+06        0.999          17.9
  33      1.2687e+02       4.3562e+05       -3.8251e+06        0.997          18.3
  34      9.5846e+01       3.8574e+05       -5.0780e+06        0.998          18.9
  35      7.2411e+01       7.1860e+05       -6.6999e+06        0.996          19.5
  36      5.4092e+01       2.4395e+06       -5.7525e+06        0.989          20.9
  37      3.9533e+01       3.8168e+06       -1.2751e+07        0.989          22.8
  38      2.8174e+01       3.0810e+06       -1.5595e+07        0.898          24.3
  39      1.9503e+01       6.1363e+06       -2.0175e+07        0.919          25.8
  40      1.3058e+01       1.3398e+07       -2.7289e+07        0.947          27.7
  41      8.4196e+00       2.5066e+07       -3.6701e+07        0.900          29.9
  42      5.2123e+00       3.9453e+07       -4.0434e+07        0.969          32.5
  43      3.0979e+00       5.7566e+07       -4.0470e+07        0.996          36.6
  44      1.7783e+00       7.3835e+07       -3.4976e+07        0.998          42.2
  45      1.0000e+00       8.5581e+07       -2.6939e+07        0.983          46.8

