File.......:  202109290911_c-303_eis_rt - SEP,29.2021

System.....:  
Potential..:  0.025V
Current....:  9.7244pA
Temperature:  -0.7 +-0.0 C
Time.......:  09:11:58 - 09:12:47
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       5.0910e+00       -4.8468e+02        0.995           0.0
   2      7.5549e+05       6.2661e+00       -6.4851e+02        0.994           1.8
   3      5.7077e+05      -1.0890e+01       -8.4804e+02        0.993           2.3
   4      4.3121e+05       3.6414e+01       -1.1126e+03        0.996           3.3
   5      3.2578e+05       4.9469e+01       -1.4626e+03        0.998           4.2
   6      2.4612e+05       7.0128e+01       -1.9230e+03        0.998           4.6
   7      1.8594e+05       8.4914e+01       -2.5255e+03        0.999           5.0
   8      1.4048e+05       1.2137e+02       -3.3228e+03        0.998           5.5
   9      1.0613e+05       1.4665e+02       -4.3665e+03        0.998           5.9
  10      8.0180e+04       1.8999e+02       -5.7566e+03        0.999           6.3
  11      6.0575e+04       2.3443e+02       -7.5452e+03        0.998           6.8
  12      4.5764e+04       3.7989e+02       -9.9508e+03        0.998           7.4
  13      3.4574e+04       4.5612e+02       -1.3104e+04        0.998           8.1
  14      2.6121e+04       5.6481e+02       -1.7246e+04        0.998           8.5
  15      1.9734e+04       7.0320e+02       -2.2727e+04        0.999           8.9
  16      1.4909e+04       8.6640e+02       -2.9928e+04        0.999           9.4
  17      1.1263e+04       1.0700e+03       -3.9468e+04        0.999           9.8
  18      8.5095e+03       1.3412e+03       -5.2034e+04        0.999          10.3
  19      6.4288e+03       1.6690e+03       -6.8629e+04        0.997          10.7
  20      4.8569e+03       2.9577e+03       -9.0616e+04        0.999          11.4
  21      3.6694e+03       3.7235e+03       -1.1949e+05        0.999          12.0
  22      2.7722e+03       4.6355e+03       -1.5755e+05        0.998          12.5
  23      2.0944e+03       5.9779e+03       -2.0781e+05        0.997          12.9
  24      1.5823e+03       7.9148e+03       -2.7414e+05        0.997          13.4
  25      1.1954e+03       1.0486e+04       -3.6159e+05        0.999          13.8
  26      9.0311e+02       1.4629e+04       -4.7687e+05        0.999          14.3
  27      6.8229e+02       2.0824e+04       -6.2893e+05        0.997          14.7
  28      5.1546e+02       4.2048e+04       -8.2975e+05        0.999          15.4
  29      3.8943e+02       5.7080e+04       -1.0924e+06        0.997          16.0
  30      2.9421e+02       7.9311e+04       -1.4386e+06        0.997          16.5
  31      2.2227e+02       1.2001e+05       -1.8898e+06        0.998          16.9
  32      1.6793e+02       1.7233e+05       -2.4875e+06        0.998          17.3
  33      1.2687e+02       2.5951e+05       -3.2663e+06        0.997          17.8
  34      9.5846e+01       3.8645e+05       -4.2514e+06        0.997          18.4
  35      7.2411e+01       6.0934e+05       -5.6278e+06        0.998          18.9
  36      5.4092e+01       8.5408e+05       -6.9246e+06        0.996          20.7
  37      3.9533e+01       1.5968e+06       -9.9682e+06        0.996          22.9
  38      2.8174e+01       2.6206e+06       -1.3377e+07        0.978          24.3
  39      1.9503e+01       4.9905e+06       -1.8087e+07        0.982          26.0
  40      1.3058e+01       8.6385e+06       -2.5544e+07        0.993          27.9
  41      8.4196e+00       1.5188e+07       -3.5033e+07        0.976          30.1
  42      5.2123e+00       2.9245e+07       -4.6241e+07        0.989          32.8
  43      3.0979e+00       5.0412e+07       -5.7120e+07        0.998          36.2
  44      1.7783e+00       7.8326e+07       -6.0711e+07        0.999          41.1
  45      1.0000e+00       1.0578e+08       -5.4935e+07        0.994          45.8

