File.......:  202109290914_c-304_eis_rt - SEP,29.2021

System.....:  
Potential..:  -0.013V
Current....:  -18.267pA
Temperature:  -0.7 +-0.2 C
Time.......:  09:14:59 - 09:15:48
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -6.3837e-01       -5.8429e+02        0.999           0.0
   2      7.5549e+05      -9.0729e-01       -7.7580e+02        0.997           1.8
   3      5.7077e+05      -2.6298e+01       -1.0192e+03        0.996           2.3
   4      4.3121e+05       4.3937e+01       -1.3407e+03        0.997           3.3
   5      3.2578e+05       6.5469e+01       -1.7618e+03        0.998           4.2
   6      2.4612e+05       8.8319e+01       -2.3122e+03        0.998           4.6
   7      1.8594e+05       1.1649e+02       -3.0313e+03        0.998           5.0
   8      1.4048e+05       1.7167e+02       -3.9938e+03        0.999           5.5
   9      1.0613e+05       2.0262e+02       -5.2348e+03        0.999           5.9
  10      8.0180e+04       2.6322e+02       -6.8932e+03        0.998           6.4
  11      6.0575e+04       4.2932e+02       -9.0436e+03        0.998           7.0
  12      4.5764e+04       5.1985e+02       -1.1888e+04        0.998           7.6
  13      3.4574e+04       6.2242e+02       -1.5630e+04        0.998           8.1
  14      2.6121e+04       7.8104e+02       -2.0552e+04        0.997           8.5
  15      1.9734e+04       9.6453e+02       -2.7066e+04        0.998           9.0
  16      1.4909e+04       1.1846e+03       -3.5609e+04        0.999           9.4
  17      1.1263e+04       1.4680e+03       -4.6931e+04        0.999           9.8
  18      8.5095e+03       1.8203e+03       -6.1828e+04        0.999          10.3
  19      6.4288e+03       3.2568e+03       -8.1613e+04        1.000          11.0
  20      4.8569e+03       3.9190e+03       -1.0748e+05        0.999          11.6
  21      3.6694e+03       4.8182e+03       -1.4166e+05        0.999          12.1
  22      2.7722e+03       5.9552e+03       -1.8664e+05        0.998          12.5
  23      2.0944e+03       7.5978e+03       -2.4607e+05        0.997          12.9
  24      1.5823e+03       9.8255e+03       -3.2448e+05        0.997          13.4
  25      1.1954e+03       1.2864e+04       -4.2794e+05        0.999          13.8
  26      9.0311e+02       1.7327e+04       -5.6429e+05        0.999          14.3
  27      6.8229e+02       2.4173e+04       -7.4352e+05        0.997          14.7
  28      5.1546e+02       4.7778e+04       -9.8091e+05        0.998          15.4
  29      3.8943e+02       6.3811e+04       -1.2915e+06        0.997          16.1
  30      2.9421e+02       8.8016e+04       -1.7010e+06        0.997          16.5
  31      2.2227e+02       1.1961e+05       -2.2381e+06        0.998          16.9
  32      1.6793e+02       1.7642e+05       -2.9439e+06        0.998          17.4
  33      1.2687e+02       2.6812e+05       -3.8685e+06        0.998          17.8
  34      9.5846e+01       4.2978e+05       -5.0464e+06        0.997          18.4
  35      7.2411e+01       7.4220e+05       -6.6984e+06        0.998          19.2
  36      5.4092e+01       1.4946e+06       -9.5169e+06        0.997          20.8
  37      3.9533e+01       1.7360e+06       -1.2072e+07        0.995          22.6
  38      2.8174e+01       2.4667e+06       -1.6534e+07        0.976          24.0
  39      1.9503e+01       4.5298e+06       -2.2986e+07        0.986          25.6
  40      1.3058e+01       8.9633e+06       -3.2453e+07        0.989          27.5
  41      8.4196e+00       1.6405e+07       -4.5838e+07        0.970          29.7
  42      5.2123e+00       3.3038e+07       -6.4045e+07        0.989          32.3
  43      3.0979e+00       6.3446e+07       -8.0870e+07        0.999          35.7
  44      1.7783e+00       1.0517e+08       -8.6879e+07        0.998          40.7
  45      1.0000e+00       1.4652e+08       -7.7333e+07        0.996          45.3

