File.......:  202111010858_c-309_eis_rt - NOV,01.2021

System.....:  
Potential..:  0.009V
Current....:  -244.97fA
Temperature:  -0.7 +-0.1 C
Time.......:  08:58:50 - 08:59:38
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06      -1.9872e+00       -7.4530e+02        0.995           0.0
   2      7.5549e+05      -6.3764e+00       -1.0251e+03        0.992           1.8
   3      5.7077e+05      -7.0689e-01       -1.2906e+03        0.987           2.3
   4      4.3121e+05       5.6160e+01       -1.7083e+03        0.997           3.3
   5      3.2578e+05       7.9658e+01       -2.2424e+03        0.998           4.2
   6      2.4612e+05       1.1795e+02       -2.9426e+03        0.998           4.6
   7      1.8594e+05       1.4604e+02       -3.8614e+03        0.998           5.0
   8      1.4048e+05       2.2268e+02       -5.0803e+03        0.998           5.5
   9      1.0613e+05       2.5198e+02       -6.6596e+03        0.999           5.9
  10      8.0180e+04       4.5973e+02       -8.7802e+03        0.998           6.6
  11      6.0575e+04       5.5732e+02       -1.1509e+04        0.998           7.2
  12      4.5764e+04       6.6545e+02       -1.5129e+04        0.998           7.6
  13      3.4574e+04       8.0725e+02       -1.9892e+04        0.998           8.1
  14      2.6121e+04       1.0012e+03       -2.6148e+04        0.997           8.5
  15      1.9734e+04       1.2455e+03       -3.4450e+04        0.999           9.0
  16      1.4909e+04       1.5458e+03       -4.5285e+04        0.998           9.4
  17      1.1263e+04       1.9207e+03       -5.9694e+04        0.998           9.8
  18      8.5095e+03       2.3933e+03       -7.8622e+04        0.999          10.3
  19      6.4288e+03       4.3247e+03       -1.0381e+05        0.999          11.0
  20      4.8569e+03       5.1815e+03       -1.3669e+05        0.999          11.6
  21      3.6694e+03       6.4097e+03       -1.8011e+05        0.999          12.1
  22      2.7722e+03       7.9021e+03       -2.3728e+05        0.998          12.5
  23      2.0944e+03       1.0092e+04       -3.1270e+05        0.997          12.9
  24      1.5823e+03       1.3114e+04       -4.1226e+05        0.997          13.4
  25      1.1954e+03       1.7073e+04       -5.4357e+05        0.999          13.8
  26      9.0311e+02       2.3072e+04       -7.1638e+05        0.999          14.3
  27      6.8229e+02       5.0860e+04       -9.4691e+05        0.998          14.9
  28      5.1546e+02       6.3504e+04       -1.2451e+06        0.998          15.6
  29      3.8943e+02       8.5097e+04       -1.6396e+06        0.998          16.1
  30      2.9421e+02       1.1563e+05       -2.1599e+06        0.997          16.5
  31      2.2227e+02       1.6398e+05       -2.8324e+06        0.998          16.9
  32      1.6793e+02       2.3465e+05       -3.7331e+06        0.999          17.4
  33      1.2687e+02       3.4587e+05       -4.9068e+06        1.000          17.8
  34      9.5846e+01       5.4505e+05       -6.3779e+06        0.998          18.4
  35      7.2411e+01       8.6488e+05       -8.4335e+06        0.999          19.2
  36      5.4092e+01       6.5946e+05       -1.0453e+07        1.000          20.8
  37      3.9533e+01       1.6860e+06       -1.4899e+07        0.998          22.7
  38      2.8174e+01       3.4783e+06       -1.9824e+07        0.985          24.1
  39      1.9503e+01       6.1857e+06       -2.7813e+07        0.980          25.7
  40      1.3058e+01       9.9410e+06       -3.9460e+07        0.990          27.6
  41      8.4196e+00       1.9457e+07       -5.7126e+07        0.978          29.8
  42      5.2123e+00       3.4237e+07       -8.1365e+07        0.991          32.4
  43      3.0979e+00       6.4646e+07       -1.1149e+08        0.998          35.8
  44      1.7783e+00       1.1350e+08       -1.4488e+08        0.997          40.8
  45      1.0000e+00       1.7813e+08       -1.7449e+08        0.995          45.4

