File.......:  202111010905_c-311_eis_rt - NOV,01.2021

System.....:  
Potential..:  0.066V
Current....:  -19.445pA
Temperature:  -0.7 +-0.1 C
Time.......:  09:05:38 - 09:06:26
Comment....:  
              
              
              
              Main
time.......:  22680 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.5027e+00       -6.1774e+02        0.996           0.0
   2      7.5549e+05       1.7797e+01       -8.4597e+02        0.992           1.8
   3      5.7077e+05      -7.4398e+00       -1.0949e+03        0.993           2.3
   4      4.3121e+05       5.6820e+01       -1.4162e+03        0.997           3.3
   5      3.2578e+05       8.1042e+01       -1.8590e+03        0.998           4.2
   6      2.4612e+05       1.0784e+02       -2.4384e+03        0.998           4.6
   7      1.8594e+05       1.3164e+02       -3.1951e+03        0.999           5.0
   8      1.4048e+05       1.9168e+02       -4.2060e+03        0.998           5.5
   9      1.0613e+05       2.2883e+02       -5.5073e+03        0.998           5.9
  10      8.0180e+04       2.8903e+02       -7.2507e+03        0.999           6.4
  11      6.0575e+04       4.8136e+02       -9.5197e+03        0.998           7.0
  12      4.5764e+04       5.7893e+02       -1.2506e+04        0.998           7.6
  13      3.4574e+04       6.9505e+02       -1.6436e+04        0.998           8.1
  14      2.6121e+04       8.6485e+02       -2.1608e+04        0.998           8.5
  15      1.9734e+04       1.0637e+03       -2.8434e+04        0.999           9.0
  16      1.4909e+04       1.3026e+03       -3.7407e+04        0.999           9.4
  17      1.1263e+04       1.6174e+03       -4.9268e+04        0.999           9.8
  18      8.5095e+03       1.9747e+03       -6.4903e+04        0.999          10.3
  19      6.4288e+03       3.5362e+03       -8.5673e+04        0.999          11.0
  20      4.8569e+03       4.1692e+03       -1.1274e+05        0.999          11.6
  21      3.6694e+03       5.1041e+03       -1.4861e+05        0.999          12.1
  22      2.7722e+03       6.1571e+03       -1.9577e+05        0.998          12.5
  23      2.0944e+03       7.6314e+03       -2.5809e+05        0.997          12.9
  24      1.5823e+03       9.6364e+03       -3.4035e+05        0.999          13.4
  25      1.1954e+03       1.1996e+04       -4.4891e+05        0.998          13.8
  26      9.0311e+02       1.5640e+04       -5.9194e+05        0.999          14.3
  27      6.8229e+02       2.0548e+04       -7.8066e+05        0.999          14.7
  28      5.1546e+02       4.2798e+04       -1.0305e+06        0.999          15.4
  29      3.8943e+02       5.4163e+04       -1.3582e+06        0.997          16.1
  30      2.9421e+02       6.9984e+04       -1.7903e+06        0.997          16.5
  31      2.2227e+02       8.7736e+04       -2.3572e+06        0.998          17.0
  32      1.6793e+02       1.2676e+05       -3.1058e+06        0.998          17.4
  33      1.2687e+02       1.8275e+05       -4.0855e+06        0.997          17.8
  34      9.5846e+01       2.6518e+05       -5.3513e+06        0.998          18.4
  35      7.2411e+01       5.4748e+05       -7.1116e+06        0.998          19.2
  36      5.4092e+01       1.2835e+06       -9.9077e+06        0.996          20.8
  37      3.9533e+01       1.1958e+06       -1.2895e+07        0.996          22.6
  38      2.8174e+01       1.3557e+06       -1.8014e+07        0.980          24.0
  39      1.9503e+01       2.5621e+06       -2.5187e+07        0.987          25.6
  40      1.3058e+01       4.2986e+06       -3.6737e+07        0.991          27.5
  41      8.4196e+00       8.0072e+06       -5.5465e+07        0.969          29.7
  42      5.2123e+00       1.4012e+07       -8.5369e+07        0.987          32.4
  43      3.0979e+00       3.1481e+07       -1.3436e+08        0.998          35.7
  44      1.7783e+00       6.7278e+07       -2.1344e+08        0.997          40.6
  45      1.0000e+00       1.3775e+08       -3.2834e+08        0.992          45.2

