File.......:  202111181442_c-319_eis_rt - NOV,18.2021

System.....:  
Potential..:  -0.011V
Current....:  -78.906nA
Temperature:  -0.7 +-0.1 C
Time.......:  14:42:21 - 14:43:10
Comment....:  
              
              
              
              Main
time.......:  13080 s
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.5279e+01       -1.7375e-01        0.999           0.0
   2      7.5549e+05       1.5286e+01       -3.0122e-01        0.999           1.3
   3      5.7077e+05       1.5315e+01       -3.9437e-01        0.999           1.8
   4      4.3121e+05       1.5312e+01       -5.2607e-01        1.000           2.5
   5      3.2578e+05       1.5299e+01       -6.6513e-01        1.000           3.2
   6      2.4612e+05       1.5372e+01       -8.2506e-01        1.000           3.7
   7      1.8594e+05       1.5470e+01       -1.0185e+00        1.000           4.1
   8      1.4048e+05       1.5682e+01       -1.2577e+00        1.000           4.6
   9      1.0613e+05       1.5756e+01       -1.5575e+00        1.000           5.0
  10      8.0180e+04       1.5880e+01       -1.9328e+00        1.000           5.5
  11      6.0575e+04       1.6042e+01       -2.4173e+00        1.000           5.9
  12      4.5764e+04       1.6291e+01       -3.0230e+00        1.000           6.3
  13      3.4574e+04       1.6393e+01       -3.7960e+00        1.000           6.8
  14      2.6121e+04       1.6636e+01       -4.7613e+00        1.000           7.3
  15      1.9734e+04       1.6989e+01       -5.9912e+00        1.000           7.7
  16      1.4909e+04       1.7410e+01       -7.5416e+00        1.000           8.2
  17      1.1263e+04       1.7979e+01       -9.5121e+00        1.000           8.6
  18      8.5095e+03       1.8542e+01       -1.1991e+01        1.000           9.1
  19      6.4288e+03       1.9294e+01       -1.5143e+01        1.000           9.6
  20      4.8569e+03       2.0297e+01       -1.9120e+01        1.000          10.0
  21      3.6694e+03       2.1553e+01       -2.4158e+01        0.999          10.5
  22      2.7722e+03       2.3044e+01       -3.0613e+01        0.998          10.9
  23      2.0944e+03       2.5060e+01       -3.8854e+01        0.999          11.4
  24      1.5823e+03       2.7530e+01       -4.9417e+01        0.999          11.8
  25      1.1954e+03       3.1167e+01       -6.3491e+01        0.999          12.5
  26      9.0311e+02       3.5660e+01       -8.0822e+01        0.998          13.2
  27      6.8229e+02       4.1812e+01       -1.0277e+02        0.998          13.7
  28      5.1546e+02       5.0229e+01       -1.3038e+02        0.999          14.1
  29      3.8943e+02       6.1916e+01       -1.6492e+02        0.999          14.6
  30      2.9421e+02       7.7451e+01       -2.0767e+02        0.999          15.1
  31      2.2227e+02       9.8722e+01       -2.6027e+02        0.999          15.5
  32      1.6793e+02       1.2669e+02       -3.2447e+02        0.999          16.0
  33      1.2687e+02       1.6368e+02       -4.0225e+02        0.999          16.4
  34      9.5846e+01       2.1207e+02       -4.9598e+02        0.999          17.0
  35      7.2411e+01       2.7460e+02       -6.0723e+02        0.999          17.5
  36      5.4092e+01       3.5258e+02       -7.3783e+02        0.999          19.4
  37      3.9533e+01       4.6531e+02       -9.1137e+02        0.999          21.6
  38      2.8174e+01       6.2207e+02       -1.1360e+03        1.000          23.1
  39      1.9503e+01       8.4382e+02       -1.4280e+03        0.999          24.7
  40      1.3058e+01       1.1601e+03       -1.8129e+03        0.999          26.7
  41      8.4196e+00       1.6215e+03       -2.3230e+03        0.999          28.9
  42      5.2123e+00       2.3032e+03       -2.9988e+03        0.999          31.6
  43      3.0979e+00       3.3018e+03       -3.8645e+03        0.999          35.0
  44      1.7783e+00       4.7338e+03       -4.9289e+03        1.000          41.9
  45      1.0000e+00       6.6305e+03       -6.1416e+03        0.999          46.4

