File.......:  cell10ppochloranilliftfsi - OCT,04.2021

System.....:  
Potential..:  0.013V
Current....:  -82.106nA
Temperature:  -0.7 +-0.0 C
Time.......:  09:49:27 - 09:50:15
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.6462e+01        4.7124e-01        0.999           0.0
   2      7.5549e+05       2.6789e+01        1.8419e-01        0.999           1.3
   3      5.7077e+05       2.6347e+01       -4.6889e-02        1.000           1.8
   4      4.3121e+05       2.6034e+01       -2.7912e-01        1.000           2.5
   5      3.2578e+05       2.6458e+01       -5.4095e-01        1.000           3.2
   6      2.4612e+05       2.6517e+01       -8.1020e-01        1.000           3.7
   7      1.8594e+05       2.6895e+01       -1.1282e+00        1.000           4.1
   8      1.4048e+05       2.6770e+01       -1.4950e+00        1.000           4.6
   9      1.0613e+05       2.6700e+01       -1.9530e+00        1.000           5.0
  10      8.0180e+04       2.7196e+01       -2.5068e+00        1.000           5.5
  11      6.0575e+04       2.7260e+01       -3.2503e+00        1.000           5.9
  12      4.5764e+04       2.7178e+01       -4.1350e+00        1.000           6.3
  13      3.4574e+04       2.7291e+01       -5.2758e+00        1.000           6.8
  14      2.6121e+04       2.8019e+01       -6.6687e+00        1.000           7.3
  15      1.9734e+04       2.8626e+01       -8.4378e+00        1.000           7.7
  16      1.4909e+04       2.8780e+01       -1.0665e+01        1.000           8.2
  17      1.1263e+04       2.8906e+01       -1.3473e+01        1.000           8.6
  18      8.5095e+03       2.9784e+01       -1.6993e+01        0.999           9.1
  19      6.4288e+03       3.0843e+01       -2.1461e+01        1.000           9.6
  20      4.8569e+03       3.2099e+01       -2.7080e+01        1.000          10.0
  21      3.6694e+03       3.4199e+01       -3.4152e+01        1.000          10.5
  22      2.7722e+03       3.6840e+01       -4.3179e+01        0.999          10.9
  23      2.0944e+03       4.0098e+01       -5.4614e+01        0.998          11.4
  24      1.5823e+03       4.4016e+01       -6.9819e+01        0.999          12.1
  25      1.1954e+03       4.8293e+01       -8.8499e+01        0.998          12.8
  26      9.0311e+02       5.4809e+01       -1.1223e+02        0.999          13.2
  27      6.8229e+02       6.3155e+01       -1.4233e+02        0.999          13.7
  28      5.1546e+02       7.4054e+01       -1.8040e+02        0.998          14.1
  29      3.8943e+02       8.8481e+01       -2.2846e+02        0.998          14.6
  30      2.9421e+02       1.0782e+02       -2.8868e+02        0.997          15.1
  31      2.2227e+02       1.3461e+02       -3.6389e+02        0.998          15.5
  32      1.6793e+02       1.6785e+02       -4.5728e+02        0.997          16.0
  33      1.2687e+02       2.1427e+02       -5.7251e+02        0.997          16.4
  34      9.5846e+01       2.7221e+02       -7.0796e+02        0.997          17.2
  35      7.2411e+01       3.5120e+02       -8.7749e+02        0.997          18.0
  36      5.4092e+01       4.5852e+02       -1.0910e+03        0.997          19.5
  37      3.9533e+01       6.1248e+02       -1.3687e+03        0.997          21.2
  38      2.8174e+01       8.3371e+02       -1.7326e+03        0.997          22.8
  39      1.9503e+01       1.1527e+03       -2.2115e+03        0.997          24.4
  40      1.3058e+01       1.6129e+03       -2.8490e+03        0.998          26.3
  41      8.4196e+00       2.2784e+03       -3.7119e+03        0.998          28.5
  42      5.2123e+00       3.2405e+03       -4.9088e+03        0.998          31.2
  43      3.0979e+00       4.6252e+03       -6.5876e+03        0.998          35.3
  44      1.7783e+00       6.6516e+03       -9.0063e+03        0.998          40.9
  45      1.0000e+00       9.5139e+03       -1.2392e+04        0.997          45.6

