File.......:  cell4ppochloranilliftfsi - OCT,04.2021

System.....:  
Potential..:  0.021V
Current....:  -30.465nA
Temperature:  -0.7 +-0.1 C
Time.......:  09:48:02 - 09:48:48
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       1.9128e+02       -4.7747e+01        0.999           0.0
   2      7.5549e+05       1.9538e+02       -3.7341e+01        0.999           1.0
   3      5.7077e+05       1.9821e+02       -2.9793e+01        1.000           1.5
   4      4.3121e+05       1.9931e+02       -2.3673e+01        1.000           2.3
   5      3.2578e+05       2.0055e+02       -1.9497e+01        1.000           3.0
   6      2.4612e+05       2.0140e+02       -1.6588e+01        1.000           3.4
   7      1.8594e+05       2.0218e+02       -1.4723e+01        1.000           3.8
   8      1.4048e+05       2.0308e+02       -1.3785e+01        1.000           4.3
   9      1.0613e+05       2.0378e+02       -1.3641e+01        1.000           4.8
  10      8.0180e+04       2.0473e+02       -1.4265e+01        1.000           5.2
  11      6.0575e+04       2.0559e+02       -1.5923e+01        1.000           5.7
  12      4.5764e+04       2.0687e+02       -1.8226e+01        1.000           6.1
  13      3.4574e+04       2.0840e+02       -2.1534e+01        1.000           6.6
  14      2.6121e+04       2.1018e+02       -2.5744e+01        1.000           7.0
  15      1.9734e+04       2.1241e+02       -3.1281e+01        1.000           7.5
  16      1.4909e+04       2.1517e+02       -3.8351e+01        1.000           7.9
  17      1.1263e+04       2.1866e+02       -4.7282e+01        1.000           8.4
  18      8.5095e+03       2.2280e+02       -5.8488e+01        1.000           8.8
  19      6.4288e+03       2.2801e+02       -7.2606e+01        1.000           9.3
  20      4.8569e+03       2.3452e+02       -9.0053e+01        1.000           9.8
  21      3.6694e+03       2.4289e+02       -1.1140e+02        1.000          10.2
  22      2.7722e+03       2.5304e+02       -1.3840e+02        0.999          10.6
  23      2.0944e+03       2.6577e+02       -1.7186e+02        1.000          11.1
  24      1.5823e+03       2.8179e+02       -2.1336e+02        0.999          11.6
  25      1.1954e+03       3.0167e+02       -2.6497e+02        1.000          12.0
  26      9.0311e+02       3.2690e+02       -3.2883e+02        0.999          12.5
  27      6.8229e+02       3.5865e+02       -4.0797e+02        0.999          12.9
  28      5.1546e+02       3.9881e+02       -5.0572e+02        0.999          13.4
  29      3.8943e+02       4.4685e+02       -6.2115e+02        0.998          14.1
  30      2.9421e+02       5.1113e+02       -7.6701e+02        0.999          14.8
  31      2.2227e+02       5.9332e+02       -9.4472e+02        0.999          15.3
  32      1.6793e+02       6.9510e+02       -1.1609e+03        0.999          15.7
  33      1.2687e+02       8.2167e+02       -1.4233e+03        0.999          16.2
  34      9.5846e+01       9.7884e+02       -1.7422e+03        0.999          16.7
  35      7.2411e+01       1.1724e+03       -2.1275e+03        0.999          17.3
  36      5.4092e+01       1.4151e+03       -2.6153e+03        0.999          18.7
  37      3.9533e+01       1.7457e+03       -3.2630e+03        0.999          20.5
  38      2.8174e+01       2.1979e+03       -4.1412e+03        0.999          21.9
  39      1.9503e+01       2.8332e+03       -5.3550e+03        0.999          23.5
  40      1.3058e+01       3.7473e+03       -7.0711e+03        0.999          25.9
  41      8.4196e+00       5.1156e+03       -9.5725e+03        0.999          28.6
  42      5.2123e+00       7.2209e+03       -1.3297e+04        0.999          31.2
  43      3.0979e+00       1.0524e+04       -1.8873e+04        0.999          34.6
  44      1.7783e+00       1.5808e+04       -2.7286e+04        0.998          39.6
  45      1.0000e+00       2.3899e+04       -3.9416e+04        0.997          44.2

