File.......:  cell2ppochloranilliftfsi - OCT,05.2021

System.....:  
Potential..:  0.015V
Current....:  -34.339nA
Temperature:  -0.7 +-0.1 C
Time.......:  15:57:33 - 15:58:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   45
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       7.9379e+01       -9.5059e+02        0.998           0.0
   2      7.5549e+05       1.6289e+02       -1.2563e+03        0.996           1.5
   3      5.7077e+05       3.5879e+02       -1.6110e+03        0.996           2.3
   4      4.3121e+05       5.8197e+02       -2.0258e+03        0.997           3.3
   5      3.2578e+05       9.4455e+02       -2.5200e+03        0.999           4.0
   6      2.4612e+05       1.4679e+03       -3.0466e+03        0.998           4.4
   7      1.8594e+05       2.1813e+03       -3.5559e+03        0.998           4.9
   8      1.4048e+05       3.1348e+03       -3.9286e+03        0.998           5.3
   9      1.0613e+05       4.1711e+03       -4.1104e+03        0.999           5.8
  10      8.0180e+04       5.2455e+03       -4.0354e+03        0.999           6.2
  11      6.0575e+04       6.1966e+03       -3.7406e+03        0.999           6.7
  12      4.5764e+04       7.0170e+03       -3.2434e+03        1.000           7.3
  13      3.4574e+04       7.5967e+03       -2.7710e+03        1.000           8.0
  14      2.6121e+04       8.0129e+03       -2.3200e+03        1.000           8.5
  15      1.9734e+04       8.3064e+03       -1.9369e+03        1.000           9.0
  16      1.4909e+04       8.5178e+03       -1.6257e+03        1.000           9.4
  17      1.1263e+04       8.6762e+03       -1.3910e+03        1.000           9.9
  18      8.5095e+03       8.8026e+03       -1.2231e+03        1.000          10.3
  19      6.4288e+03       8.9131e+03       -1.1160e+03        1.000          10.8
  20      4.8569e+03       9.0189e+03       -1.0546e+03        1.000          11.2
  21      3.6694e+03       9.1301e+03       -1.0217e+03        1.000          11.7
  22      2.7722e+03       9.2432e+03       -1.0436e+03        1.000          12.1
  23      2.0944e+03       9.3693e+03       -1.0970e+03        1.000          12.6
  24      1.5823e+03       9.5108e+03       -1.1809e+03        1.000          13.1
  25      1.1954e+03       9.6696e+03       -1.3022e+03        1.000          13.5
  26      9.0311e+02       9.8529e+03       -1.4511e+03        1.000          14.0
  27      6.8229e+02       1.0062e+04       -1.6372e+03        1.000          14.4
  28      5.1546e+02       1.0302e+04       -1.8589e+03        1.000          14.9
  29      3.8943e+02       1.0586e+04       -2.1105e+03        1.000          15.4
  30      2.9421e+02       1.0906e+04       -2.4099e+03        1.000          15.8
  31      2.2227e+02       1.1280e+04       -2.7439e+03        1.000          16.3
  32      1.6793e+02       1.1704e+04       -3.1381e+03        1.000          16.7
  33      1.2687e+02       1.2191e+04       -3.5858e+03        1.000          17.2
  34      9.5846e+01       1.2752e+04       -4.0918e+03        1.000          17.7
  35      7.2411e+01       1.3391e+04       -4.6637e+03        1.000          18.3
  36      5.4092e+01       1.4135e+04       -5.3603e+03        1.000          19.7
  37      3.9533e+01       1.5070e+04       -6.2020e+03        1.000          21.5
  38      2.8174e+01       1.6241e+04       -7.2578e+03        1.000          22.9
  39      1.9503e+01       1.7735e+04       -8.6098e+03        1.000          24.5
  40      1.3058e+01       1.9676e+04       -1.0387e+04        1.000          26.3
  41      8.4196e+00       2.2259e+04       -1.2763e+04        1.000          28.5
  42      5.2123e+00       2.5773e+04       -1.6012e+04        1.000          31.1
  43      3.0979e+00       3.0636e+04       -2.0484e+04        1.000          34.4
  44      1.7783e+00       3.7420e+04       -2.6622e+04        1.000          39.4
  45      1.0000e+00       4.6582e+04       -3.4797e+04        1.000          43.9

